,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,7,161,52,26.83,0,0,-,-,0,3,0,-
2,in U.A.E.,6,86,31,17.20,0,-,-,-,-,0,0,-
3,in Zimbabwe,5,114,50*,57.00,0,-,-,-,-,2,0,-
5,in Africa,5,114,50*,57.00,0,-,-,-,-,2,0,-
6,in Asia,6,86,31,17.20,0,-,-,-,-,0,0,-
7,in Europe,7,161,52,26.83,0,0,-,-,0,3,0,-
9,away,11,270,52,38.57,0,0,-,-,0,4,0,-
10,neutral,7,91,31,15.16,0,-,-,-,-,1,0,-
12,year 2018,11,200,50*,28.57,0,-,-,-,-,2,0,-
13,year 2019,7,161,52,26.83,0,0,-,-,0,3,0,-
15,season 2018,10,191,50*,31.83,0,-,-,-,-,2,0,-
16,season 2018/19,1,9,9,9.00,0,-,-,-,-,0,0,-
17,season 2019,7,161,52,26.83,0,0,-,-,0,3,0,-
19,*Sarfaraz Ahmed,18,361,52,27.76,0,0,-,-,0,5,0,-
21,is not captain,18,361,52,27.76,0,0,-,-,0,5,0,-
23,is not keeper,18,361,52,27.76,0,0,-,-,0,5,0,-
25,won the toss,7,172,51,28.66,0,-,-,-,-,2,0,-
26,lost the toss,11,189,52,27.00,0,0,-,-,0,3,0,-
28,won toss & batted,5,116,50*,29.00,0,-,-,-,-,1,0,-
29,won toss & fielded,2,56,51,28.00,0,-,-,-,-,1,0,-
30,lost toss & sent in,5,129,52,32.25,0,0,-,-,0,1,0,-
31,lost toss & fielded,6,60,31,20.00,0,-,-,-,-,2,0,-
33,matches batting first,10,245,52,30.62,0,0,-,-,0,2,0,-
34,matches fielding first,8,116,51,23.20,0,-,-,-,-,3,0,-
36,1st match innings,18,245,52,30.62,0,-,-,-,-,3,0,-
37,2nd match innings,17,116,51,23.20,0,0,-,-,0,2,0,-
39,day match,14,283,51,28.30,0,-,-,-,-,4,0,-
40,day/night match,4,78,52,26.00,0,0,-,-,0,1,0,-
42,won match,8,135,50*,33.75,0,-,-,-,-,2,0,-
43,lost match,8,217,52,27.12,0,0,-,-,0,3,0,-
44,no result,2,9,9,9.00,0,-,-,-,-,0,0,-
46,won batting first,4,128,50*,42.66,0,-,-,-,-,1,0,-
47,won fielding first,4,7,7,7.00,0,-,-,-,-,1,0,-
48,lost batting first,4,108,52,27.00,0,0,-,-,0,1,0,-
49,lost fielding first,4,109,51,27.25,0,-,-,-,-,2,0,-
50,no result batting first,2,9,9,9.00,0,-,-,-,-,0,0,-
52,2 team series,11,265,52,37.85,0,0,-,-,0,4,0,-
53,5+ team tournaments,7,96,31,16.00,0,-,-,-,-,1,0,-
55,1st match in series,2,46,46,46.00,0,-,-,-,-,0,0,-
56,2nd match in series,2,51,51,51.00,0,-,-,-,-,1,0,-
57,3rd match in series,3,61,52,30.50,0,0,-,-,0,1,0,-
58,4th match in series,2,67,50*,67.00,0,-,-,-,-,0,0,-
59,5th match in series,2,40,22,20.00,0,-,-,-,-,2,0,-
61,World Cup,2,19,14,9.50,0,-,-,-,-,1,0,-
62,Asia Cup,5,77,31,19.25,0,-,-,-,-,0,0,-
