,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2017-2017,5,282,100,56.40,1,-,-,-,-,1,0,-
2,in England,2016-2019,23,1006,115,50.30,2,-,-,-,-,13,0,-
3,in Ireland,2016-2016,1,29,29,29.00,0,-,-,-,-,0,0,-
4,in New Zealand,2016-2018,7,176,83,25.14,0,-,-,-,-,4,0,-
5,in Pakistan,2015-2015,1,54,54,54.00,0,-,-,-,-,0,0,-
6,in South Africa,2019-2019,5,195,69,48.75,0,-,-,-,-,2,0,-
7,in Sri Lanka,2015-2015,2,37,25,18.50,0,-,-,-,-,1,0,-
8,in U.A.E.,2015-2018,20,1096,123,64.47,5,-,-,-,-,9,0,-
9,in West Indies,2017-2017,3,154,125*,77.00,1,-,-,-,-,3,0,-
10,in Zimbabwe,2018-2018,5,184,106*,184.00,1,-,-,-,-,3,0,-
12,in Africa,2018-2019,10,379,106*,75.80,1,-,-,-,-,5,0,-
13,in Americas,2017-2017,3,154,125*,77.00,1,-,-,-,-,3,0,-
14,in Asia,2015-2018,23,1187,123,59.35,5,-,-,-,-,10,0,-
15,in Europe,2016-2019,24,1035,115,49.28,2,-,-,-,-,13,0,-
16,in Oceania,2016-2018,12,458,100,38.16,1,-,-,-,-,5,0,-
18,home,2015-2015,1,54,54,54.00,0,-,-,-,-,0,0,-
19,away,2015-2019,40,1557,125*,47.18,4,-,-,-,-,19,0,-
20,neutral,2015-2019,31,1602,123,61.61,6,-,-,-,-,17,0,-
22,year 2015,,7,230,62*,38.33,0,-,-,-,-,4,0,-
23,year 2016,,11,656,123,59.63,3,-,-,-,-,4,0,-
24,year 2017,,18,872,125*,67.07,4,-,-,-,-,12,0,-
25,year 2018,,18,509,106*,36.35,1,-,-,-,-,7,0,-
26,year 2019,,18,946,115,59.12,2,-,-,-,-,9,0,-
28,season 2015,,3,91,54,30.33,0,-,-,-,-,1,0,-
29,season 2015/16,,6,284,83,56.80,0,-,-,-,-,5,0,-
30,season 2016,,6,151,40,25.16,0,-,-,-,-,2,0,-
31,season 2016/17,,8,642,123,80.25,4,-,-,-,-,1,0,-
32,season 2017,,8,287,125*,57.40,1,-,-,-,-,7,0,-
33,season 2017/18,,10,334,103,41.75,2,-,-,-,-,6,0,-
34,season 2018,,10,340,106*,56.66,1,-,-,-,-,4,0,-
35,season 2018/19,,8,333,92,47.57,0,-,-,-,-,3,0,-
36,season 2019,,13,751,115,62.58,2,-,-,-,-,7,0,-
38,*Azhar Ali,2015-2017,21,1050,123,52.50,4,-,-,-,-,9,0,-
39,*Mohammad Hafeez,2017-2017,2,118,84,59.00,0,-,-,-,-,0,0,-
40,*Sarfaraz Ahmed,2017-2019,47,1980,125*,53.51,6,-,-,-,-,26,0,-
41,*Shoaib Malik,2019-2019,2,65,41*,65.00,0,-,-,-,-,1,0,-
43,is not captain,2015-2019,72,3213,125*,53.55,10,-,-,-,-,36,0,-
45,is not keeper,2015-2019,72,3213,125*,53.55,10,-,-,-,-,36,0,-
47,won the toss,2015-2019,31,1439,123,53.29,4,-,-,-,-,18,0,-
48,lost the toss,2015-2019,41,1774,125*,53.75,6,-,-,-,-,18,0,-
50,won toss & batted,2015-2019,20,1095,123,60.83,4,-,-,-,-,11,0,-
51,won toss & fielded,2015-2019,11,344,62,38.22,0,-,-,-,-,7,0,-
52,lost toss & sent in,2016-2019,15,817,125*,58.35,4,-,-,-,-,7,0,-
53,lost toss & fielded,2015-2019,26,957,101*,50.36,2,-,-,-,-,11,0,-
55,matches batting first,2015-2019,35,1912,125*,59.75,8,-,-,-,-,18,0,-
56,matches fielding first,2015-2019,37,1301,101*,46.46,2,-,-,-,-,18,0,-
58,1st match innings,2015-2019,72,1912,125*,59.75,8,-,-,-,-,18,0,-
59,2nd match innings,2015-2019,71,1301,101*,46.46,2,-,-,-,-,18,0,-
61,day match,2015-2019,38,1530,125*,51.00,3,-,-,-,-,21,0,-
62,day/night match,2015-2019,34,1683,123,56.10,7,-,-,-,-,15,0,-
64,won match,2015-2019,34,1903,125*,86.50,8,-,-,-,-,18,0,-
65,lost match,2015-2019,35,1148,115,32.80,2,-,-,-,-,18,0,-
66,no result,2015-2019,3,162,92,54.00,0,-,-,-,-,0,0,-
68,won batting first,2016-2019,14,1128,125*,102.54,7,-,-,-,-,8,0,-
69,won fielding first,2015-2019,20,775,101*,70.45,1,-,-,-,-,10,0,-
70,lost batting first,2015-2019,18,622,115,34.55,1,-,-,-,-,10,0,-
71,lost fielding first,2015-2019,17,526,100,30.94,1,-,-,-,-,8,0,-
72,no result batting first,2015-2019,3,162,92,54.00,0,-,-,-,-,0,0,-
74,2 team series,2015-2019,54,2450,125*,54.44,9,-,-,-,-,26,0,-
75,5+ team tournaments,2017-2019,18,763,101*,50.86,1,-,-,-,-,10,0,-
77,1st match in series,2015-2019,14,582,120,44.76,2,-,-,-,-,7,0,-
78,2nd match in series,2015-2019,12,577,125*,57.70,3,-,-,-,-,5,0,-
79,3rd match in series,2015-2019,13,618,117,51.50,1,-,-,-,-,5,0,-
80,4th match in series,2015-2019,8,322,115,64.40,1,-,-,-,-,7,0,-
81,5th match in series,2016-2019,7,351,106*,70.20,2,-,-,-,-,2,0,-
83,World Cup,2019-2019,8,474,101*,67.71,1,-,-,-,-,5,0,-
84,Asia Cup,2018-2018,5,156,66,31.20,0,-,-,-,-,1,0,-
85,ICC Champions Trophy,2017-2017,5,133,46,44.33,0,-,-,-,-,4,0,-
87,tournament finals,2017-2017,1,46,46,46.00,0,-,-,-,-,1,0,-
88,tournament semi-finals,2017-2017,1,38,38*,-,0,-,-,-,-,1,0,-
89,preliminary matches,2017-2019,16,679,101*,48.50,1,-,-,-,-,8,0,-
