,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2017-2019,17,638,138,37.52,2,0,-,-,0,9,0,-
2,in New Zealand,2018-2018,4,150,82*,50.00,0,1,1/19,19.00,0,2,0,31.00
3,in South Africa,2019-2019,5,167,70,33.40,0,0,-,-,0,0,0,-
4,in U.A.E.,2017-2018,13,358,88,27.53,0,0,-,-,0,6,0,-
5,in Zimbabwe,2018-2018,5,515,210*,257.50,2,0,-,-,0,2,0,-
7,in Africa,2018-2019,10,682,210*,97.42,2,0,-,-,0,2,0,-
8,in Asia,2017-2018,13,358,88,27.53,0,0,-,-,0,6,0,-
9,in Europe,2017-2019,17,638,138,37.52,2,0,-,-,0,9,0,-
10,in Oceania,2018-2018,4,150,82*,50.00,0,1,1/19,19.00,0,2,0,31.00
12,away,2017-2019,21,1125,210*,66.17,3,1,1/19,61.00,0,10,0,5.17
13,neutral,2017-2019,23,703,114,30.56,1,0,-,-,0,9,0,-
15,year 2017,,9,400,114,44.44,1,0,-,-,0,6,0,-
16,year 2018,,17,875,210*,67.30,2,1,1/19,55.00,0,6,0,12.30
17,year 2019,,18,553,138,30.72,1,0,-,-,0,7,0,-
19,season 2017,,4,252,114,63.00,1,0,-,-,0,2,0,-
20,season 2017/18,,9,298,82*,37.25,0,1,1/19,19.00,0,6,0,18.25
21,season 2018,,10,571,210*,81.57,2,0,-,-,0,4,0,-
22,season 2018/19,,8,321,88,40.12,0,0,-,-,0,0,0,-
23,season 2019,,13,386,138,29.69,1,0,-,-,0,7,0,-
25,*Sarfaraz Ahmed,2017-2019,42,1714,210*,45.10,4,1,1/19,111.00,0,19,0,-65.89
26,*Shoaib Malik,2019-2019,2,114,70,57.00,0,-,-,-,-,0,0,-
28,is not captain,2017-2019,44,1828,210*,45.70,4,1,1/19,111.00,0,19,0,-65.29
30,is not keeper,2017-2019,44,1828,210*,45.70,4,1,1/19,111.00,0,19,0,-65.29
32,won the toss,2017-2019,17,948,210*,63.20,2,1,1/19,44.00,0,4,0,19.20
33,lost the toss,2017-2019,27,880,117*,35.20,2,0,-,-,0,15,0,-
35,won toss & batted,2017-2019,10,515,210*,57.22,1,0,-,-,0,1,0,-
36,won toss & fielded,2017-2019,7,433,138,72.16,1,1,1/19,19.00,0,3,0,53.16
37,lost toss & sent in,2017-2019,10,433,114,43.30,1,0,-,-,0,4,0,-
38,lost toss & fielded,2017-2019,17,447,117*,29.80,1,0,-,-,0,11,0,-
40,matches batting first,2017-2019,20,948,210*,49.89,2,0,-,-,0,5,0,-
41,matches fielding first,2017-2019,24,880,138,41.90,2,1,1/19,61.00,0,14,0,-19.09
43,1st match innings,2017-2019,44,948,210*,49.89,2,1,1/19,61.00,0,14,0,-11.10
44,2nd match innings,2017-2019,43,880,138,41.90,2,0,-,-,0,5,0,-
46,day match,2017-2019,27,1256,210*,54.60,4,1,1/19,103.00,0,14,0,-48.39
47,day/night match,2017-2019,17,572,88,33.64,0,0,-,-,0,5,0,-
49,won match,2017-2019,24,1198,210*,57.04,3,0,-,-,0,11,0,-
50,lost match,2018-2019,18,562,138,33.05,1,1,1/19,67.00,0,8,0,-33.94
51,no result,2018-2019,2,68,65,34.00,0,-,-,-,-,0,0,-
53,won batting first,2017-2019,9,616,210*,77.00,2,0,-,-,0,4,0,-
54,won fielding first,2017-2019,15,582,117*,44.76,1,0,-,-,0,7,0,-
55,lost batting first,2018-2019,9,264,70,29.33,0,0,-,-,0,1,0,-
56,lost fielding first,2018-2019,9,298,138,37.25,1,1,1/19,42.00,0,7,0,-4.74
57,no result batting first,2018-2019,2,68,65,34.00,0,-,-,-,-,0,0,-
59,2 team series,2017-2019,27,1334,210*,58.00,3,1,1/19,61.00,0,12,0,-2.99
60,5+ team tournaments,2017-2019,17,494,114,29.05,1,0,-,-,0,7,0,-
62,1st match in series,2017-2019,6,214,82*,42.80,0,1,1/19,27.00,0,2,0,15.80
63,2nd match in series,2017-2019,5,380,138,95.00,2,0,-,-,0,1,0,-
64,3rd match in series,2017-2019,6,143,65,28.60,0,-,-,-,-,3,0,-
65,4th match in series,2017-2019,5,382,210*,95.50,1,-,-,-,-,2,0,-
66,5th match in series,2017-2019,5,215,85,43.00,0,0,-,-,0,4,0,-
68,World Cup,2019-2019,8,186,62,23.25,0,-,-,-,-,3,0,-
69,Asia Cup,2018-2018,5,56,31,11.20,0,0,-,-,0,2,0,-
70,ICC Champions Trophy,2017-2017,4,252,114,63.00,1,0,-,-,0,2,0,-
72,tournament finals,2017-2017,1,114,114,114.00,1,0,-,-,0,0,0,-
73,tournament semi-finals,2017-2017,1,57,57,57.00,0,-,-,-,-,1,0,-
74,preliminary matches,2017-2019,15,323,62,21.53,0,0,-,-,0,6,0,-
