,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,4,107,41,26.75,0,1,1/20,53.00,0,3,0,-26.24
2,in Bangladesh,2015-2015,3,147,52,49.00,0,0,-,-,0,0,0,-
3,in England,2019-2019,8,267,89,38.14,0,0,-,-,0,3,0,-
4,in New Zealand,2015-2018,6,212,70,35.33,0,3,2/62,57.33,0,3,0,-21.99
5,in Pakistan,2015-2015,2,141,89*,-,0,-,-,-,-,0,0,-
6,in U.A.E.,2014-2019,12,599,130,59.90,2,7,3/45,46.00,0,4,0,13.90
7,in West Indies,2013-2013,3,43,26,21.50,0,-,-,-,-,2,0,-
8,in Zimbabwe,2013-2013,1,2,2,2.00,0,-,-,-,-,0,0,-
10,in Africa,2013-2013,1,2,2,2.00,0,-,-,-,-,0,0,-
11,in Americas,2013-2013,3,43,26,21.50,0,-,-,-,-,2,0,-
12,in Asia,2014-2019,17,887,130,68.23,2,7,3/45,50.42,0,4,0,17.80
13,in Europe,2019-2019,8,267,89,38.14,0,0,-,-,0,3,0,-
14,in Oceania,2015-2018,10,319,70,31.90,0,4,2/62,56.25,0,6,0,-24.34
16,home,2015-2015,2,141,89*,-,0,-,-,-,-,0,0,-
17,away,2013-2019,15,444,63,34.15,0,1,1/29,165.00,0,5,0,-130.84
18,neutral,2014-2019,22,933,130,46.65,2,10,3/45,44.80,0,10,0,1.85
20,year 2013,,4,45,26,15.00,0,-,-,-,-,2,0,-
21,year 2014,,5,235,85*,58.75,0,6,3/45,36.16,0,1,0,22.58
22,year 2015,,13,494,89*,44.90,0,3,2/62,75.66,0,6,0,-30.75
23,year 2018,,4,186,63,46.50,0,1,1/29,59.00,0,0,0,-12.49
24,year 2019,,13,558,130,50.72,2,1,1/35,110.00,0,6,0,-59.27
26,season 2013,,4,45,26,15.00,0,-,-,-,-,2,0,-
27,season 2014/15,,13,441,85*,36.75,0,9,3/45,45.88,0,7,0,-9.13
28,season 2015,,5,288,89*,96.00,0,0,-,-,0,0,0,-
29,season 2017/18,,2,113,63,56.50,0,1,1/29,29.00,0,0,0,27.50
30,season 2018,,1,13,13,13.00,0,0,-,-,0,0,0,-
31,season 2018/19,,6,351,130,70.20,2,1,1/35,75.00,0,3,0,-4.79
32,season 2019,,8,267,89,38.14,0,0,-,-,0,3,0,-
34,*Azhar Ali,2015-2015,5,288,89*,96.00,0,0,-,-,0,0,0,-
35,*Imad Wasim,2019-2019,2,155,130,77.50,1,0,-,-,0,2,0,-
36,*Misbah-ul-Haq,2013-2015,14,369,85*,30.75,0,6,3/48,47.16,0,8,0,-16.41
37,*Sarfaraz Ahmed,2018-2019,12,453,89,41.18,0,1,1/29,94.00,0,3,0,-52.81
38,*Shahid Afridi,2014-2014,3,117,65,39.00,0,3,3/45,43.33,0,1,0,-4.33
39,*Shoaib Malik,2019-2019,3,136,101*,68.00,1,1,1/35,53.00,0,1,0,15.00
41,is not captain,2013-2019,39,1518,130,46.00,2,11,3/45,55.72,0,15,0,-9.72
43,is not keeper,2013-2019,39,1518,130,46.00,2,11,3/45,55.72,0,15,0,-9.72
