,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2017-2017,5,22,13,22,0,12,5/52,25.66,1,0,0,-3.66
2,in England,2016-2019,18,90,32,11.25,0,26,4/60,36.5,0,3,0,-25.24
3,in Ireland,2016-2016,1,-,-,-,-,0,-,-,0,1,0,-
4,in New Zealand,2018-2018,4,53,51,17.66,0,6,3/59,36.16,0,2,0,-18.49
5,in South Africa,2019-2019,3,60,59,30,0,2,1/33,53,0,1,0,-22.99
6,in U.A.E.,2016-2018,16,55,16,11,0,24,5/34,24.04,1,4,0,-13.04
7,in West Indies,2017-2017,3,-,-,-,-,6,5/38,18.33,1,1,0,-
8,in Zimbabwe,2018-2018,3,0,0,0,0,6,3/32,15.5,0,0,0,-15.49
10,in Africa,2018-2019,6,60,59,20,0,8,3/32,24.87,0,1,0,-4.87
11,in Americas,2017-2017,3,-,-,-,-,6,5/38,18.33,1,1,0,-
12,in Asia,2016-2018,16,55,16,11,0,24,5/34,24.04,1,4,0,-13.04
13,in Europe,2016-2019,19,90,32,11.25,0,26,4/60,37.3,0,4,0,-26.05
14,in Oceania,2017-2018,9,75,51,18.75,0,18,5/52,29.16,1,2,0,-10.41
16,away,2016-2019,30,192,59,16,0,46,5/38,31.69,2,6,0,-15.69
17,neutral,2016-2019,23,88,32,11,0,36,5/34,25.63,1,6,0,-14.63
19,year 2016,,8,15,9,5,0,11,4/60,31.18,0,2,0,-26.18
20,year 2017,,18,40,13,13.33,0,45,5/34,17.04,3,4,0,-3.71
21,year 2018,,15,88,51,11,0,19,3/32,34,0,5,0,-22.99
22,year 2019,,12,137,59,22.83,0,7,1/33,89.28,0,1,0,-66.45
24,season 2016,,5,13,9,4.33,0,8,4/60,32.5,0,2,0,-28.16
25,season 2016/17,,8,24,13,24,0,15,5/52,26.06,1,0,0,-2.06
26,season 2017,,8,0,0,0,0,19,5/38,15.84,1,3,0,-15.84
27,season 2017/18,,9,71,51,17.75,0,20,5/34,18.75,1,3,0,-0.99
28,season 2018,,8,17,8,5.66,0,11,3/32,28,0,2,0,-22.33
29,season 2018/19,,6,78,59,19.5,0,4,2/59,56.75,0,2,0,-37.24
30,season 2019,,9,77,32,19.25,0,5,1/57,103.8,0,0,0,-84.54
32,*Azhar Ali,2016-2017,11,37,13,9.25,0,21,5/52,26.66,1,2,0,-17.41
33,*Mohammad Hafeez,2017-2017,2,-,-,-,-,2,1/29,45.5,0,0,0,-
34,*Sarfaraz Ahmed,2017-2019,40,243,59,15.18,0,59,5/34,29.32,2,10,0,-14.13
36,is not captain,2016-2019,53,280,59,14,0,82,5/34,29.03,3,12,0,-15.03
38,is not keeper,2016-2019,53,280,59,14,0,82,5/34,29.03,3,12,0,-15.03
40,won the toss,2016-2019,20,110,51,11,0,23,4/60,42.47,0,3,0,-31.47
41,lost the toss,2016-2019,33,170,59,17,0,59,5/34,23.79,3,9,0,-6.79
43,won toss & batted,2016-2019,12,74,51,9.25,0,6,2/55,79.33,0,1,0,-70.08
44,won toss & fielded,2016-2019,8,36,32,18,0,17,4/60,29.47,0,2,0,-11.47
45,lost toss & sent in,2016-2019,14,102,59,25.5,0,17,5/38,28.64,1,2,0,-3.14
46,lost toss & fielded,2016-2019,19,68,16,11.33,0,42,5/34,21.83,2,7,0,-10.49
48,matches batting first,2016-2019,26,176,59,14.66,0,23,5/38,41.86,1,3,0,-27.2
49,matches fielding first,2016-2019,27,104,32,13,0,59,5/34,24.03,2,9,0,-11.03
51,1st match innings,2016-2019,53,176,59,14.66,0,59,5/34,24.03,2,9,0,-9.36
52,2nd match innings,2016-2019,52,104,32,13,0,23,5/38,41.86,1,3,0,-28.86
54,day match,2016-2019,27,127,51,12.7,0,42,5/38,30.52,1,6,0,-17.82
55,day/night match,2016-2019,26,153,59,15.3,0,40,5/34,27.47,2,6,0,-12.17
57,won match,2016-2019,25,36,11*,18,0,52,5/34,16.71,2,9,0,1.28
58,lost match,2016-2019,26,242,59,14.23,0,30,5/52,50.4,1,3,0,-36.16
59,no result,2018-2019,2,2,2,2,0,-,-,-,-,0,0,-
61,won batting first,2016-2019,11,30,11*,15,0,18,5/38,19.77,1,2,0,-4.77
62,won fielding first,2016-2019,14,6,6*,-,0,34,5/34,15.08,1,7,0,-
63,lost batting first,2016-2019,13,144,59,16,0,5,1/33,121.4,0,1,0,-105.39
64,lost fielding first,2016-2019,13,98,32,12.25,0,25,5/52,36.2,1,2,0,-23.94
65,no result batting first,2018-2019,2,2,2,2,0,-,-,-,-,0,0,-
67,2 team series,2016-2019,39,220,59,14.66,0,62,5/34,27.72,3,8,0,-13.05
68,5+ team tournaments,2017-2019,14,60,32,12,0,20,3/19,33.1,0,4,0,-21.09
70,1st match in series,2016-2019,10,30,16,15,0,14,3/14,25,0,3,0,-9.99
71,2nd match in series,2016-2019,10,121,59,30.25,0,14,5/38,31.92,1,2,0,-1.67
72,3rd match in series,2016-2019,9,26,18*,6.5,0,13,5/34,27.61,1,1,0,-21.11
73,4th match in series,2016-2019,5,19,9,6.33,0,10,5/52,25.9,1,1,0,-19.56
74,5th match in series,2016-2019,5,24,13,12,0,11,4/60,27.63,0,1,0,-15.63
76,World Cup,2019-2019,4,43,32,21.5,0,2,1/67,128,0,0,0,-106.49
77,Asia Cup,2018-2018,5,17,8,8.5,0,5,2/19,43,0,2,0,-34.49
78,ICC Champions Trophy,2017-2017,5,0,0,0,0,13,3/19,14.69,0,2,0,-14.69
80,tournament finals,2017-2017,1,-,-,-,-,3,3/19,6.33,0,0,0,-
81,tournament semi-finals,2017-2017,1,-,-,-,-,3,3/35,11.66,0,0,0,-
82,preliminary matches,2017-2019,12,60,32,12,0,14,3/24,43.42,0,4,0,-31.42
