,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2017-2017,4,63,29,21.00,0,4,2/35,50.00,0,2,0,-28.99
2,in England,2016-2019,20,411,63*,45.66,0,14,3/53,50.42,0,4,0,-4.76
3,in Ireland,2016-2016,1,0,0*,-,0,5,5/14,2.80,1,0,0,-
4,in New Zealand,2016-2016,1,1,1,1.00,0,0,-,-,0,0,0,-
5,in South Africa,2019-2019,4,90,47*,-,0,1,1/36,145.00,0,1,0,-
6,in Sri Lanka,2015-2015,3,15,15,15.00,0,3,2/28,32.66,0,1,0,-17.66
7,in U.A.E.,2016-2019,14,250,50*,35.71,0,9,2/13,53.66,0,2,0,-17.95
8,in West Indies,2017-2017,3,49,43*,-,0,1,1/24,74.00,0,0,0,-
9,in Zimbabwe,2015-2015,2,61,61,61.00,0,4,3/36,15.00,0,1,0,46.00
11,in Africa,2015-2019,6,151,61,151.00,0,5,3/36,41.00,0,2,0,110.00
12,in Americas,2017-2017,3,49,43*,-,0,1,1/24,74.00,0,0,0,-
13,in Asia,2015-2019,17,265,50*,33.12,0,12,2/13,48.41,0,3,0,-15.29
14,in Europe,2016-2019,21,411,63*,45.66,0,19,5/14,37.89,1,4,0,7.77
15,in Oceania,2016-2017,5,64,29,16.00,0,4,2/35,61.75,0,2,0,-45.74
17,away,2015-2019,28,499,63*,49.90,0,28,5/14,36.92,1,7,0,12.97
18,neutral,2016-2019,24,441,50*,36.75,0,13,2/13,61.00,0,4,0,-24.24
20,year 2015,,5,76,61,38.00,0,7,3/36,22.57,0,2,0,15.42
21,year 2016,,9,193,63*,48.25,0,12,5/14,27.66,1,3,0,20.58
22,year 2017,,16,161,43*,26.83,0,9,2/13,50.55,0,3,0,-23.72
23,year 2018,,2,50,50,50.00,0,1,1/38,62.00,0,0,0,-11.99
24,year 2019,,20,460,50*,51.11,0,12,3/53,68.33,0,3,0,-17.22
26,season 2015,,3,15,15,15.00,0,3,2/28,32.66,0,1,0,-17.66
27,season 2015/16,,3,62,61,31.00,0,4,3/36,26.75,0,1,0,4.25
28,season 2016,,5,153,63*,-,0,9,5/14,17.55,1,1,0,-
29,season 2016/17,,7,102,29,17.00,0,7,2/35,46.71,0,4,0,-29.71
30,season 2017,,8,78,43*,39.00,0,3,2/20,70.66,0,1,0,-31.66
31,season 2017/18,,4,20,10*,20.00,0,2,2/13,21.50,0,0,0,-1.49
32,season 2018/19,,11,281,50*,93.66,0,5,2/56,91.60,0,1,0,2.06
33,season 2019,,11,229,49*,32.71,0,8,3/53,53.00,0,2,0,-20.28
35,*Azhar Ali,2015-2017,15,323,63*,40.37,0,18,5/14,31.00,1,6,0,9.37
36,*Imad Wasim,2019-2019,2,51,50*,51.00,0,2,2/56,53.50,0,0,0,-2.49
37,*Mohammad Hafeez,2017-2017,2,9,9,9.00,0,2,2/37,48.00,0,1,0,-38.99
38,*Sarfaraz Ahmed,2015-2019,28,420,50,38.18,0,17,3/36,49.88,0,3,0,-11.70
39,*Shoaib Malik,2019-2019,5,137,47*,137.00,0,2,1/34,109.00,0,1,0,28.00
41,is captain,2019-2019,2,51,50*,51.00,0,2,2/56,53.50,0,0,0,-2.49
42,is not captain,2015-2019,50,889,63*,42.33,0,39,5/14,44.10,1,11,0,-1.76
44,is not keeper,2015-2019,52,940,63*,42.72,0,41,5/14,44.56,1,11,0,-1.83
46,won the toss,2015-2019,23,444,63*,44.40,0,14,3/36,66.92,0,4,0,-22.52
47,lost the toss,2015-2019,29,496,61,41.33,0,27,5/14,32.96,1,7,0,8.37
49,won toss & batted,2015-2019,12,318,63*,63.60,0,7,2/28,64.42,0,1,0,-0.82
50,won toss & fielded,2015-2019,11,126,50*,25.20,0,7,3/36,69.42,0,3,0,-44.22
51,lost toss & sent in,2015-2019,13,260,61,43.33,0,10,5/14,35.90,1,3,0,7.43
52,lost toss & fielded,2015-2019,16,236,50,39.33,0,17,3/53,31.23,0,4,0,8.09
54,matches batting first,2015-2019,25,578,63*,52.54,0,17,5/14,47.64,1,4,0,4.89
55,matches fielding first,2015-2019,27,362,50*,32.90,0,24,3/36,42.37,0,7,0,-9.46
57,1st match innings,2015-2019,52,578,63*,52.54,0,24,3/36,42.37,0,7,0,10.17
58,2nd match innings,2015-2019,51,362,50*,32.90,0,17,5/14,47.64,1,4,0,-14.73
60,day match,2015-2019,22,414,63*,46.00,0,19,5/14,38.10,1,6,0,7.89
61,day/night match,2015-2019,30,526,57*,40.46,0,22,2/13,50.13,0,5,0,-9.67
63,won match,2015-2019,27,323,61,40.37,0,26,5/14,28.69,1,9,0,11.68
64,lost match,2015-2019,24,617,63*,44.07,0,15,3/53,72.06,0,2,0,-27.99
65,no result,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
67,won batting first,2015-2019,12,254,61,36.28,0,11,5/14,28.81,1,4,0,7.46
68,won fielding first,2015-2019,15,69,49*,69.00,0,15,3/36,28.60,0,5,0,40.40
69,lost batting first,2016-2019,12,324,63*,81.00,0,6,2/38,82.16,0,0,0,-1.16
70,lost fielding first,2015-2019,12,293,50*,29.30,0,9,3/53,65.33,0,2,0,-36.03
71,no result batting first,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
73,2 team series,2015-2019,41,749,63*,44.05,0,37,5/14,40.56,1,9,0,3.49
74,5+ team tournaments,2017-2019,11,191,49*,38.20,0,4,2/20,81.50,0,2,0,-43.29
76,1st match in series,2015-2019,12,226,61,45.20,0,10,5/14,34.00,1,2,0,11.20
77,2nd match in series,2016-2019,8,154,63*,51.33,0,5,2/37,63.20,0,3,0,-11.86
78,3rd match in series,2015-2019,8,121,43*,30.25,0,9,3/36,33.55,0,0,0,-3.30
79,4th match in series,2015-2019,7,95,57*,31.66,0,9,2/13,36.55,0,3,0,-4.88
80,5th match in series,2015-2019,6,153,50*,76.50,0,4,3/53,53.50,0,1,0,23.00
82,World Cup,2019-2019,6,162,49*,54.00,0,2,2/48,94.00,0,1,0,-39.99
83,ICC Champions Trophy,2017-2017,5,29,25*,14.50,0,2,2/20,69.00,0,1,0,-54.49
85,tournament finals,2017-2017,1,25,25*,-,0,0,-,-,0,1,0,-
86,tournament semi-finals,2017-2017,1,-,-,-,-,0,-,-,0,0,0,-
87,preliminary matches,2017-2019,9,166,49*,33.20,0,4,2/20,76.75,0,1,0,-43.54
