,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2019-2019,12,539,151,53.90,2,-,-,-,-,2,0,-
2,in New Zealand,2018-2018,1,2,2,2.00,0,-,-,-,-,0,0,-
3,in South Africa,2019-2019,5,271,101,54.20,1,-,-,-,-,1,0,-
4,in U.A.E.,2017-2019,13,485,100,48.50,1,-,-,-,-,3,0,-
5,in Zimbabwe,2018-2018,5,395,128,79.00,3,-,-,-,-,1,0,-
7,in Africa,2018-2019,10,666,128,66.60,4,-,-,-,-,2,0,-
8,in Asia,2017-2019,13,485,100,48.50,1,-,-,-,-,3,0,-
9,in Europe,2019-2019,12,539,151,53.90,2,-,-,-,-,2,0,-
10,in Oceania,2018-2018,1,2,2,2.00,0,-,-,-,-,0,0,-
12,away,2018-2019,16,946,151,67.57,5,-,-,-,-,2,0,-
13,neutral,2017-2019,20,746,100,43.88,2,-,-,-,-,5,0,-
15,year 2017,,3,147,100,73.50,1,-,-,-,-,0,0,-
16,year 2018,,13,672,128,61.09,3,-,-,-,-,3,0,-
17,year 2019,,20,873,151,48.50,3,-,-,-,-,4,0,-
19,season 2017/18,,4,149,100,49.66,1,-,-,-,-,0,0,-
20,season 2018,,10,620,128,68.88,3,-,-,-,-,2,0,-
21,season 2018/19,,10,384,101,42.66,1,-,-,-,-,3,0,-
22,season 2019,,12,539,151,53.90,2,-,-,-,-,2,0,-
24,*Sarfaraz Ahmed,2017-2019,31,1550,151,59.61,7,-,-,-,-,6,0,-
25,*Shoaib Malik,2019-2019,5,142,71,28.40,0,-,-,-,-,1,0,-
27,is not captain,2017-2019,36,1692,151,54.58,7,-,-,-,-,7,0,-
29,is not keeper,2017-2019,36,1692,151,54.58,7,-,-,-,-,7,0,-
31,won the toss,2018-2019,14,665,113,47.50,4,-,-,-,-,4,0,-
32,lost the toss,2017-2019,22,1027,151,60.41,3,-,-,-,-,3,0,-
34,won toss & batted,2018-2019,10,499,113,49.90,4,-,-,-,-,3,0,-
35,won toss & fielded,2019-2019,4,166,71,41.50,0,-,-,-,-,1,0,-
36,lost toss & sent in,2018-2019,8,386,151,64.33,2,-,-,-,-,1,0,-
37,lost toss & fielded,2017-2019,14,641,100,58.27,1,-,-,-,-,2,0,-
39,matches batting first,2018-2019,18,885,151,55.31,6,-,-,-,-,4,0,-
40,matches fielding first,2017-2019,18,807,100,53.80,1,-,-,-,-,3,0,-
42,1st match innings,2017-2019,36,885,151,55.31,6,-,-,-,-,3,0,-
43,2nd match innings,2017-2019,35,807,100,53.80,1,-,-,-,-,4,0,-
45,day match,2018-2019,21,1033,128,51.65,4,-,-,-,-,4,0,-
46,day/night match,2017-2019,15,659,151,59.90,3,-,-,-,-,3,0,-
48,won match,2017-2019,18,1088,128,72.53,5,-,-,-,-,4,0,-
49,lost match,2018-2019,17,562,151,35.12,2,-,-,-,-,3,0,-
50,no result,2019-2019,1,42,42*,-,0,-,-,-,-,-,-,-
52,won batting first,2018-2019,6,539,128,89.83,4,-,-,-,-,2,0,-
53,won fielding first,2017-2019,12,549,100,61.00,1,-,-,-,-,2,0,-
54,lost batting first,2018-2019,11,304,151,30.40,2,-,-,-,-,2,0,-
55,lost fielding first,2018-2019,6,258,83,43.00,0,-,-,-,-,1,0,-
56,no result batting first,2019-2019,1,42,42*,-,0,-,-,-,-,-,-,-
58,2 team series,2017-2019,23,1162,151,61.15,6,-,-,-,-,4,0,-
59,5+ team tournaments,2018-2019,13,530,100,44.16,1,-,-,-,-,3,0,-
61,1st match in series,2018-2019,5,307,128,76.75,1,-,-,-,-,0,0,-
62,2nd match in series,2018-2019,6,102,44,20.40,0,-,-,-,-,3,0,-
63,3rd match in series,2017-2019,5,398,151,79.60,3,-,-,-,-,0,0,-
64,4th match in series,2017-2019,4,192,113,64.00,1,-,-,-,-,0,0,-
65,5th match in series,2017-2019,3,163,110,81.50,1,-,-,-,-,1,0,-
67,World Cup,2019-2019,8,305,100,38.12,1,-,-,-,-,2,0,-
68,Asia Cup,2018-2018,5,225,83,56.25,0,-,-,-,-,1,0,-
