,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2010-2017,7,38,17,7.60,0,12,3/47,30.41,0,0,0,-22.81
2,in England,2016-2019,17,112,58,22.40,0,26,5/30,27.03,1,2,0,-4.63
3,in Ireland,2016-2016,1,-,-,-,-,1,1/7,7.00,0,0,0,-
4,in New Zealand,2016-2018,6,23,14,7.66,0,7,3/28,30.28,0,0,0,-22.61
5,in South Africa,2009-2019,6,25,19*,12.50,0,8,3/24,25.50,0,1,0,-12.99
6,in Sri Lanka,2009-2010,7,59,24*,19.66,0,11,4/28,26.90,0,3,0,-7.24
7,in U.A.E.,2009-2019,9,106,73*,53.00,0,6,2/41,55.50,0,2,0,-2.49
8,in West Indies,2017-2017,3,-,-,-,-,5,2/41,27.20,0,0,0,-
9,in Zimbabwe,2018-2018,3,-,-,-,-,1,1/21,73.00,0,0,0,-
11,in Africa,2009-2019,9,25,19*,12.50,0,9,3/24,30.77,0,1,0,-18.27
12,in Americas,2017-2017,3,-,-,-,-,5,2/41,27.20,0,0,0,-
13,in Asia,2009-2019,16,165,73*,33.00,0,17,4/28,37.00,0,5,0,-3.99
14,in Europe,2016-2019,18,112,58,22.40,0,27,5/30,26.29,1,2,0,-3.89
15,in Oceania,2010-2018,13,61,17,7.62,0,19,3/28,30.36,0,0,0,-22.74
17,away,2009-2019,35,187,58,14.38,0,45,4/28,31.02,0,3,0,-16.63
18,neutral,2009-2019,24,176,73*,25.14,0,32,5/30,29.15,1,5,0,-4.01
20,year 2009,,11,155,73*,38.75,0,19,4/28,21.31,0,6,0,17.43
21,year 2010,,4,12,5,3.00,0,6,3/53,32.50,0,0,0,-29.49
22,year 2016,,9,68,58,17.00,0,12,3/28,28.16,0,0,0,-11.16
23,year 2017,,12,71,28*,17.75,0,18,3/16,31.66,0,0,0,-13.91
24,year 2018,,10,40,18*,40.00,0,3,1/18,100.66,0,0,0,-60.66
25,year 2019,,13,17,8,5.66,0,19,5/30,27.31,1,2,0,-21.64
27,season 2009,,5,51,24*,51.00,0,9,4/28,20.33,0,3,0,30.66
28,season 2009/10,,8,108,73*,21.60,0,14,3/24,21.71,0,3,0,-0.11
29,season 2010,,2,8,5,4.00,0,2,2/57,56.50,0,0,0,-52.49
30,season 2015/16,,2,1,1,0.50,0,5,3/28,13.40,0,0,0,-12.89
31,season 2016,,5,64,58,32.00,0,5,3/50,40.20,0,0,0,-8.19
