,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2005-2017,11,198,72,18.00,0,4,1/17,97.25,0,8,0,-79.24
2,in Bangladesh,2011-2015,16,526,105,35.06,1,16,3/27,27.75,0,8,0,7.31
3,in England,2003-2019,32,843,84,29.06,0,12,3/31,62.83,0,17,0,-33.76
4,in India,2005-2013,9,255,76,28.33,0,8,2/55,36.75,0,2,0,-8.41
5,in Ireland,2011-2016,5,213,122*,53.25,1,4,2/34,27.25,0,2,0,26.00
6,in New Zealand,2011-2018,15,518,115,37.00,1,4,2/57,35.25,0,6,0,1.75
7,in Pakistan,2003-2015,18,452,92,25.11,0,11,3/17,44.09,0,4,0,-18.97
8,in Scotland,2013-2013,1,18,18,18.00,0,1,1/12,12.00,0,0,0,6.00
9,in South Africa,2007-2019,14,301,71*,25.08,0,7,2/35,59.42,0,2,0,-34.34
10,in Sri Lanka,2003-2015,24,601,103,25.04,1,23,4/41,21.86,0,9,0,3.17
11,in U.A.E.,2003-2018,49,1631,140*,37.93,4,33,2/14,37.27,0,15,0,0.65
12,in West Indies,2007-2017,15,588,121,39.20,1,12,2/23,32.50,0,8,0,6.70
13,in Zimbabwe,2011-2015,9,470,139*,78.33,2,4,2/40,58.25,0,4,0,20.08
15,in Africa,2007-2019,23,771,139*,42.83,2,11,2/35,59.00,0,6,0,-16.16
16,in Americas,2007-2017,15,588,121,39.20,1,12,2/23,32.50,0,8,0,6.70
17,in Asia,2003-2018,116,3465,140*,31.78,6,91,4/41,32.48,0,38,0,-0.69
18,in Europe,2003-2019,38,1074,122*,31.58,1,17,3/31,51.47,0,19,0,-19.88
19,in Oceania,2005-2018,26,716,115,28.64,1,8,2/57,66.25,0,14,0,-37.60
21,home,2003-2015,18,452,92,25.11,0,11,3/17,44.09,0,4,0,-18.97
22,away,2003-2019,116,3729,139*,34.85,6,73,4/41,38.53,0,49,0,-3.68
23,neutral,2003-2019,84,2433,140*,32.01,5,55,3/29,38.21,0,32,0,-6.20
25,year 2003,,22,419,69,19.04,0,21,3/17,25.38,0,9,0,-6.33
26,year 2005,,8,124,42,15.50,0,6,2/55,51.33,0,4,0,-35.83
27,year 2006,,12,255,92,23.18,0,4,1/21,51.50,0,4,0,-28.31
28,year 2007,,6,76,34,12.66,0,7,2/39,33.00,0,3,0,-20.33
29,year 2010,,10,370,68,37.00,0,7,2/34,44.14,0,4,0,-7.14
30,year 2011,,32,1075,139*,37.06,3,32,3/27,25.34,0,6,0,11.72
31,year 2012,,18,476,105,26.44,1,13,2/20,42.53,0,5,0,-16.09
32,year 2013,,33,1301,140*,46.46,5,23,2/34,46.13,0,12,0,0.33
33,year 2014,,12,360,76,30.00,0,9,3/29,29.00,0,7,0,1.00
34,year 2015,,20,782,103,41.15,2,7,4/41,32.28,0,8,0,8.87
35,year 2016,,4,166,76,41.50,0,-,-,-,-,2,0,-
36,year 2017,,18,555,88,39.64,0,7,2/23,74.28,0,9,0,-34.64
37,year 2018,,8,194,81,27.71,0,1,1/31,54.00,0,5,0,-26.28
38,year 2019,,15,461,84,35.46,0,2,1/43,163.50,0,7,0,-128.03
40,season 2002/03,,4,100,50,25.00,0,5,2/14,17.00,0,3,0,8.00
41,season 2003,,13,286,69,22.00,0,11,3/17,28.72,0,4,0,-6.72
42,season 2003/04,,5,33,20,6.60,0,5,3/37,26.40,0,2,0,-19.79
43,season 2004/05,,8,124,42,15.50,0,6,2/55,51.33,0,4,0,-35.83
44,season 2006,,5,65,20,16.25,0,2,1/21,46.00,0,3,0,-29.74
45,season 2006/07,,11,226,92,20.54,0,7,2/39,35.14,0,3,0,-14.59
46,season 2007,,1,34,34,34.00,0,2,2/55,27.50,0,1,0,6.50
47,season 2007/08,,1,6,6,6.00,0,0,-,-,0,0,0,-
48,season 2010,,5,167,64,33.40,0,1,1/40,128.00,0,2,0,-94.59
49,season 2010/11,,19,584,115,34.35,1,18,2/16,28.61,0,4,0,5.74
50,season 2011,,10,507,139*,56.33,2,9,2/31,33.44,0,1,0,22.88
51,season 2011/12,,17,501,105,29.47,1,14,3/27,34.28,0,6,0,-4.81
52,season 2012,,8,162,78,20.25,0,9,2/20,24.77,0,1,0,-4.52
53,season 2012/13,,8,215,76,26.87,0,7,2/35,42.00,0,1,0,-15.12
54,season 2013,,14,517,136*,47.00,2,8,2/34,46.25,0,6,0,0.75
55,season 2013/14,,17,727,140*,48.46,3,14,3/29,43.78,0,10,0,4.68
56,season 2014,,3,84,62,28.00,0,4,3/39,17.75,0,3,0,10.25
57,season 2014/15,,6,204,86,34.00,0,-,-,-,-,0,0,-
58,season 2015,,11,462,103,42.00,1,7,4/41,32.28,0,4,0,9.71
59,season 2015/16,,9,352,102*,44.00,1,-,-,-,-,5,0,-
60,season 2016,,2,48,37,24.00,0,-,-,-,-,1,0,-
61,season 2016/17,,5,123,72,24.60,0,0,-,-,0,4,0,-
62,season 2017,,8,349,88,58.16,0,4,2/23,50.00,0,5,0,8.16
63,season 2017/18,,10,231,81,28.87,0,3,1/24,41.66,0,3,0,-12.79
64,season 2018/19,,8,195,71*,39.00,0,1,1/31,119.00,0,3,0,-79.99
65,season 2019,,10,312,84,31.20,0,2,1/43,131.00,0,6,0,-99.79
67,*Abdul Razzaq,2006-2006,1,1,1,1.00,0,0,-,-,0,0,0,-
68,*Azhar Ali,2015-2017,24,896,103,38.95,2,7,4/41,49.42,0,13,0,-10.47
69,*Inzamam-ul-Haq,2003-2007,28,468,92,17.33,0,21,3/17,39.19,0,10,0,-21.85
70,*Misbah-ul-Haq,2011-2015,76,2614,140*,37.34,7,59,3/27,37.47,0,28,0,-0.13
71,*Mohammad Hafeez,2017-2017,2,76,72,38.00,0,0,-,-,0,0,0,-
72,*Mohammad Yousuf,2003-2003,2,21,20,10.50,0,2,1/25,25.50,0,1,0,-14.99
73,*Rashid Latif,2003-2003,12,278,69,23.16,0,11,3/31,22.36,0,7,0,0.80
74,*Sarfaraz Ahmed,2015-2019,35,1083,88,37.34,0,10,2/23,69.90,0,17,0,-32.55
75,*Shahid Afridi,2010-2014,31,1054,121,36.34,2,25,2/16,31.36,0,6,0,4.98
76,*Shoaib Malik,2007-2019,4,57,34,19.00,0,2,2/55,53.00,0,2,0,-33.99
77,*Younis Khan,2006-2006,3,66,43,22.00,0,2,1/23,23.50,0,1,0,-1.49
79,is captain,2017-2017,2,76,72,38.00,0,0,-,-,0,0,0,-
80,is not captain,2003-2019,216,6538,140*,32.85,11,139,4/41,38.30,0,85,0,-5.45
82,is not keeper,2003-2019,218,6614,140*,32.90,11,139,4/41,38.84,0,85,0,-5.94
84,won the toss,2003-2019,104,2987,122*,29.87,4,63,4/41,37.92,0,44,0,-8.05
85,lost the toss,2003-2019,114,3627,140*,35.91,7,76,3/29,39.61,0,41,0,-3.70
87,won toss & batted,2003-2019,64,1946,122*,30.88,3,36,3/17,37.75,0,21,0,-6.86
88,won toss & fielded,2003-2019,40,1041,103,28.13,1,27,4/41,38.14,0,23,0,-10.01
89,lost toss & sent in,2003-2019,40,1520,140*,43.42,4,28,3/29,33.96,0,15,0,9.46
90,lost toss & fielded,2003-2019,74,2107,139*,31.92,3,48,3/39,42.91,0,26,0,-10.99
92,matches batting first,2003-2019,104,3466,140*,35.36,7,64,3/17,36.09,0,36,0,-0.72
93,matches fielding first,2003-2019,114,3148,139*,30.56,4,75,4/41,41.20,0,49,0,-10.63
95,1st match innings,2003-2019,218,3466,140*,35.36,7,75,4/41,41.20,0,49,0,-5.83
96,2nd match innings,2003-2019,216,3148,139*,30.56,4,64,3/17,36.09,0,36,0,-5.53
98,day match,2003-2019,84,2517,139*,33.11,5,51,4/41,39.21,0,39,0,-6.09
99,day/night match,2003-2019,134,4097,140*,32.77,6,88,3/27,38.63,0,46,0,-5.86
101,won match,2003-2019,107,3804,140*,40.90,8,85,4/41,32.84,0,43,0,8.05
102,lost match,2003-2019,104,2553,121,24.54,2,51,3/31,49.31,0,39,0,-24.76
103,tied match,2013-2013,2,136,122*,136.00,1,2,2/34,25.00,0,2,0,111.00
104,no result,2006-2018,5,121,80,40.33,0,1,1/33,43.00,0,1,0,-2.66
106,won batting first,2003-2019,48,1829,140*,41.56,4,43,3/17,29.23,0,16,0,12.33
107,won fielding first,2003-2019,59,1975,139*,40.30,4,42,4/41,36.54,0,27,0,3.75
108,lost batting first,2003-2019,50,1398,121,27.96,2,19,3/31,52.26,0,18,0,-24.30
109,lost fielding first,2003-2019,54,1155,86,21.38,0,32,3/39,47.56,0,21,0,-26.17
110,tied batting first,2013-2013,2,136,122*,136.00,1,2,2/34,25.00,0,2,0,111.00
111,no result batting first,2011-2018,4,103,80,34.33,0,0,-,-,0,0,0,-
112,no result fielding first,2006-2006,1,18,18*,-,0,1,1/33,33.00,0,1,0,-
114,2 team series,2003-2019,165,5225,140*,34.60,10,102,4/41,39.65,0,57,0,-5.05
115,3-4 team tournaments,2003-2012,19,496,105,26.10,1,14,2/14,35.78,0,12,0,-9.68
116,5+ team tournaments,2006-2019,34,893,84,28.80,0,23,3/29,37.13,0,16,0,-8.32
