,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2010-2015,3,117,101*,58.50,1,-,-,-,-,1,0,-
2,in Bangladesh,2011-2015,7,110,46*,36.66,0,-,-,-,-,7,0,-
3,in England,2016-2019,23,705,105,54.23,1,-,-,-,-,26,1,-
4,in India,2007-2007,1,-,-,-,-,-,-,-,-,2,0,-
5,in Ireland,2016-2016,1,2,2,2.00,0,-,-,-,-,1,2,-
6,in New Zealand,2015-2018,10,217,51,24.11,0,-,-,-,-,16,1,-
7,in Pakistan,2008-2015,10,73,25,18.25,0,-,-,-,-,7,3,-
8,in South Africa,2019-2019,3,48,41,24.00,0,-,-,-,-,2,0,-
9,in Sri Lanka,2012-2015,10,148,77,29.60,0,-,-,-,-,5,4,-
10,in U.A.E.,2011-2018,32,680,65,30.90,0,-,-,-,-,31,9,-
11,in West Indies,2017-2017,3,70,26,70.00,0,-,-,-,-,2,2,-
12,in Zimbabwe,2013-2018,11,101,44,25.25,0,0,-,-,0,12,2,-
14,in Africa,2013-2019,14,149,44,24.83,0,0,-,-,0,14,2,-
15,in Americas,2017-2017,3,70,26,70.00,0,-,-,-,-,2,2,-
16,in Asia,2007-2018,60,1011,77,29.73,0,-,-,-,-,52,16,-
17,in Europe,2016-2019,24,707,105,50.50,1,-,-,-,-,27,3,-
18,in Oceania,2010-2018,13,334,101*,30.36,1,-,-,-,-,17,1,-
20,home,2008-2015,10,73,25,18.25,0,-,-,-,-,7,3,-
21,away,2007-2019,58,1204,105,35.41,1,0,-,-,0,51,11,-
22,neutral,2011-2019,46,994,101*,35.50,1,-,-,-,-,54,10,-
24,year 2007,,1,-,-,-,-,-,-,-,-,2,0,-
25,year 2008,,7,26,19,13.00,0,-,-,-,-,4,3,-
26,year 2010,,1,6,6,6.00,0,-,-,-,-,1,0,-
27,year 2011,,6,55,24,13.75,0,-,-,-,-,8,4,-
28,year 2012,,8,85,46*,42.50,0,-,-,-,-,2,1,-
29,year 2013,,3,29,22,14.50,0,-,-,-,-,2,2,-
30,year 2014,,8,254,65,36.28,0,-,-,-,-,9,0,-
31,year 2015,,22,551,101*,34.43,1,-,-,-,-,21,6,-
32,year 2016,,11,492,105,54.66,1,-,-,-,-,11,4,-
33,year 2017,,13,152,61*,38.00,0,-,-,-,-,21,2,-
34,year 2018,,18,244,64,24.40,0,0,-,-,0,15,1,-
35,year 2019,,16,377,97,41.88,0,-,-,-,-,16,1,-
37,season 2007/08,,3,-,-,-,-,-,-,-,-,2,2,-
38,season 2008,,5,26,19,13.00,0,-,-,-,-,4,1,-
39,season 2009/10,,1,6,6,6.00,0,-,-,-,-,1,0,-
40,season 2011/12,,9,120,46*,30.00,0,-,-,-,-,9,4,-
41,season 2012,,5,20,20,10.00,0,-,-,-,-,1,1,-
42,season 2013,,3,29,22,14.50,0,-,-,-,-,2,2,-
43,season 2014/15,,13,432,101*,39.27,1,-,-,-,-,17,0,-
44,season 2015,,10,206,77,29.42,0,-,-,-,-,9,3,-
45,season 2015/16,,9,238,64,34.00,0,-,-,-,-,8,4,-
46,season 2016,,6,302,105,50.33,1,-,-,-,-,4,2,-
47,season 2016/17,,3,119,60*,119.00,0,-,-,-,-,3,1,-
48,season 2017,,8,146,61*,73.00,0,-,-,-,-,11,2,-
49,season 2017/18,,10,85,51,14.16,0,-,-,-,-,14,0,-
50,season 2018,,10,87,44,21.75,0,0,-,-,0,10,1,-
51,season 2018/19,,6,126,64,31.50,0,-,-,-,-,3,0,-
52,season 2019,,13,329,97,47.00,0,-,-,-,-,14,1,-
54,*Azhar Ali,2015-2016,27,865,105,41.19,1,-,-,-,-,23,10,-
55,*Misbah-ul-Haq,2008-2015,27,495,101*,30.93,1,-,-,-,-,28,7,-
56,*Sarfaraz Ahmed,2015-2019,48,773,97,33.60,0,0,-,-,0,53,4,-
57,*Shahid Afridi,2010-2014,5,112,32,28.00,0,-,-,-,-,5,0,-
58,*Shoaib Malik,2007-2008,7,26,19,13.00,0,-,-,-,-,3,3,-
60,is captain,2015-2019,48,773,97,33.60,0,0,-,-,0,53,4,-
61,is not captain,2007-2016,66,1498,105,34.83,2,-,-,-,-,59,20,-
63,is designated keeper,2007-2019,114,2271,105,34.40,2,0,-,-,0,112,24,-
65,won the toss,2008-2019,51,1112,105,34.75,1,0,-,-,0,40,8,-
66,lost the toss,2007-2019,63,1159,101*,34.08,1,-,-,-,-,72,16,-
68,won toss & batted,2008-2019,36,739,105,33.59,1,0,-,-,0,16,7,-
69,won toss & fielded,2008-2019,15,373,90,37.30,0,-,-,-,-,24,1,-
70,lost toss & sent in,2007-2019,21,434,55,36.16,0,-,-,-,-,29,5,-
71,lost toss & fielded,2008-2019,42,725,101*,32.95,1,-,-,-,-,43,11,-
73,matches batting first,2007-2019,57,1173,105,34.50,1,0,-,-,0,45,12,-
74,matches fielding first,2008-2019,57,1098,101*,34.31,1,-,-,-,-,67,12,-
76,1st match innings,2007-2019,114,1173,105,34.50,1,-,-,-,-,67,12,-
77,2nd match innings,2007-2019,112,1098,101*,34.31,1,0,-,-,0,45,12,-
79,day match,2008-2019,44,892,105,37.16,1,0,-,-,0,49,11,-
80,day/night match,2007-2019,70,1379,101*,32.83,1,-,-,-,-,63,13,-
82,won match,2007-2019,59,943,101*,44.90,1,0,-,-,0,75,16,-
83,lost match,2008-2019,51,1302,105,29.59,1,-,-,-,-,37,8,-
84,no result,2012-2019,4,26,25,26.00,0,-,-,-,-,0,0,-
86,won batting first,2007-2019,28,551,77,42.38,0,0,-,-,0,35,8,-
87,won fielding first,2008-2019,31,392,101*,49.00,1,-,-,-,-,40,8,-
88,lost batting first,2008-2019,25,596,105,29.80,1,-,-,-,-,10,4,-
89,lost fielding first,2008-2019,26,706,97,29.41,0,-,-,-,-,27,4,-
90,no result batting first,2012-2019,4,26,25,26.00,0,-,-,-,-,0,0,-
92,2 team series,2007-2019,85,1733,105,33.32,1,0,-,-,0,76,21,-
93,3-4 team tournaments,2012-2012,3,65,46*,-,0,-,-,-,-,1,0,-
94,5+ team tournaments,2008-2019,26,473,101*,33.78,1,-,-,-,-,35,3,-
96,1st match in series,2011-2019,23,375,64,25.00,0,-,-,-,-,26,6,-
97,2nd match in series,2011-2019,21,560,105,35.00,1,-,-,-,-,18,4,-
98,3rd match in series,2011-2019,19,390,77,43.33,0,-,-,-,-,16,6,-
99,4th match in series,2008-2019,11,153,51,25.50,0,-,-,-,-,8,3,-
100,5th match in series,2007-2019,11,255,97,42.50,0,0,-,-,0,8,2,-
102,World Cup,2015-2019,11,303,101*,43.28,1,-,-,-,-,19,1,-
103,Asia Cup,2008-2018,13,159,46*,26.50,0,-,-,-,-,8,2,-
104,ICC Champions Trophy,2017-2017,5,76,61*,76.00,0,-,-,-,-,9,0,-
106,tournament finals,2012-2017,2,46,46*,-,0,-,-,-,-,4,0,-
107,tournament semi-finals,2017-2017,1,-,-,-,-,-,-,-,-,3,0,-
108,tournament quarter-finals,2015-2015,1,10,10,10.00,0,-,-,-,-,0,0,-
109,preliminary matches,2008-2019,25,482,101*,37.07,1,-,-,-,-,29,3,-
