,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2017-2019,11,57,20*,19.00,0,13,3/50,37.84,0,2,0,-18.84
2,in New Zealand,2018-2018,5,140,54,35.00,0,5,3/42,41.20,0,2,0,-6.19
3,in South Africa,2019-2019,5,55,19,27.50,0,5,2/42,50.60,0,0,0,-23.09
4,in U.A.E.,2017-2018,12,83,52*,20.75,0,19,4/38,19.42,0,2,0,1.32
5,in West Indies,2017-2017,3,-,-,-,-,5,2/52,29.80,0,2,0,-
6,in Zimbabwe,2018-2018,5,2,2*,-,0,9,4/28,17.22,0,0,0,-
8,in Africa,2018-2019,10,57,19,28.50,0,14,4/28,29.14,0,0,0,-0.64
9,in Americas,2017-2017,3,-,-,-,-,5,2/52,29.80,0,2,0,-
10,in Asia,2017-2018,12,83,52*,20.75,0,19,4/38,19.42,0,2,0,1.32
11,in Europe,2017-2019,11,57,20*,19.00,0,13,3/50,37.84,0,2,0,-18.84
12,in Oceania,2018-2018,5,140,54,35.00,0,5,3/42,41.20,0,2,0,-6.19
14,away,2017-2019,20,207,54,34.50,0,27,4/28,32.07,0,4,0,2.42
15,neutral,2017-2019,21,130,52*,18.57,0,29,4/38,26.13,0,4,0,-7.56
17,year 2017,,12,66,52*,-,0,19,3/47,25.47,0,3,0,-
18,year 2018,,17,173,54,21.62,0,23,4/28,24.65,0,4,0,-3.02
19,year 2019,,12,98,20*,19.60,0,14,3/50,40.92,0,1,0,-21.32
21,season 2017,,7,14,14*,-,0,9,2/52,35.66,0,3,0,-
22,season 2017/18,,10,192,54,48.00,0,15,3/42,24.60,0,2,0,23.40
23,season 2018,,9,24,10,8.00,0,13,4/28,22.92,0,1,0,-14.92
24,season 2018/19,,8,64,19,21.33,0,10,4/38,31.60,0,1,0,-10.26
25,season 2019,,7,43,20*,14.33,0,9,3/50,35.55,0,1,0,-21.22
27,*Sarfaraz Ahmed,2017-2019,39,318,54,26.50,0,54,4/28,27.85,0,8,0,-1.35
28,*Shoaib Malik,2019-2019,2,19,19,19.00,0,2,2/42,60.00,0,0,0,-40.99
30,is not captain,2017-2019,41,337,54,25.92,0,56,4/28,29.00,0,8,0,-3.07
32,is not keeper,2017-2019,41,337,54,25.92,0,56,4/28,29.00,0,8,0,-3.07
34,won the toss,2017-2019,16,192,52*,38.40,0,20,4/28,32.35,0,1,0,6.05
35,lost the toss,2017-2019,25,145,54,18.12,0,36,4/32,27.13,0,7,0,-9.01
37,won toss & batted,2017-2019,11,130,52*,32.50,0,16,4/28,25.18,0,1,0,7.31
38,won toss & fielded,2017-2019,5,62,28,62.00,0,4,2/42,61.00,0,0,0,1.00
39,lost toss & sent in,2017-2019,9,49,19,16.33,0,14,4/32,28.35,0,3,0,-12.02
40,lost toss & fielded,2017-2019,16,96,54,19.20,0,22,4/38,26.36,0,4,0,-7.16
42,matches batting first,2017-2019,20,179,52*,25.57,0,30,4/28,26.66,0,4,0,-1.09
43,matches fielding first,2017-2019,21,158,54,26.33,0,26,4/38,31.69,0,4,0,-5.35
45,1st match innings,2017-2019,41,179,52*,25.57,0,26,4/38,31.69,0,4,0,-6.12
46,2nd match innings,2017-2019,41,158,54,26.33,0,30,4/28,26.66,0,4,0,-0.33
48,day match,2017-2019,27,215,54,21.50,0,35,4/28,32.14,0,7,0,-10.64
49,day/night match,2017-2019,14,122,52*,40.66,0,21,4/38,23.76,0,1,0,16.90
51,won match,2017-2019,24,97,52*,48.50,0,40,4/28,23.32,0,4,0,25.17
52,lost match,2017-2019,16,240,54,21.81,0,16,4/38,43.18,0,4,0,-21.36
53,no result,2018-2018,1,-,-,-,-,-,-,-,-,0,0,-
55,won batting first,2017-2019,10,66,52*,66.00,0,22,4/28,20.31,0,2,0,45.68
56,won fielding first,2017-2019,14,31,18*,31.00,0,18,2/24,27.00,0,2,0,4.00
57,lost batting first,2017-2019,9,113,52,18.83,0,8,3/42,44.12,0,2,0,-25.29
58,lost fielding first,2017-2019,7,127,54,25.40,0,8,4/38,42.25,0,2,0,-16.84
59,no result batting first,2018-2018,1,-,-,-,-,-,-,-,-,0,0,-
61,2 team series,2017-2019,26,258,54,36.85,0,39,4/28,25.35,0,5,0,11.49
62,5+ team tournaments,2017-2019,15,79,20*,13.16,0,17,3/50,37.35,0,3,0,-24.18
64,1st match in series,2017-2019,6,55,28,27.50,0,12,4/32,19.83,0,1,0,7.66
65,2nd match in series,2017-2019,6,124,52*,62.00,0,7,3/47,33.42,0,2,0,28.57
66,3rd match in series,2017-2019,6,0,0,0.00,0,7,2/37,28.14,0,2,0,-28.14
67,4th match in series,2017-2019,4,6,6*,-,0,11,4/28,12.81,0,0,0,-
68,5th match in series,2017-2019,4,73,54,36.50,0,2,2/24,89.50,0,0,0,-52.99
70,World Cup,2019-2019,7,43,20*,14.33,0,9,3/50,35.55,0,1,0,-21.22
71,Asia Cup,2018-2018,4,22,10,7.33,0,4,2/31,35.75,0,1,0,-28.41
72,ICC Champions Trophy,2017-2017,4,14,14*,-,0,4,2/60,43.00,0,1,0,-
74,tournament finals,2017-2017,1,-,-,-,-,2,2/60,30.00,0,1,0,-
75,tournament semi-finals,2017-2017,1,-,-,-,-,1,1/40,40.00,0,0,0,-
76,preliminary matches,2017-2019,13,79,20*,13.16,0,14,3/50,38.21,0,2,0,-25.04
