,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,9,27,19*,27,0,21,6/35,22.8,1,1,0,4.19
2,in South Africa,4,1,1*,-,0,6,3/44,23.16,0,1,0,-
3,in U.A.E.,6,14,14*,14,0,13,4/38,17.61,0,0,0,-3.61
5,in Africa,4,1,1*,-,0,6,3/44,23.16,0,1,0,-
6,in Asia,6,14,14*,14,0,13,4/38,17.61,0,0,0,-3.61
7,in Europe,9,27,19*,27,0,21,6/35,22.8,1,1,0,4.19
9,away,8,27,19*,27,0,11,4/82,34.9,0,2,0,-7.9
10,neutral,11,15,14*,15,0,29,6/35,15.96,1,0,0,-0.96
12,year 2018,6,14,14*,14,0,13,4/38,17.61,0,0,0,-3.61
13,year 2019,13,28,19*,28,0,27,6/35,22.88,1,2,0,5.11
15,season 2018,3,14,14*,-,0,4,2/38,31.75,0,0,0,-
16,season 2018/19,7,1,1*,1,0,15,4/38,16.06,0,1,0,-15.06
17,season 2019,9,27,19*,27,0,21,6/35,22.8,1,1,0,4.19
19,*Sarfaraz Ahmed,17,42,19*,21,0,37,6/35,21.32,1,1,0,-0.32
20,*Shoaib Malik,2,0,0*,-,0,3,2/24,19.33,0,1,0,-
22,is not captain,19,42,19*,21,0,40,6/35,21.17,1,2,0,-0.17
24,is not keeper,19,42,19*,21,0,40,6/35,21.17,1,2,0,-0.17
26,won the toss,8,1,1*,-,0,13,6/35,27.69,1,0,0,-
27,lost the toss,11,41,19*,20.5,0,27,4/38,18.03,0,2,0,2.46
29,won toss & batted,5,0,0*,-,0,8,6/35,23.25,1,0,0,-
30,won toss & fielded,3,1,1*,-,0,5,2/24,34.8,0,0,0,-
31,lost toss & sent in,4,8,7,8,0,4,3/44,40.25,0,1,0,-32.24
32,lost toss & fielded,7,33,19*,33,0,23,4/38,14.17,0,1,0,18.82
34,matches batting first,9,8,7,8,0,12,6/35,28.91,1,1,0,-20.91
35,matches fielding first,10,34,19*,34,0,28,4/38,17.85,0,1,0,16.14
37,1st match innings,19,8,7,8,0,28,4/38,17.85,0,1,0,-9.85
38,2nd match innings,18,34,19*,34,0,12,6/35,28.91,1,1,0,5.08
40,day match,11,34,19*,-,0,27,6/35,20.25,1,1,0,-
41,day/night match,8,8,7,4,0,13,4/38,23.07,0,1,0,-19.07
43,won match,7,0,0*,-,0,22,6/35,12,1,0,0,-
44,lost match,10,42,19*,21,0,17,4/46,33.23,0,2,0,-12.23
45,no result,2,-,-,-,-,1,1/18,18,0,0,0,-
47,won batting first,2,0,0*,-,0,7,6/35,12.71,1,0,0,-
48,won fielding first,5,-,-,-,-,15,4/38,11.66,0,0,0,-
49,lost batting first,5,8,7,8,0,4,3/44,60,0,1,0,-51.99
50,lost fielding first,5,34,19*,34,0,13,4/46,25,0,1,0,9
51,no result batting first,2,-,-,-,-,1,1/18,18,0,0,0,-
53,2 team series,11,27,19*,13.5,0,20,4/38,24.3,0,2,0,-10.79
54,5+ team tournaments,8,15,14*,-,0,20,6/35,18.05,1,0,0,-
56,1st match in series,2,0,0,0,0,4,4/46,11.5,0,0,0,-11.49
57,2nd match in series,3,1,1*,-,0,8,4/38,20.25,0,0,0,-
58,3rd match in series,3,7,7,7,0,1,1/18,138,0,0,0,-130.99
59,4th match in series,1,-,-,-,-,2,2/24,12,0,0,0,-
60,5th match in series,2,19,19*,-,0,5,4/82,23.2,0,2,0,-
62,World Cup,5,1,1*,-,0,16,6/35,14.62,1,0,0,-
63,Asia Cup,3,14,14*,-,0,4,2/38,31.75,0,0,0,-
