,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2000-2017,17,431,66,30.78,0,3,2/48,65.00,0,10,0,-34.21
2,in Bangladesh,2000-2011,8,90,53,22.50,0,4,3/6,33.75,0,7,0,-11.24
3,in England,2001-2019,29,353,77,13.07,0,12,3/15,37.66,0,13,0,-24.59
4,in India,2004-2013,18,650,89,40.62,0,11,3/61,37.09,0,5,0,3.53
5,in Ireland,2013-2016,3,101,57*,101.00,0,0,-,-,0,0,0,-
6,in Kenya,2002-2002,4,66,37,16.50,0,0,-,-,0,2,0,-
7,in Morocco,2002-2002,1,12,12,12.00,0,0,-,-,0,0,0,-
8,in Netherlands,2004-2004,2,104,68,52.00,0,3,3/18,21.00,0,1,0,31.00
9,in New Zealand,2004-2018,10,94,32,10.44,0,7,2/28,33.85,0,4,0,-23.41
10,in Pakistan,2002-2015,65,2199,125*,44.87,4,48,3/29,41.95,0,17,0,2.91
11,in Scotland,2006-2006,1,22,22,22.00,0,3,3/35,11.66,0,0,0,10.33
12,in South Africa,2007-2019,19,535,128,41.15,1,3,2/27,53.00,0,7,0,-11.84
13,in Sri Lanka,2000-2015,27,841,143,38.22,2,19,4/19,32.68,0,9,0,5.54
14,in U.A.E.,1999-2019,63,1500,111*,34.88,1,35,3/29,41.60,0,17,0,-6.71
15,in West Indies,2005-2017,9,319,101*,45.57,1,3,2/41,49.00,0,2,0,-3.42
16,in Zimbabwe,2011-2018,11,217,96*,43.40,0,7,3/30,24.85,0,4,0,18.54
18,in Africa,2002-2019,35,830,128,36.08,1,10,3/30,37.90,0,13,0,-1.81
19,in Americas,2005-2017,9,319,101*,45.57,1,3,2/41,49.00,0,2,0,-3.42
20,in Asia,1999-2019,181,5280,143,39.40,7,117,4/19,39.60,0,55,0,-0.20
21,in Europe,2001-2019,35,580,77,18.70,0,18,3/15,33.33,0,14,0,-14.62
22,in Oceania,2000-2018,27,525,66,22.82,0,10,2/28,43.20,0,14,0,-20.37
24,home,2002-2015,65,2199,125*,44.87,4,48,3/29,41.95,0,17,0,2.91
25,away,2000-2019,114,2605,101*,29.94,1,49,3/6,39.10,0,38,0,-9.15
26,neutral,1999-2019,108,2730,143,33.29,4,61,4/19,37.08,0,43,0,-3.78
28,year 1999,,5,15,12,7.50,0,9,2/21,18.11,0,3,0,-10.61
29,year 2000,,5,36,28,18.00,0,3,1/30,63.33,0,3,0,-45.33
30,year 2001,,9,94,44,23.50,0,7,3/42,44.57,0,2,0,-21.07
31,year 2002,,12,369,115,41.00,2,4,3/37,49.50,0,4,0,-8.49
32,year 2003,,27,620,82*,28.18,0,23,3/26,38.17,0,6,0,-9.99
33,year 2004,,27,895,143,37.29,2,34,4/19,28.64,0,12,0,8.64
34,year 2005,,22,610,75,33.88,0,10,3/29,38.80,0,6,0,-4.91
35,year 2006,,22,638,108,33.57,1,11,3/35,32.72,0,10,0,0.85
