,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2017,6,97,54*,24.25,0,11,4/45,27.81,0,2,0,-3.56
2,in Bangladesh,2008-2015,7,66,51*,16.50,0,9,4/59,34.66,0,0,0,-18.16
3,in England,2013-2019,15,127,45,12.70,0,15,3/46,52.33,0,5,0,-39.63
4,in India,2011-2011,1,8,8,8.00,0,5,5/46,9.20,1,0,0,-1.19
5,in Ireland,2013-2013,1,47,47*,-,0,1,1/45,45.00,0,0,0,-
6,in New Zealand,2011-2016,9,28,11,7.00,0,15,3/45,28.60,0,5,0,-21.59
7,in Pakistan,2008-2015,6,17,13,8.50,0,10,3/47,20.90,0,2,0,-12.39
8,in South Africa,2013-2013,3,57,45,19.00,0,2,2/93,76.50,0,0,0,-57.49
9,in Sri Lanka,2011-2014,6,5,5,1.66,0,11,4/65,21.81,0,2,0,-20.15
10,in U.A.E.,2010-2016,21,176,33*,13.53,0,20,3/43,43.85,0,7,0,-30.31
11,in West Indies,2011-2017,9,46,19*,15.33,0,10,3/38,39.60,0,4,0,-24.26
12,in Zimbabwe,2015-2015,3,3,3,3.00,0,4,4/63,26.25,0,0,0,-23.24
14,in Africa,2013-2015,6,60,45,15.00,0,6,4/63,43.00,0,0,0,-27.99
15,in Americas,2011-2017,9,46,19*,15.33,0,10,3/38,39.60,0,4,0,-24.26
16,in Asia,2008-2016,41,272,51*,11.82,0,55,5/46,30.61,1,11,0,-18.79
17,in Europe,2013-2019,16,174,47*,17.40,0,16,3/46,51.87,0,5,0,-34.47
18,in Oceania,2011-2017,15,125,54*,15.62,0,26,4/45,28.26,0,7,0,-12.64
20,home,2008-2015,6,17,13,8.50,0,10,3/47,20.90,0,2,0,-12.39
21,away,2008-2019,37,314,51*,14.95,0,53,5/46,32.79,1,10,0,-17.84
22,neutral,2008-2019,44,346,54*,13.84,0,50,4/45,39.12,0,15,0,-25.27
24,year 2008,,5,4,3,1.33,0,10,3/22,20.20,0,1,0,-18.86
25,year 2010,,4,48,21,12.00,0,5,2/43,42.80,0,2,0,-30.79
26,year 2011,,13,28,17*,7.00,0,23,5/46,20.86,1,3,0,-13.86
27,year 2012,,3,8,8*,-,0,2,2/37,67.00,0,1,0,-
28,year 2013,,14,203,47*,18.45,0,8,2/42,66.50,0,3,0,-48.04
29,year 2014,,8,35,14,7.00,0,13,4/65,30.46,0,4,0,-23.46
30,year 2015,,20,204,54*,20.40,0,32,4/45,27.43,0,5,0,-7.03
31,year 2016,,8,36,14,9.00,0,7,2/28,58.14,0,1,0,-49.14
32,year 2017,,4,23,17,11.50,0,2,1/62,130.00,0,3,0,-118.49
33,year 2019,,8,88,45,17.60,0,11,3/46,36.36,0,4,0,-18.76
35,season 2007/08,,2,3,3,3.00,0,4,2/19,10.50,0,0,0,-7.49
36,season 2008,,3,1,1*,0.50,0,6,3/22,26.66,0,1,0,-26.16
37,season 2010/11,,13,59,21,8.42,0,21,5/46,24.61,1,4,0,-16.19
38,season 2011,,4,17,17*,17.00,0,7,3/38,25.28,0,1,0,-8.28
39,season 2011/12,,3,8,8*,-,0,2,2/37,67.00,0,1,0,-
40,season 2012/13,,3,57,45,19.00,0,2,2/93,76.50,0,0,0,-57.49
41,season 2013,,8,95,47*,19.00,0,6,2/42,51.16,0,2,0,-32.16
42,season 2013/14,,3,51,33,17.00,0,0,-,-,0,1,0,-
43,season 2014,,3,5,5,2.50,0,8,4/65,19.62,0,1,0,-17.12
44,season 2014/15,,12,113,54*,16.14,0,21,4/45,28.90,0,7,0,-12.76
45,season 2015,,6,79,51*,26.33,0,9,4/59,26.66,0,1,0,-0.33
46,season 2015/16,,9,58,33*,14.50,0,8,4/63,48.50,0,1,0,-33.99
47,season 2016,,3,20,14,10.00,0,1,1/46,186.00,0,0,0,-175.99
48,season 2016/17,,5,23,17,7.66,0,6,2/28,34.50,0,1,0,-26.83
49,season 2017,,2,-,-,-,-,1,1/69,156.00,0,2,0,-
50,season 2019,,8,88,45,17.60,0,11,3/46,36.36,0,4,0,-18.76
52,*Azhar Ali,2015-2017,22,180,51*,15.00,0,24,4/59,41.54,0,3,0,-26.54
53,*Misbah-ul-Haq,2012-2015,31,329,54*,16.45,0,38,4/45,36.00,0,10,0,-19.54
54,*Sarfaraz Ahmed,2015-2019,11,88,45,17.60,0,12,3/46,48.33,0,6,0,-30.73
55,*Shahid Afridi,2010-2014,18,76,21,9.50,0,29,5/46,26.06,1,7,0,-16.56
56,*Shoaib Malik,2008-2008,5,4,3,1.33,0,10,3/22,20.20,0,1,0,-18.86
58,is not captain,2008-2019,87,677,54*,14.10,0,113,5/46,34.53,1,27,0,-20.43
60,is not keeper,2008-2019,87,677,54*,14.10,0,113,5/46,34.53,1,27,0,-20.43
62,won the toss,2008-2019,42,445,54*,21.19,0,49,4/45,37.87,0,11,0,-16.68
63,lost the toss,2008-2019,45,232,33,8.59,0,64,5/46,31.98,1,16,0,-23.39
65,won toss & batted,2008-2019,24,246,54*,16.40,0,24,4/45,36.87,0,4,0,-20.47
66,won toss & fielded,2008-2019,18,199,47*,33.16,0,25,4/63,38.84,0,7,0,-5.67
67,lost toss & sent in,2008-2019,15,63,19*,7.87,0,22,3/22,26.54,0,8,0,-18.67
68,lost toss & fielded,2008-2019,30,169,33,8.89,0,42,5/46,34.83,1,8,0,-25.93
70,matches batting first,2008-2019,39,309,54*,13.43,0,46,4/45,31.93,0,12,0,-18.49
71,matches fielding first,2008-2019,48,368,47*,14.72,0,67,5/46,36.32,1,15,0,-21.60
73,1st match innings,2008-2019,87,309,54*,13.43,0,67,5/46,36.32,1,15,0,-22.89
74,2nd match innings,2008-2019,86,368,47*,14.72,0,46,4/45,31.93,0,12,0,-17.21
76,day match,2008-2019,35,272,47*,15.11,0,40,4/63,39.75,0,12,0,-24.63
77,day/night match,2008-2017,52,405,54*,13.50,0,73,5/46,31.68,1,15,0,-18.18
79,won match,2008-2019,41,207,54*,14.78,0,70,4/45,22.88,0,14,0,-8.09
80,lost match,2008-2019,43,438,51*,13.27,0,42,5/46,52.97,1,13,0,-39.70
81,tied match,2013-2013,1,19,19*,-,0,1,1/63,63.00,0,0,0,-
82,no result,2011-2015,2,13,13,13.00,0,0,-,-,0,0,0,-
84,won batting first,2008-2019,19,101,54*,10.10,0,36,4/45,19.80,0,9,0,-9.70
85,won fielding first,2008-2019,22,106,47*,26.50,0,34,3/38,26.14,0,5,0,0.35
86,lost batting first,2011-2019,17,176,51*,14.66,0,9,2/42,75.55,0,3,0,-60.88
87,lost fielding first,2008-2019,26,262,45,12.47,0,33,5/46,46.81,1,10,0,-34.34
88,tied batting first,2013-2013,1,19,19*,-,0,1,1/63,63.00,0,0,0,-
89,no result batting first,2011-2015,2,13,13,13.00,0,0,-,-,0,0,0,-
91,2 team series,2008-2017,59,478,51*,14.93,0,69,4/59,37.21,0,16,0,-22.27
92,3-4 team tournaments,2008-2012,3,0,0,0.00,0,5,3/22,31.60,0,0,0,-31.59
93,5+ team tournaments,2008-2019,25,199,54*,14.21,0,39,5/46,30.17,1,11,0,-15.96
95,only match in series,2012-2012,1,-,-,-,-,2,2/37,18.50,0,0,0,-
96,1st match in series,2011-2017,16,48,9*,8.00,0,18,4/59,38.38,0,9,0,-30.38
97,2nd match in series,2010-2016,15,154,51*,17.11,0,21,4/63,28.23,0,1,0,-11.12
98,3rd match in series,2010-2016,15,214,45,26.75,0,14,3/38,50.42,0,3,0,-23.67
99,4th match in series,2010-2015,5,19,18,4.75,0,6,3/51,40.00,0,1,0,-35.24
100,5th match in series,2008-2017,7,43,17,8.60,0,8,3/51,37.62,0,2,0,-29.02
102,World Cup,2011-2019,20,179,54*,16.27,0,35,5/46,26.45,1,9,0,-10.18
103,Asia Cup,2008-2012,2,1,1*,-,0,1,1/52,102.00,0,1,0,-
104,ICC Champions Trophy,2013-2017,4,19,13,6.33,0,3,2/42,66.33,0,1,0,-59.99
106,tournament semi-finals,2011-2011,1,8,8,8.00,0,5,5/46,9.20,1,0,0,-1.19
107,tournament quarter-finals,2011-2015,2,16,16,16.00,0,2,2/54,41.50,0,0,0,-25.49
108,preliminary matches,2008-2019,25,175,54*,12.50,0,37,4/45,32.59,0,11,0,-20.09
