,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2018-2018,3,87,36,29.00,0,0,-,-,0,2,0,-
2,in England,2019-2019,8,140,45,23.33,0,1,1/22,76.00,0,5,0,-52.66
3,in South Africa,2017-2019,12,393,67*,35.72,0,2,2/18,19.00,0,5,0,16.72
4,in Sri Lanka,2018-2018,3,23,20,7.66,0,-,-,-,-,0,0,-
6,in Africa,2017-2019,12,393,67*,35.72,0,2,2/18,19.00,0,5,0,16.72
7,in Asia,2018-2018,3,23,20,7.66,0,-,-,-,-,0,0,-
8,in Europe,2019-2019,8,140,45,23.33,0,1,1/22,76.00,0,5,0,-52.66
9,in Oceania,2018-2018,3,87,36,29.00,0,0,-,-,0,2,0,-
11,home,2017-2019,12,393,67*,35.72,0,2,2/18,19.00,0,5,0,16.72
12,away,2018-2019,7,121,36,17.28,0,0,-,-,0,3,0,-
13,neutral,2019-2019,7,129,45,25.80,0,1,1/22,60.00,0,4,0,-34.19
15,year 2017,,1,66,66,66.00,0,2,2/18,9.00,0,1,0,57.00
16,year 2018,,15,341,42,22.73,0,0,-,-,0,5,0,-
17,year 2019,,10,236,67*,33.71,0,1,1/22,76.00,0,6,0,-42.28
19,season 2017/18,,7,193,66,27.57,0,2,2/18,19.00,0,4,0,8.57
20,season 2018,,3,23,20,7.66,0,-,-,-,-,0,0,-
21,season 2018/19,,8,287,67*,41.00,0,0,-,-,0,3,0,-
22,season 2019,,8,140,45,23.33,0,1,1/22,76.00,0,5,0,-52.66
24,*Q de Kock,2018-2018,1,20,20,20.00,0,-,-,-,-,0,0,-
25,*JP Duminy,2018-2018,2,62,35,31.00,0,-,-,-,-,0,0,-
26,*F du Plessis,2017-2019,18,443,67*,29.53,0,3,2/18,44.00,0,9,0,-14.46
27,*AK Markram,2018-2018,5,118,32,23.60,0,-,-,-,-,3,0,-
29,is captain,2018-2018,5,118,32,23.60,0,-,-,-,-,3,0,-
30,is not captain,2017-2019,21,525,67*,29.16,0,3,2/18,44.00,0,9,0,-14.83
32,is not keeper,2017-2019,26,643,67*,27.95,0,3,2/18,44.00,0,12,0,-16.04
34,won the toss,2017-2019,14,375,66,31.25,0,2,2/18,46.00,0,8,0,-14.74
35,lost the toss,2018-2019,12,268,67*,24.36,0,1,1/22,40.00,0,4,0,-15.63
37,won toss & batted,2017-2019,4,144,66,36.00,0,2,2/18,19.00,0,4,0,17.00
38,won toss & fielded,2018-2019,10,231,45,28.87,0,0,-,-,0,4,0,-
39,lost toss & sent in,2018-2019,5,107,38,21.40,0,0,-,-,0,2,0,-
40,lost toss & fielded,2018-2019,7,161,67*,26.83,0,1,1/22,22.00,0,2,0,4.83
42,matches batting first,2017-2019,9,251,66,27.88,0,2,2/18,28.00,0,6,0,-0.11
43,matches fielding first,2018-2019,17,392,67*,28.00,0,1,1/22,76.00,0,6,0,-47.99
45,1st match innings,2017-2019,26,251,66,27.88,0,1,1/22,76.00,0,6,0,-48.11
46,2nd match innings,2017-2019,25,392,67*,28.00,0,2,2/18,28.00,0,6,0,0.00
48,day match,2017-2019,11,243,66,24.30,0,3,2/18,31.33,0,2,0,-7.03
49,day/night match,2018-2019,15,400,67*,30.76,0,0,-,-,0,10,0,-
51,won match,2017-2019,14,393,67*,35.72,0,2,2/18,18.00,0,9,0,17.72
52,lost match,2018-2019,11,245,45,22.27,0,1,1/22,96.00,0,3,0,-73.72
53,no result,2019-2019,1,5,5,5.00,0,-,-,-,-,-,-,-
55,won batting first,2017-2019,4,167,66,41.75,0,2,2/18,18.00,0,6,0,23.75
56,won fielding first,2018-2019,10,226,67*,32.28,0,-,-,-,-,3,0,-
57,lost batting first,2018-2019,4,79,38,19.75,0,0,-,-,0,0,0,-
58,lost fielding first,2018-2019,7,166,45,23.71,0,1,1/22,76.00,0,3,0,-52.28
59,no result batting first,2019-2019,1,5,5,5.00,0,-,-,-,-,-,-,-
61,2 team series,2017-2019,18,503,67*,29.58,0,2,2/18,28.00,0,7,0,1.58
62,5+ team tournaments,2019-2019,8,140,45,23.33,0,1,1/22,76.00,0,5,0,-52.66
64,1st match in series,2018-2018,4,72,36,18.00,0,0,-,-,0,0,0,-
65,2nd match in series,2018-2018,4,65,35,16.25,0,-,-,-,-,0,0,-
66,3rd match in series,2017-2018,4,172,66,43.00,0,2,2/18,18.00,0,4,0,25.00
67,4th match in series,2018-2019,2,51,29,25.50,0,-,-,-,-,1,0,-
68,5th match in series,2018-2019,3,119,67*,59.50,0,-,-,-,-,2,0,-
69,6th match in series,2018-2018,1,24,24,24.00,0,-,-,-,-,0,0,-
71,World Cup,2019-2019,8,140,45,23.33,0,1,1/22,76.00,0,5,0,-52.66
