,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2018-2018,1,-,-,-,-,3,3/33,11.00,0,0,0,-
2,in England,2017-2019,12,141,46*,23.50,0,14,2/18,35.28,0,1,0,-11.78
3,in New Zealand,2017-2017,4,59,29*,-,0,4,2/12,34.25,0,2,0,-
4,in South Africa,2016-2019,30,306,69*,34.00,0,35,4/22,29.08,0,8,0,4.91
5,in Sri Lanka,2018-2018,5,43,24*,21.50,0,9,3/45,28.22,0,0,0,-6.72
7,in Africa,2016-2019,30,306,69*,34.00,0,35,4/22,29.08,0,8,0,4.91
8,in Asia,2018-2018,5,43,24*,21.50,0,9,3/45,28.22,0,0,0,-6.72
9,in Europe,2017-2019,12,141,46*,23.50,0,14,2/18,35.28,0,1,0,-11.78
10,in Oceania,2017-2018,5,59,29*,-,0,7,3/33,24.28,0,2,0,-
12,home,2016-2019,30,306,69*,34.00,0,35,4/22,29.08,0,8,0,4.91
13,away,2017-2019,13,130,29*,32.50,0,20,3/33,30.05,0,2,0,2.45
14,neutral,2017-2019,9,113,46*,28.25,0,10,2/18,31.70,0,1,0,-3.44
16,year 2016,,6,66,42*,66.00,0,8,4/44,32.75,0,1,0,33.25
17,year 2017,,14,72,29*,24.00,0,15,4/40,35.33,0,2,0,-11.33
18,year 2018,,14,158,34,22.57,0,20,3/33,26.65,0,4,0,-4.07
19,year 2019,,18,253,69*,42.16,0,22,4/22,27.77,0,4,0,14.39
21,season 2016/17,,14,125,42*,125.00,0,15,4/44,34.73,0,3,0,90.26
22,season 2017,,3,8,4,4.00,0,3,2/59,52.66,0,0,0,-48.66
23,season 2017/18,,8,92,34,23.00,0,8,4/40,37.00,0,2,0,-13.99
24,season 2018,,5,43,24*,21.50,0,9,3/45,28.22,0,0,0,-6.72
25,season 2018/19,,13,148,69*,37.00,0,19,4/22,19.52,0,5,0,17.47
26,season 2019,,9,133,46*,33.25,0,11,2/18,30.54,0,1,0,2.70
28,*Q de Kock,2018-2018,2,12,9,6.00,0,3,2/60,35.00,0,0,0,-28.99
29,*AB de Villiers,2017-2017,11,67,29*,33.50,0,10,2/12,41.70,0,2,0,-8.19
30,*JP Duminy,2018-2018,2,28,28,28.00,0,3,2/22,9.66,0,1,0,18.33
31,*F du Plessis,2016-2019,33,382,69*,42.44,0,48,4/22,25.91,0,6,0,16.52
32,*AK Markram,2018-2018,4,60,34,20.00,0,1,1/42,141.00,0,2,0,-120.99
34,is not captain,2016-2019,52,549,69*,32.29,0,65,4/22,29.78,0,11,0,2.50
36,is not keeper,2016-2019,52,549,69*,32.29,0,65,4/22,29.78,0,11,0,2.50
38,won the toss,2016-2019,28,302,69*,30.20,0,43,4/22,23.30,0,9,0,6.89
39,lost the toss,2016-2019,24,247,46*,35.28,0,22,4/40,42.45,0,2,0,-7.16
41,won toss & batted,2016-2019,8,110,34,27.50,0,11,2/12,20.90,0,1,0,6.59
42,won toss & fielded,2016-2019,20,192,69*,32.00,0,32,4/22,24.12,0,8,0,7.87
43,lost toss & sent in,2016-2019,13,126,38*,25.20,0,12,4/40,35.08,0,0,0,-9.88
44,lost toss & fielded,2016-2019,11,121,46*,60.50,0,10,3/45,51.30,0,2,0,9.20
46,matches batting first,2016-2019,21,236,38*,26.22,0,23,4/40,28.30,0,1,0,-2.08
47,matches fielding first,2016-2019,31,313,69*,39.12,0,42,4/22,30.59,0,10,0,8.52
49,1st match innings,2016-2019,52,236,38*,26.22,0,42,4/22,30.59,0,10,0,-4.37
50,2nd match innings,2016-2019,51,313,69*,39.12,0,23,4/40,28.30,0,1,0,10.82
52,day match,2016-2019,23,236,46*,33.71,0,24,4/40,37.70,0,3,0,-3.99
53,day/night match,2016-2019,29,313,69*,31.30,0,41,4/22,25.14,0,8,0,6.15
55,won match,2016-2019,34,313,69*,62.60,0,48,4/22,23.91,0,6,0,38.68
56,lost match,2017-2019,17,236,46*,19.66,0,17,2/42,46.35,0,5,0,-26.68
57,no result,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
59,won batting first,2016-2019,13,126,38*,31.50,0,17,4/40,22.58,0,1,0,8.91
60,won fielding first,2016-2019,21,187,69*,187.00,0,31,4/22,24.64,0,5,0,162.35
61,lost batting first,2017-2019,7,110,34,22.00,0,6,2/42,44.50,0,0,0,-22.49
62,lost fielding first,2017-2019,10,126,46*,18.00,0,11,2/52,47.36,0,5,0,-29.36
63,no result batting first,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-
65,2 team series,2016-2019,42,412,69*,34.33,0,54,4/22,29.16,0,10,0,5.16
66,5+ team tournaments,2017-2019,10,137,46*,27.40,0,11,2/18,32.81,0,1,0,-5.41
68,only match in series,2016-2016,1,-,-,-,-,0,-,-,0,0,0,-
69,1st match in series,2016-2019,10,60,29*,60.00,0,14,4/44,28.00,0,1,0,32.00
70,2nd match in series,2016-2019,9,148,69*,74.00,0,16,4/22,20.62,0,5,0,53.37
71,3rd match in series,2016-2019,9,113,42*,37.66,0,12,3/74,29.08,0,3,0,8.58
72,4th match in series,2016-2019,5,43,23*,21.50,0,4,2/21,37.25,0,0,0,-15.74
73,5th match in series,2016-2019,7,14,11,4.66,0,8,2/35,38.25,0,1,0,-33.58
74,6th match in series,2018-2018,1,34,34,34.00,0,0,-,-,0,0,0,-
76,World Cup,2019-2019,9,133,46*,33.25,0,11,2/18,30.54,0,1,0,2.70
77,ICC Champions Trophy,2017-2017,1,4,4,4.00,0,0,-,-,0,0,0,-
