,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2,-,-,-,-,0,-,-,0,0,0,-
2,in South Africa,2,2,2*,-,0,1,1/50,81.00,0,1,0,-
4,in Africa,2,2,2*,-,0,1,1/50,81.00,0,1,0,-
5,in Europe,2,-,-,-,-,0,-,-,0,0,0,-
7,home,2,2,2*,-,0,1,1/50,81.00,0,1,0,-
8,neutral,2,-,-,-,-,0,-,-,0,0,0,-
10,year 2019,4,2,2*,-,0,1,1/50,106.00,0,1,0,-
12,season 2018/19,2,2,2*,-,0,1,1/50,81.00,0,1,0,-
13,season 2019,2,-,-,-,-,0,-,-,0,0,0,-
15,*F du Plessis,4,2,2*,-,0,1,1/50,106.00,0,1,0,-
17,is not captain,4,2,2*,-,0,1,1/50,106.00,0,1,0,-
19,is not keeper,4,2,2*,-,0,1,1/50,106.00,0,1,0,-
21,won the toss,1,-,-,-,-,0,-,-,0,0,0,-
22,lost the toss,3,2,2*,-,0,1,1/50,81.00,0,1,0,-
24,won toss & fielded,1,-,-,-,-,0,-,-,0,0,0,-
25,lost toss & sent in,2,2,2*,-,0,0,-,-,0,0,0,-
26,lost toss & fielded,1,-,-,-,-,1,1/50,50.00,0,1,0,-
28,matches batting first,2,2,2*,-,0,0,-,-,0,0,0,-
29,matches fielding first,2,-,-,-,-,1,1/50,75.00,0,1,0,-
31,1st match innings,4,2,2*,-,0,1,1/50,75.00,0,1,0,-
32,2nd match innings,3,-,-,-,-,0,-,-,0,0,0,-
34,day match,2,2,2*,-,0,0,-,-,0,0,0,-
35,day/night match,2,-,-,-,-,1,1/50,75.00,0,1,0,-
37,won match,2,-,-,-,-,1,1/50,75.00,0,1,0,-
38,lost match,1,2,2*,-,0,0,-,-,0,0,0,-
39,no result,1,-,-,-,-,-,-,-,-,-,-,-
41,won fielding first,2,-,-,-,-,1,1/50,75.00,0,1,0,-
42,lost batting first,1,2,2*,-,0,0,-,-,0,0,0,-
43,no result batting first,1,-,-,-,-,-,-,-,-,-,-,-
45,2 team series,2,2,2*,-,0,1,1/50,81.00,0,1,0,-
46,5+ team tournaments,2,-,-,-,-,0,-,-,0,0,0,-
48,3rd match in series,1,-,-,-,-,1,1/50,50.00,0,1,0,-
49,4th match in series,1,2,2*,-,0,0,-,-,0,0,0,-
51,World Cup,2,-,-,-,-,0,-,-,0,0,0,-
