,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2015-2015,2,12,12,12.00,0,2,2/32,30.50,0,0,0,-18.49
2,in England,2013-2019,17,170,42,18.88,0,21,3/13,32.57,0,3,0,-13.68
3,in India,2015-2015,1,9,9,9.00,0,1,1/55,55.00,0,0,0,-45.99
4,in New Zealand,2017-2017,4,51,28,17.00,0,5,4/62,41.60,0,1,0,-24.59
5,in South Africa,2016-2018,12,160,62,26.66,0,14,4/31,37.07,0,3,0,-10.40
6,in Sri Lanka,2013-2013,2,9,9*,-,0,2,1/38,59.00,0,0,0,-
7,in West Indies,2016-2016,4,56,40,18.66,0,3,3/63,37.00,0,2,0,-18.33
9,in Africa,2016-2018,12,160,62,26.66,0,14,4/31,37.07,0,3,0,-10.40
10,in Americas,2016-2016,4,56,40,18.66,0,3,3/63,37.00,0,2,0,-18.33
11,in Asia,2013-2015,5,30,12,15.00,0,5,2/32,46.80,0,0,0,-31.79
12,in Europe,2013-2019,17,170,42,18.88,0,21,3/13,32.57,0,3,0,-13.68
13,in Oceania,2017-2017,4,51,28,17.00,0,5,4/62,41.60,0,1,0,-24.59
15,home,2016-2018,12,160,62,26.66,0,14,4/31,37.07,0,3,0,-10.40
16,away,2013-2017,16,180,40,18.00,0,16,4/62,46.68,0,3,0,-28.68
17,neutral,2013-2019,14,127,42,18.14,0,18,3/13,27.22,0,3,0,-9.07
19,year 2013,,5,13,9*,6.50,0,6,2/25,35.16,0,0,0,-28.66
20,year 2015,,3,21,12,10.50,0,3,2/32,38.66,0,0,0,-28.16
21,year 2016,,7,118,62,29.50,0,7,3/63,42.28,0,3,0,-12.78
22,year 2017,,14,172,35*,21.50,0,17,4/31,34.29,0,2,0,-12.79
23,year 2018,,5,69,37,17.25,0,2,1/45,104.50,0,1,0,-87.24
24,year 2019,,8,74,42,24.66,0,13,3/13,26.23,0,3,0,-1.56
26,season 2013,,5,13,9*,6.50,0,6,2/25,35.16,0,0,0,-28.66
27,season 2015,,2,12,12,12.00,0,2,2/32,30.50,0,0,0,-18.49
28,season 2015/16,,4,71,62,35.50,0,5,3/74,48.00,0,1,0,-12.49
29,season 2016,,4,56,40,18.66,0,3,3/63,37.00,0,2,0,-18.33
30,season 2016/17,,8,80,28,20.00,0,13,4/31,25.61,0,2,0,-5.61
31,season 2017,,6,92,35*,23.00,0,4,2/32,62.50,0,0,0,-39.49
32,season 2017/18,,5,69,37,17.25,0,2,1/45,104.50,0,1,0,-87.24
33,season 2019,,8,74,42,24.66,0,13,3/13,26.23,0,3,0,-1.56
35,*HM Amla,2015-2015,2,12,12,12.00,0,2,2/32,30.50,0,0,0,-18.49
36,*AB de Villiers,2013-2017,27,312,62,20.80,0,31,4/31,36.93,0,5,0,-16.13
37,*F du Plessis,2018-2019,9,111,42,27.75,0,13,3/13,30.23,0,3,0,-2.48
38,*AK Markram,2018-2018,4,32,14,10.66,0,2,1/45,78.50,0,1,0,-67.83
40,is not captain,2013-2019,42,467,62,20.30,0,48,4/31,36.58,0,9,0,-16.27
42,is not keeper,2013-2019,42,467,62,20.30,0,48,4/31,36.58,0,9,0,-16.27
44,won the toss,2013-2019,24,322,62,23.00,0,28,4/62,39.67,0,6,0,-16.67
45,lost the toss,2013-2019,18,145,40,16.11,0,20,4/31,32.25,0,3,0,-16.13
47,won toss & batted,2013-2019,8,157,42,22.42,0,4,2/25,75.75,0,2,0,-53.32
48,won toss & fielded,2013-2019,16,165,62,23.57,0,24,4/62,33.66,0,4,0,-10.09
49,lost toss & sent in,2013-2019,12,120,40,17.14,0,12,4/31,27.08,0,1,0,-9.94
50,lost toss & fielded,2013-2019,6,25,16,12.50,0,8,3/74,40.00,0,2,0,-27.49
52,matches batting first,2013-2019,20,277,42,19.78,0,16,4/31,39.25,0,3,0,-19.46
53,matches fielding first,2013-2019,22,190,62,21.11,0,32,4/62,35.25,0,6,0,-14.13
55,1st match innings,2013-2019,42,277,42,19.78,0,32,4/62,35.25,0,6,0,-15.46
56,2nd match innings,2013-2019,40,190,62,21.11,0,16,4/31,39.25,0,3,0,-18.13
58,day match,2013-2019,16,157,42,19.62,0,15,3/46,44.13,0,2,0,-24.50
59,day/night match,2013-2019,26,310,62,20.66,0,33,4/31,33.15,0,7,0,-12.48
61,won match,2013-2019,17,168,62,28.00,0,28,4/31,23.50,0,6,0,4.50
62,lost match,2013-2019,22,299,42,17.58,0,19,3/49,56.21,0,3,0,-38.62
63,tied match,2013-2013,1,-,-,-,-,1,1/30,30.00,0,0,0,-
64,no result,2016-2019,2,-,-,-,-,-,-,-,-,-,-,-
66,won batting first,2013-2019,6,90,40,22.50,0,10,4/31,20.40,0,2,0,2.10
67,won fielding first,2015-2019,11,78,62,39.00,0,18,4/62,25.22,0,4,0,13.77
68,lost batting first,2013-2019,11,187,42,18.70,0,5,3/49,78.80,0,1,0,-60.09
69,lost fielding first,2013-2019,11,112,35*,16.00,0,14,3/63,48.14,0,2,0,-32.14
70,tied batting first,2013-2013,1,-,-,-,-,1,1/30,30.00,0,0,0,-
71,no result batting first,2016-2019,2,-,-,-,-,-,-,-,-,-,-,-
73,2 team series,2013-2018,24,281,62,23.41,0,26,4/31,42.96,0,4,0,-19.54
74,3-4 team tournaments,2016-2016,4,56,40,18.66,0,3,3/63,37.00,0,2,0,-18.33
75,5+ team tournaments,2013-2019,14,130,42,16.25,0,19,3/13,27.78,0,3,0,-11.53
77,1st match in series,2013-2018,7,67,37,22.33,0,14,4/62,27.85,0,2,0,-5.52
78,2nd match in series,2013-2018,6,94,35*,23.50,0,2,1/27,117.00,0,0,0,-93.49
79,3rd match in series,2017-2018,3,14,14,14.00,0,2,1/38,56.00,0,1,0,-41.99
80,4th match in series,2015-2018,4,99,62,33.00,0,3,1/52,73.66,0,1,0,-40.66
81,5th match in series,2016-2017,3,3,3*,-,0,5,4/31,24.80,0,0,0,-
