,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2014-2018,12,420,139,52.50,1,-,-,-,-,5,0,-
2,in Bangladesh,2015-2015,3,53,44,26.50,0,-,-,-,-,0,0,-
3,in England,2013-2019,16,425,75*,42.50,0,-,-,-,-,5,0,-
4,in India,2015-2015,5,74,33,18.50,0,-,-,-,-,6,0,-
5,in New Zealand,2014-2017,10,337,138*,42.12,1,-,-,-,-,1,0,-
6,in South Africa,2010-2019,47,1259,130*,46.62,3,-,-,-,-,22,0,-
7,in Sri Lanka,2013-2018,12,251,85*,31.37,0,-,-,-,-,4,0,-
8,in U.A.E.,2010-2013,9,114,37,14.25,0,-,-,-,-,6,0,-
9,in West Indies,2010-2010,4,54,26*,54.00,0,-,-,-,-,1,0,-
10,in Zimbabwe,2014-2014,8,71,45,23.66,0,-,-,-,-,9,0,-
12,in Africa,2010-2019,55,1330,130*,44.33,3,-,-,-,-,31,0,-
13,in Americas,2010-2010,4,54,26*,54.00,0,-,-,-,-,1,0,-
14,in Asia,2010-2018,29,492,85*,22.36,0,-,-,-,-,16,0,-
15,in Europe,2013-2019,16,425,75*,42.50,0,-,-,-,-,5,0,-
16,in Oceania,2014-2018,22,757,139,47.31,2,-,-,-,-,6,0,-
18,home,2010-2019,47,1259,130*,46.62,3,-,-,-,-,22,0,-
19,away,2010-2018,48,1120,139,37.33,1,-,-,-,-,23,0,-
20,neutral,2010-2019,31,679,138*,30.86,1,-,-,-,-,14,0,-
22,year 2010,,11,150,51,30.00,0,-,-,-,-,3,0,-
23,year 2011,,5,117,59,29.25,0,-,-,-,-,1,0,-
24,year 2013,,24,544,85*,32.00,0,-,-,-,-,8,0,-
25,year 2014,,18,279,65,27.90,0,-,-,-,-,11,0,-
26,year 2015,,24,729,138*,45.56,2,-,-,-,-,14,0,-
27,year 2016,,5,207,118*,69.00,1,-,-,-,-,7,0,-
28,year 2017,,13,370,117*,61.66,1,-,-,-,-,5,0,-
29,year 2018,,12,384,139,34.90,1,-,-,-,-,5,0,-
30,year 2019,,14,278,41*,39.71,0,-,-,-,-,5,0,-
32,season 2010,,4,54,26*,54.00,0,-,-,-,-,1,0,-
33,season 2010/11,,9,132,51,22.00,0,-,-,-,-,3,0,-
34,season 2011/12,,3,81,59,40.50,0,-,-,-,-,0,0,-
35,season 2012/13,,4,116,67,38.66,0,-,-,-,-,1,0,-
36,season 2013,,9,235,85*,39.16,0,-,-,-,-,2,0,-
37,season 2013/14,,11,193,56*,24.12,0,-,-,-,-,5,0,-
38,season 2014,,11,115,45,28.75,0,-,-,-,-,9,0,-
39,season 2014/15,,20,711,138*,54.69,2,-,-,-,-,7,0,-
40,season 2015,,6,108,44,21.60,0,-,-,-,-,3,0,-
41,season 2015/16,,5,74,33,18.50,0,-,-,-,-,6,0,-
42,season 2016/17,,11,401,118*,66.83,2,-,-,-,-,7,0,-
43,season 2017,,6,176,75*,58.66,0,-,-,-,-,4,0,-
44,season 2017/18,,6,107,39,21.40,0,-,-,-,-,2,0,-
45,season 2018,,4,85,51,21.25,0,-,-,-,-,3,0,-
46,season 2018/19,,11,334,139,66.80,1,-,-,-,-,6,0,-
47,season 2019,,6,136,38,34.00,0,-,-,-,-,0,0,-
49,*HM Amla,2011-2015,9,162,59,23.14,0,-,-,-,-,1,0,-
50,*J Botha,2010-2010,2,12,6,6.00,0,-,-,-,-,0,0,-
51,*Q de Kock,2018-2018,1,21,21,21.00,0,-,-,-,-,1,0,-
52,*AB de Villiers,2013-2017,69,1799,138*,42.83,3,-,-,-,-,36,0,-
53,*F du Plessis,2013-2019,30,790,139,43.88,2,-,-,-,-,16,0,-
54,*AK Markram,2018-2018,4,100,39,25.00,0,-,-,-,-,1,0,-
55,*GC Smith,2010-2011,11,174,51,34.80,0,-,-,-,-,4,0,-
57,is not captain,2010-2019,126,3058,139,38.70,5,-,-,-,-,59,0,-
59,is not keeper,2010-2019,126,3058,139,38.70,5,-,-,-,-,59,0,-
61,won the toss,2010-2019,69,1668,85*,37.06,0,-,-,-,-,29,0,-
62,lost the toss,2010-2019,57,1390,139,40.88,5,-,-,-,-,30,0,-
64,won toss & batted,2010-2019,40,1128,85*,38.89,0,-,-,-,-,17,0,-
65,won toss & fielded,2011-2019,29,540,71*,33.75,0,-,-,-,-,12,0,-
66,lost toss & sent in,2010-2019,31,1033,139,51.65,4,-,-,-,-,17,0,-
67,lost toss & fielded,2010-2019,26,357,118*,25.50,1,-,-,-,-,13,0,-
69,matches batting first,2010-2019,71,2161,139,44.10,4,-,-,-,-,34,0,-
70,matches fielding first,2010-2019,55,897,118*,29.90,1,-,-,-,-,25,0,-
72,1st match innings,2010-2019,126,2161,139,44.10,4,-,-,-,-,25,0,-
73,2nd match innings,2010-2019,123,897,118*,29.90,1,-,-,-,-,34,0,-
75,day match,2010-2019,53,1037,130*,37.03,1,-,-,-,-,23,0,-
76,day/night match,2010-2019,73,2021,139,39.62,4,-,-,-,-,36,0,-
78,won match,2010-2019,73,1828,139,50.77,4,-,-,-,-,46,0,-
