,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2018-2018,2,15,14,15.00,0,5,3/32,18.60,0,0,0,-3.59
2,in England,2017-2019,4,3,2,1.50,0,6,3/25,25.83,0,1,0,-24.33
3,in New Zealand,2017-2017,4,71,50,23.66,0,5,3/5,27.20,0,0,0,-3.53
4,in South Africa,2016-2019,12,46,31,15.33,0,13,3/19,33.00,0,5,0,-17.66
6,in Africa,2016-2019,12,46,31,15.33,0,13,3/19,33.00,0,5,0,-17.66
7,in Europe,2017-2019,4,3,2,1.50,0,6,3/25,25.83,0,1,0,-24.33
8,in Oceania,2017-2018,6,86,50,21.50,0,10,3/5,22.90,0,0,0,-1.39
10,home,2016-2019,12,46,31,15.33,0,13,3/19,33.00,0,5,0,-17.66
11,away,2017-2019,8,87,50,17.40,0,11,3/5,30.18,0,0,0,-12.78
12,neutral,2019-2019,2,2,2,2.00,0,5,3/25,10.40,0,1,0,-8.39
14,year 2016,,3,15,15,15.00,0,2,1/19,47.00,0,0,0,-31.99
15,year 2017,,9,71,50,17.75,0,15,3/5,24.46,0,3,0,-6.71
16,year 2018,,2,15,14,15.00,0,5,3/32,18.60,0,0,0,-3.59
17,year 2019,,8,34,31,11.33,0,7,3/25,37.00,0,3,0,-25.66
19,season 2016/17,,9,86,50,21.50,0,12,3/5,25.33,0,3,0,-3.83
20,season 2017,,1,-,-,-,-,1,1/61,61.00,0,0,0,-
21,season 2017/18,,2,0,0,0.00,0,4,2/48,24.00,0,0,0,-23.99
22,season 2018/19,,7,46,31,23.00,0,7,3/32,36.85,0,2,0,-13.85
23,season 2019,,3,3,2,1.50,0,5,3/25,18.80,0,1,0,-17.29
25,*AB de Villiers,2017-2017,7,71,50,23.66,0,11,3/5,24.63,0,3,0,-0.96
26,*F du Plessis,2016-2019,15,64,31,10.66,0,18,3/25,30.11,0,3,0,-19.44
28,is not captain,2016-2019,22,135,50,15.00,0,29,3/5,28.03,0,6,0,-13.03
30,is not keeper,2016-2019,22,135,50,15.00,0,29,3/5,28.03,0,6,0,-13.03
32,won the toss,2017-2019,14,88,50,14.66,0,21,3/5,25.19,0,6,0,-10.52
33,lost the toss,2016-2019,8,47,31,15.66,0,8,2/48,35.50,0,0,0,-19.83
35,won toss & batted,2017-2019,5,23,11,7.66,0,7,3/5,26.28,0,2,0,-18.61
36,won toss & fielded,2017-2019,9,65,50,21.66,0,14,3/19,24.64,0,4,0,-2.97
37,lost toss & sent in,2016-2019,4,32,31,16.00,0,5,2/48,26.80,0,0,0,-10.79
38,lost toss & fielded,2016-2019,4,15,15,15.00,0,3,2/48,50.00,0,0,0,-34.99
40,matches batting first,2016-2019,9,55,31,11.00,0,12,3/5,26.50,0,2,0,-15.49
41,matches fielding first,2016-2019,13,80,50,20.00,0,17,3/19,29.11,0,4,0,-9.11
43,1st match innings,2016-2019,22,55,31,11.00,0,17,3/19,29.11,0,4,0,-18.11
44,2nd match innings,2016-2019,22,80,50,20.00,0,12,3/5,26.50,0,2,0,-6.49
46,day match,2016-2019,10,82,50,20.50,0,12,3/25,30.50,0,1,0,-9.99
47,day/night match,2016-2019,12,53,15,10.60,0,17,3/5,26.29,0,5,0,-15.69
49,won match,2016-2019,16,60,31,12.00,0,23,3/5,23.52,0,5,0,-11.52
50,lost match,2017-2019,6,75,50,18.75,0,6,3/32,45.33,0,1,0,-26.58
52,won batting first,2016-2019,7,45,31,11.25,0,12,3/5,18.41,0,1,0,-7.16
53,won fielding first,2016-2019,9,15,15,15.00,0,11,3/19,29.09,0,4,0,-14.09
54,lost batting first,2017-2019,2,10,10,10.00,0,0,-,-,0,1,0,-
55,lost fielding first,2017-2019,4,65,50,21.66,0,6,3/32,29.16,0,0,0,-7.49
57,2 team series,2016-2019,19,132,50,18.85,0,24,3/5,29.95,0,5,0,-11.10
58,5+ team tournaments,2019-2019,3,3,2,1.50,0,5,3/25,18.80,0,1,0,-17.29
60,only match in series,2016-2016,1,-,-,-,-,1,1/19,19.00,0,0,0,-
61,1st match in series,2017-2019,3,-,-,-,-,2,2/48,67.00,0,1,0,-
62,2nd match in series,2017-2018,4,64,50,21.33,0,8,3/32,22.62,0,0,0,-1.29
63,3rd match in series,2016-2019,5,58,31,19.33,0,8,3/5,16.62,0,2,0,2.70
64,4th match in series,2016-2017,3,10,10,10.00,0,3,2/55,47.66,0,1,0,-37.66
65,5th match in series,2017-2019,3,-,-,-,-,2,2/46,54.50,0,1,0,-
67,World Cup,2019-2019,3,3,2,1.50,0,5,3/25,18.80,0,1,0,-17.29
