,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2014-2018,12,526,125,52.60,2,0,-,-,0,13,0,-
2,in Bangladesh,2011-2015,5,198,63*,49.50,0,-,-,-,-,0,0,-
3,in England,2012-2019,24,758,100,39.89,1,1,1/8,8.00,0,18,0,31.89
4,in India,2011-2015,10,394,133*,65.66,1,1,1/22,38.00,0,1,0,27.66
5,in Netherlands,2013-2013,1,62,62*,-,0,-,-,-,-,3,0,-
6,in New Zealand,2012-2017,13,506,82,46.00,0,-,-,-,-,4,0,-
7,in South Africa,2011-2019,53,2008,185,46.69,5,0,-,-,0,29,0,-
8,in Sri Lanka,2013-2018,8,163,49,20.37,0,-,-,-,-,3,0,-
9,in U.A.E.,2013-2013,5,135,55,27.00,0,-,-,-,-,4,0,-
10,in West Indies,2016-2016,4,139,73*,69.50,0,-,-,-,-,3,0,-
11,in Zimbabwe,2014-2014,8,618,126,77.25,3,-,-,-,-,3,0,-
13,in Africa,2011-2019,61,2626,185,51.49,8,0,-,-,0,32,0,-
14,in Americas,2016-2016,4,139,73*,69.50,0,-,-,-,-,3,0,-
15,in Asia,2011-2018,28,890,133*,38.69,1,1,1/22,38.00,0,8,0,0.69
16,in Europe,2012-2019,25,820,100,43.15,1,1,1/8,8.00,0,21,0,35.15
17,in Oceania,2012-2018,25,1032,125,49.14,2,0,-,-,0,17,0,-
19,home,2011-2019,53,2008,185,46.69,5,0,-,-,0,29,0,-
20,away,2011-2019,55,1981,133*,44.02,3,2,1/8,15.00,0,32,0,29.02
21,neutral,2011-2019,35,1518,126,54.21,4,0,-,-,0,20,0,-
23,year 2011,,13,288,60,28.80,0,1,1/22,64.00,0,5,0,-35.19
24,year 2012,,13,275,72,27.50,0,1,1/8,59.00,0,7,0,-31.49
25,year 2013,,21,539,62*,26.95,0,0,-,-,0,15,0,-
26,year 2014,,15,790,126,52.66,3,-,-,-,-,10,0,-
27,year 2015,,20,884,133*,58.93,2,0,-,-,0,9,0,-
28,year 2016,,15,578,111,48.16,1,-,-,-,-,4,0,-
29,year 2017,,19,905,185,60.33,2,-,-,-,-,10,0,-
30,year 2018,,8,434,125,62.00,2,-,-,-,-,5,0,-
31,year 2019,,19,814,112*,67.83,2,-,-,-,-,16,0,-
33,season 2010/11,,10,228,60,32.57,0,1,1/22,64.00,0,3,0,-31.42
34,season 2011/12,,11,308,72,30.80,0,0,-,-,0,7,0,-
35,season 2012,,5,27,22*,9.00,0,1,1/8,8.00,0,2,0,1.00
36,season 2012/13,,6,166,57,27.66,0,0,-,-,0,3,0,-
37,season 2013,,10,238,62*,26.44,0,-,-,-,-,8,0,-
38,season 2013/14,,5,135,55,27.00,0,-,-,-,-,4,0,-
39,season 2014,,8,618,126,77.25,3,-,-,-,-,3,0,-
40,season 2014/15,,19,623,109,38.93,1,0,-,-,0,15,0,-
41,season 2015,,3,110,63*,55.00,0,-,-,-,-,0,0,-
42,season 2015/16,,10,491,133*,61.37,1,-,-,-,-,1,0,-
43,season 2016,,4,139,73*,69.50,0,-,-,-,-,3,0,-
44,season 2016/17,,16,860,185,61.42,3,-,-,-,-,6,0,-
45,season 2017,,6,225,75,37.50,0,-,-,-,-,3,0,-
46,season 2017/18,,4,211,120,105.50,1,-,-,-,-,2,0,-
47,season 2018,,3,106,49,35.33,0,-,-,-,-,1,0,-
48,season 2018/19,,14,635,125,70.55,2,-,-,-,-,10,0,-
49,season 2019,,9,387,100,64.50,1,-,-,-,-,10,0,-
51,*HM Amla,2011-2015,9,203,63*,25.37,0,-,-,-,-,2,0,-
52,*AB de Villiers,2012-2017,85,3405,185,47.29,7,1,1/8,106.00,0,49,0,-58.70
53,*F du Plessis,2013-2019,39,1671,125,57.62,5,0,-,-,0,27,0,-
54,*GC Smith,2011-2011,10,228,60,32.57,0,1,1/22,64.00,0,3,0,-31.42
56,is captain,2013-2019,39,1671,125,57.62,5,0,-,-,0,27,0,-
57,is not captain,2011-2017,104,3836,185,44.09,7,2,1/8,85.00,0,54,0,-40.90
59,is not keeper,2011-2019,143,5507,185,47.47,12,2,1/8,94.50,0,81,0,-47.02
61,won the toss,2011-2019,78,3065,185,47.89,8,0,-,-,0,43,0,-
62,lost the toss,2011-2019,65,2442,125,46.96,4,2,1/8,42.00,0,38,0,4.96
64,won toss & batted,2011-2019,40,1758,185,50.22,5,0,-,-,0,18,0,-
65,won toss & fielded,2011-2019,38,1307,126,45.06,3,0,-,-,0,25,0,-
66,lost toss & sent in,2011-2019,35,1382,125,46.06,4,0,-,-,0,20,0,-
67,lost toss & fielded,2011-2019,30,1060,72,48.18,0,2,1/8,35.50,0,18,0,12.68
69,matches batting first,2011-2019,75,3140,185,48.30,9,0,-,-,0,38,0,-
70,matches fielding first,2011-2019,68,2367,126,46.41,3,2,1/8,45.00,0,43,0,1.41
72,1st match innings,2011-2019,143,3140,185,48.30,9,2,1/8,45.00,0,43,0,3.30
73,2nd match innings,2011-2019,140,2367,126,46.41,3,0,-,-,0,38,0,-
75,day match,2011-2019,57,2323,126,50.50,5,0,-,-,0,35,0,-
76,day/night match,2011-2019,86,3184,185,45.48,7,2,1/8,80.00,0,46,0,-34.51
78,won match,2011-2019,88,3803,185,58.50,10,2,1/8,60.00,0,59,0,-1.49
79,lost match,2011-2019,51,1669,126,33.38,2,0,-,-,0,21,0,-
80,tied match,2013-2013,1,35,35,35.00,0,-,-,-,-,1,0,-
81,no result,2012-2019,3,0,0*,-,0,-,-,-,-,0,0,-
83,won batting first,2011-2019,47,2294,185,57.35,8,0,-,-,0,30,0,-
84,won fielding first,2011-2019,41,1509,112*,60.36,2,2,1/8,27.50,0,29,0,32.86
85,lost batting first,2011-2019,25,811,120,33.79,1,0,-,-,0,7,0,-
86,lost fielding first,2011-2019,26,858,126,33.00,1,0,-,-,0,14,0,-
87,tied batting first,2013-2013,1,35,35,35.00,0,-,-,-,-,1,0,-
88,no result batting first,2016-2019,2,0,0*,-,0,-,-,-,-,-,-,-
89,no result fielding first,2012-2012,1,-,-,-,-,-,-,-,-,0,0,-
91,2 team series,2011-2019,104,3722,185,43.27,7,1,1/8,104.00,0,58,0,-60.72
92,3-4 team tournaments,2014-2016,9,603,126,86.14,3,-,-,-,-,3,0,-
93,5+ team tournaments,2011-2019,30,1182,109,51.39,2,1,1/22,85.00,0,20,0,-33.60
95,only match in series,2013-2016,2,83,62*,83.00,0,-,-,-,-,3,0,-
96,1st match in series,2011-2019,25,931,120,54.76,2,-,-,-,-,11,0,-
97,2nd match in series,2011-2019,24,808,111,36.72,2,0,-,-,0,18,0,-
98,3rd match in series,2011-2019,25,941,125,44.80,1,0,-,-,0,16,0,-
99,4th match in series,2011-2019,14,544,185,38.85,1,0,-,-,0,4,0,-
100,5th match in series,2011-2019,14,415,133*,37.72,1,1,1/8,21.00,0,6,0,16.72
102,World Cup,2011-2019,23,926,109,57.87,2,1,1/22,85.00,0,16,0,-27.12
103,ICC Champions Trophy,2013-2017,7,256,75,36.57,0,-,-,-,-,4,0,-
105,tournament finals,2014-2014,1,96,96,96.00,0,-,-,-,-,0,0,-
106,tournament semi-finals,2013-2015,2,108,82,54.00,0,-,-,-,-,1,0,-
107,tournament quarter-finals,2011-2015,2,57,36,57.00,0,-,-,-,-,3,0,-
108,preliminary matches,2011-2019,34,1524,126,58.61,5,1,1/22,85.00,0,19,0,-26.38
