,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2009-2015,14,617,159,47.46,2,-,-,-,-,8,0,-
2,in Bangladesh,2008-2015,8,134,51,22.33,0,-,-,-,-,3,0,-
3,in England,2008-2019,25,1054,150,52.7,2,-,-,-,-,13,0,-
4,in India,2010-2015,12,458,113,38.16,1,-,-,-,-,4,0,-
5,in Netherlands,2013-2013,1,20,20,20,0,-,-,-,-,0,0,-
6,in New Zealand,2012-2017,15,516,119,34.4,1,-,-,-,-,8,0,-
7,in South Africa,2008-2019,69,3498,154,54.65,14,-,-,-,-,33,0,-
8,in Sri Lanka,2013-2018,11,514,109,51.4,2,-,-,-,-,5,0,-
9,in U.A.E.,2010-2013,8,350,119*,50,1,-,-,-,-,6,0,-
10,in West Indies,2010-2016,11,643,129,64.3,3,-,-,-,-,2,0,-
11,in Zimbabwe,2014-2014,7,309,122*,51.5,1,-,-,-,-,5,0,-
13,in Africa,2008-2019,76,3807,154,54.38,15,-,-,-,-,38,0,-
14,in Americas,2010-2016,11,643,129,64.3,3,-,-,-,-,2,0,-
15,in Asia,2008-2018,39,1456,119*,41.6,4,-,-,-,-,18,0,-
16,in Europe,2008-2019,26,1074,150,51.14,2,-,-,-,-,13,0,-
17,in Oceania,2009-2017,29,1133,159,40.46,3,-,-,-,-,16,0,-
19,home,2008-2019,69,3498,154,54.65,14,-,-,-,-,33,0,-
20,away,2008-2019,74,3091,150,46.83,9,-,-,-,-,32,0,-
21,neutral,2010-2019,38,1524,159,44.82,4,-,-,-,-,22,0,-
23,year 2008,,10,368,140,52.57,1,-,-,-,-,4,0,-
24,year 2009,,12,480,97,43.63,0,-,-,-,-,6,0,-
25,year 2010,,15,1058,129,75.57,5,-,-,-,-,6,0,-
26,year 2011,,15,632,116*,45.14,2,-,-,-,-,1,0,-
27,year 2012,,10,678,150,84.75,2,-,-,-,-,6,0,-
28,year 2013,,23,838,122,38.09,2,-,-,-,-,17,0,-
29,year 2014,,18,892,122*,52.47,5,-,-,-,-,9,0,-
30,year 2015,,23,1062,159,50.57,4,-,-,-,-,14,0,-
31,year 2016,,14,511,127,39.3,2,-,-,-,-,6,0,-
32,year 2017,,18,862,154,50.7,3,-,-,-,-,12,0,-
33,year 2018,,11,315,71,28.63,0,-,-,-,-,2,0,-
34,year 2019,,12,417,108*,46.33,1,-,-,-,-,4,0,-
36,season 2007/08,,3,25,16,25,0,-,-,-,-,1,0,-
37,season 2008,,3,83,46,41.5,0,-,-,-,-,1,0,-
38,season 2008/09,,10,466,140,51.77,1,-,-,-,-,4,0,-
39,season 2009/10,,8,395,87,49.37,0,-,-,-,-,5,0,-
40,season 2010,,5,402,129,80.4,2,-,-,-,-,0,0,-
41,season 2010/11,,20,1091,119*,60.61,5,-,-,-,-,6,0,-
42,season 2011/12,,8,419,112,52.37,1,-,-,-,-,4,0,-
43,season 2012,,5,335,150,111.66,1,-,-,-,-,2,0,-
44,season 2012/13,,6,217,122,36.16,1,-,-,-,-,3,0,-
45,season 2013,,8,242,81,34.57,0,-,-,-,-,3,0,-
46,season 2013/14,,9,379,100,42.11,1,-,-,-,-,11,0,-
47,season 2014,,10,567,122*,63,3,-,-,-,-,7,0,-
48,season 2014/15,,20,1071,159,59.5,5,-,-,-,-,9,0,-
49,season 2015,,6,227,124,37.83,1,-,-,-,-,5,0,-
