,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2014-2018,10,41,22,20.50,0,13,5/45,33.46,1,2,0,-12.96
2,in Bangladesh,2011-2015,5,1,1*,-,0,5,2/32,33.40,0,1,0,-
3,in England,2017-2019,13,12,10*,4.00,0,16,4/27,32.62,0,4,0,-28.62
4,in India,2011-2015,8,14,9,14.00,0,18,4/38,19.77,0,4,0,-5.77
5,in New Zealand,2014-2017,11,0,0*,0.00,0,15,3/36,27.93,0,3,0,-27.93
6,in South Africa,2013-2019,41,25,8,4.16,0,68,6/24,24.44,1,9,0,-20.27
7,in Sri Lanka,2014-2014,3,0,0*,-,0,6,3/50,20.00,0,0,0,-
8,in U.A.E.,2013-2013,4,4,3,2.00,0,9,4/53,19.66,0,2,0,-17.66
9,in West Indies,2016-2016,6,35,29,8.75,0,13,7/45,16.15,1,0,0,-7.40
10,in Zimbabwe,2014-2014,6,25,23*,25.00,0,10,3/44,22.90,0,0,0,2.10
12,in Africa,2013-2019,47,50,23*,7.14,0,78,6/24,24.24,1,9,0,-17.10
13,in Americas,2016-2016,6,35,29,8.75,0,13,7/45,16.15,1,0,0,-7.40
14,in Asia,2011-2015,20,19,9,6.33,0,38,4/38,21.57,0,7,0,-15.24
15,in Europe,2017-2019,13,12,10*,4.00,0,16,4/27,32.62,0,4,0,-28.62
16,in Oceania,2014-2018,21,41,22,13.66,0,28,5/45,30.50,1,5,0,-16.83
18,home,2013-2019,41,25,8,4.16,0,68,6/24,24.44,1,9,0,-20.27
19,away,2011-2019,34,99,29,19.80,0,46,7/45,31.32,1,6,0,-11.52
20,neutral,2011-2019,32,33,10*,3.66,0,59,5/45,20.23,1,10,0,-16.57
22,year 2011,,5,1,1*,-,0,14,4/38,10.71,0,2,0,-
23,year 2013,,8,4,3,2.00,0,12,4/53,24.66,0,3,0,-22.66
24,year 2014,,14,47,23*,23.50,0,21,3/44,26.14,0,2,0,-2.64
25,year 2015,,22,26,9,6.50,0,37,5/45,25.18,1,5,0,-18.68
26,year 2016,,15,39,29,9.75,0,27,7/45,25.00,1,1,0,-15.24
27,year 2017,,17,1,1,1.00,0,27,4/27,24.88,0,3,0,-23.88
28,year 2018,,10,22,11*,5.50,0,13,6/24,30.84,1,1,0,-25.34
29,year 2019,,16,17,10*,5.66,0,22,4/29,28.27,0,8,0,-22.60
31,season 2010/11,,5,1,1*,-,0,14,4/38,10.71,0,2,0,-
32,season 2013/14,,8,4,3,2.00,0,12,4/53,24.66,0,3,0,-22.66
33,season 2014,,9,25,23*,25.00,0,16,3/44,21.81,0,0,0,3.18
34,season 2014/15,,16,30,22,10.00,0,28,5/45,22.89,1,4,0,-12.89
35,season 2015,,6,5,4,5.00,0,7,2/36,33.28,0,1,0,-28.28
36,season 2015/16,,10,17,9,17.00,0,15,3/46,36.66,0,3,0,-19.66
37,season 2016,,6,35,29,8.75,0,13,7/45,16.15,1,0,0,-7.40
38,season 2016/17,,14,0,0*,-,0,22,3/26,26.13,0,1,0,-
39,season 2017,,4,1,1,1.00,0,5,4/27,29.60,0,2,0,-28.59
40,season 2017/18,,7,10,8,3.33,0,7,3/50,42.42,0,1,0,-39.09
41,season 2018/19,,13,18,11*,9.00,0,23,6/24,20.60,1,6,0,-11.60
42,season 2019,,9,11,10*,5.50,0,11,4/29,34.00,0,2,0,-28.49
44,*HM Amla,2014-2015,4,24,23*,-,0,3,1/32,49.00,0,1,0,-
45,*AB de Villiers,2013-2017,65,93,29,7.15,0,109,7/45,24.60,2,13,0,-17.45
46,*JP Duminy,2018-2018,2,1,1,1.00,0,8,6/24,5.87,1,0,0,-4.87
47,*F du Plessis,2016-2019,28,28,11*,9.33,0,38,4/29,30.18,0,9,0,-20.85
48,*AK Markram,2018-2018,3,10,8,3.33,0,1,1/52,124.00,0,0,0,-120.66
49,*GC Smith,2011-2011,5,1,1*,-,0,14,4/38,10.71,0,2,0,-
51,is not captain,2011-2019,107,157,29,7.85,0,173,7/45,24.83,3,25,0,-16.98
53,is not keeper,2011-2019,107,157,29,7.85,0,173,7/45,24.83,3,25,0,-16.98
55,won the toss,2011-2019,61,93,29,7.75,0,97,6/24,26.26,2,14,0,-18.51
56,lost the toss,2011-2019,46,64,23*,8.00,0,76,7/45,23.01,1,11,0,-15.01
58,won toss & batted,2011-2019,32,7,4,1.16,0,51,6/24,26.43,2,6,0,-25.26
59,won toss & fielded,2011-2019,29,86,29,14.33,0,46,4/29,26.08,0,8,0,-11.75
60,lost toss & sent in,2011-2019,25,32,23*,8.00,0,42,7/45,20.80,1,2,0,-12.80
61,lost toss & fielded,2011-2019,21,32,9,8.00,0,34,4/26,25.73,0,9,0,-17.73
63,matches batting first,2011-2019,57,39,23*,3.90,0,93,7/45,23.89,3,8,0,-19.99
64,matches fielding first,2011-2019,50,118,29,11.80,0,80,4/26,25.93,0,17,0,-14.13
66,1st match innings,2011-2019,107,39,23*,3.90,0,80,4/26,25.93,0,17,0,-22.03
67,2nd match innings,2011-2019,104,118,29,11.80,0,93,7/45,23.89,3,8,0,-12.09
69,day match,2011-2019,44,69,23*,8.62,0,69,4/27,24.92,0,9,0,-16.30
70,day/night match,2011-2019,63,88,29,7.33,0,104,7/45,24.77,3,16,0,-17.44
72,won match,2011-2019,65,30,23*,10.00,0,136,7/45,18.78,3,17,0,-8.78
73,lost match,2011-2019,39,127,29,7.47,0,37,4/38,47.08,0,8,0,-39.61
74,no result,2013-2019,3,-,-,-,-,-,-,-,-,-,-,-
76,won batting first,2011-2019,38,26,23*,8.66,0,84,7/45,18.30,3,5,0,-9.64
77,won fielding first,2011-2019,27,4,4*,-,0,52,4/26,19.55,0,12,0,-
78,lost batting first,2015-2019,16,13,5,1.85,0,9,2/41,76.00,0,3,0,-74.14
79,lost fielding first,2011-2019,23,114,29,11.40,0,28,4/38,37.78,0,5,0,-26.38
80,no result batting first,2013-2019,3,-,-,-,-,-,-,-,-,-,-,-
82,2 team series,2013-2019,72,76,22,7.60,0,110,6/24,27.28,1,17,0,-19.68
83,3-4 team tournaments,2014-2016,10,60,29,12.00,0,18,7/45,20.50,1,0,0,-8.49
84,5+ team tournaments,2011-2019,25,21,10*,4.20,0,45,5/45,20.60,1,8,0,-16.39
86,1st match in series,2013-2019,21,23,22,11.50,0,35,3/26,25.88,0,6,0,-14.38
87,2nd match in series,2013-2019,19,30,11*,6.00,0,27,6/24,27.62,1,2,0,-21.62
88,3rd match in series,2013-2019,18,8,8,8.00,0,27,4/28,25.33,0,3,0,-17.33
89,4th match in series,2013-2019,6,13,5,13.00,0,9,3/46,37.55,0,1,0,-24.55
90,5th match in series,2015-2019,7,-,-,-,-,12,3/53,23.75,0,5,0,-
91,6th match in series,2018-2018,1,2,2,2.00,0,0,-,-,0,0,0,-
93,World Cup,2011-2019,22,20,10*,5.00,0,40,5/45,21.17,1,6,0,-16.17
94,ICC Champions Trophy,2017-2017,3,1,1,1.00,0,5,4/27,16.00,0,2,0,-14.99
96,tournament finals,2014-2014,1,-,-,-,-,1,1/40,40.00,0,0,0,-
97,tournament semi-finals,2015-2015,1,-,-,-,-,0,-,-,0,0,0,-
98,tournament quarter-finals,2011-2015,2,0,0*,-,0,6,4/26,9.66,0,1,0,-
99,preliminary matches,2011-2019,31,81,29,8.10,0,56,7/45,20.67,2,7,0,-12.57
