,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2009-2015,7,181,71,45.25,0,6,3/29,30.83,0,1,0,14.41
2,in Bangladesh,2008-2015,8,133,51,33.25,0,1,1/28,105.00,0,2,0,-71.74
3,in England,2008-2019,24,351,45,20.64,0,6,1/11,45.00,0,6,0,-24.35
4,in India,2010-2015,9,269,99,33.62,0,3,1/11,85.00,0,6,0,-51.37
5,in Ireland,2007-2007,4,51,40,17.00,0,1,1/8,8.00,0,1,0,9.00
6,in Netherlands,2013-2013,1,150,150*,-,1,1,1/22,22.00,0,0,0,-
7,in New Zealand,2012-2017,15,428,115*,38.90,1,5,1/12,55.80,0,6,0,-16.89
8,in Pakistan,2007-2007,2,44,44,44.00,0,1,1/6,6.00,0,1,0,38.00
9,in South Africa,2006-2019,81,2311,129,42.01,2,29,4/16,39.41,0,43,0,2.60
10,in Sri Lanka,2004-2018,18,467,97,27.47,0,8,2/35,60.25,0,9,0,-32.77
11,in U.A.E.,2010-2013,10,321,64,45.85,0,2,2/14,52.00,0,0,0,-6.14
12,in West Indies,2010-2016,9,190,51,31.66,0,1,1/12,85.00,0,2,0,-53.33
13,in Zimbabwe,2007-2014,11,221,51,36.83,0,5,3/35,39.80,0,5,0,-2.96
15,in Africa,2006-2019,92,2532,129,41.50,2,34,4/16,39.47,0,48,0,2.03
16,in Americas,2010-2016,9,190,51,31.66,0,1,1/12,85.00,0,2,0,-53.33
17,in Asia,2004-2018,47,1234,99,33.35,0,15,2/14,63.46,0,18,0,-30.11
18,in Europe,2007-2019,29,552,150*,27.60,1,8,1/8,37.50,0,7,0,-9.89
19,in Oceania,2009-2017,22,609,115*,40.60,1,11,3/29,42.18,0,7,0,-1.58
21,home,2006-2019,81,2311,129,42.01,2,29,4/16,39.41,0,43,0,2.60
22,away,2004-2019,79,1823,150*,31.98,1,28,3/35,50.96,0,28,0,-18.98
23,neutral,2007-2019,39,983,115*,36.40,1,12,3/29,47.75,0,11,0,-11.34
25,year 2004,,5,29,22,5.80,0,1,1/28,62.00,0,2,0,-56.19
26,year 2006,,3,115,60,115.00,0,0,-,-,0,2,0,-
27,year 2007,,12,198,46,22.00,0,2,1/6,24.50,0,3,0,-2.49
28,year 2008,,17,476,90,59.50,0,3,3/31,38.33,0,3,0,21.16
29,year 2009,,17,475,111*,36.53,1,10,3/48,26.30,0,12,0,10.23
30,year 2010,,12,433,129,61.85,1,1,1/22,136.00,0,1,0,-74.14
31,year 2011,,15,563,99,43.30,0,5,2/29,35.40,0,12,0,7.90
32,year 2012,,13,312,66*,34.66,0,5,2/44,39.00,0,4,0,-4.33
33,year 2013,,21,659,150*,36.61,1,8,2/14,52.62,0,7,0,-16.01
34,year 2014,,14,311,58*,38.87,0,10,3/35,36.00,0,6,0,2.87
35,year 2015,,17,366,115*,36.60,1,10,3/29,51.90,0,8,0,-15.29
36,year 2016,,16,444,82,37.00,0,6,4/16,37.83,0,7,0,-0.83
37,year 2017,,17,287,38*,26.09,0,2,2/30,103.50,0,9,0,-77.40
38,year 2018,,13,348,92,31.63,0,4,2/35,69.75,0,1,0,-38.11
39,year 2019,,7,101,45,25.25,0,2,1/15,49.00,0,5,0,-23.74
41,season 2004,,5,29,22,5.80,0,1,1/28,62.00,0,2,0,-56.19
42,season 2006/07,,3,115,60,115.00,0,0,-,-,0,2,0,-
43,season 2007,,7,84,40,16.80,0,1,1/8,27.00,0,2,0,-10.19
44,season 2007/08,,13,390,79*,65.00,0,1,1/6,76.00,0,2,0,-10.99
45,season 2008,,5,64,20,16.00,0,-,-,-,-,0,0,-
46,season 2008/09,,14,412,90,45.77,0,10,3/31,25.40,0,7,0,20.37
