,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2018-2018,3,9,9,9.00,0,7,4/54,17.71,0,2,0,-8.71
2,in Bangladesh,2015-2015,3,11,10,5.50,0,8,6/16,12.75,1,0,0,-7.24
3,in England,2017-2019,15,108,31*,21.60,0,19,4/39,35.00,0,3,0,-13.39
4,in India,2015-2015,5,27,19*,-,0,10,4/41,24.10,0,1,0,-
5,in New Zealand,2017-2017,4,-,-,-,-,8,3/25,17.00,0,0,0,-
6,in South Africa,2015-2019,35,64,23*,9.14,0,52,4/43,30.21,0,16,0,-21.06
7,in Sri Lanka,2018-2018,4,12,12*,-,0,6,4/41,28.33,0,0,0,-
8,in West Indies,2016-2016,6,28,15*,28.00,0,7,3/13,27.14,0,0,0,0.85
10,in Africa,2015-2019,35,64,23*,9.14,0,52,4/43,30.21,0,16,0,-21.06
11,in Americas,2016-2016,6,28,15*,28.00,0,7,3/13,27.14,0,0,0,0.85
12,in Asia,2015-2018,12,50,19*,25.00,0,24,6/16,21.37,1,1,0,3.62
13,in Europe,2017-2019,15,108,31*,21.60,0,19,4/39,35.00,0,3,0,-13.39
14,in Oceania,2017-2018,7,9,9,9.00,0,15,4/54,17.33,0,2,0,-8.33
16,home,2015-2019,35,64,23*,9.14,0,52,4/43,30.21,0,16,0,-21.06
17,away,2015-2019,26,99,19*,16.50,0,51,6/16,21.60,1,3,0,-5.10
18,neutral,2016-2019,14,96,31*,32.00,0,14,3/13,37.57,0,3,0,-5.57
20,year 2015,,10,38,19*,19.00,0,21,6/16,20.23,1,2,0,-1.23
21,year 2016,,15,49,15*,16.33,0,22,4/45,29.77,0,4,0,-13.43
22,year 2017,,18,73,26,24.33,0,27,4/39,27.62,0,4,0,-3.29
23,year 2018,,14,38,12*,9.50,0,23,4/41,26.17,0,7,0,-16.67
24,year 2019,,18,61,31*,15.25,0,24,3/43,32.12,0,5,0,-16.87
26,season 2015,,5,11,10,5.50,0,11,6/16,16.72,1,1,0,-11.22
27,season 2015/16,,9,39,19*,19.50,0,19,4/41,22.10,0,2,0,-2.60
28,season 2016,,6,28,15*,28.00,0,7,3/13,27.14,0,0,0,0.85
29,season 2016/17,,14,9,9*,-,0,20,3/25,32.40,0,6,0,-
30,season 2017,,6,50,26,16.66,0,8,4/39,33.50,0,0,0,-16.83
