,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2018-2018,3,19,19*,-,0,4,2/26,37.25,0,0,0,-
2,in England,2019-2019,4,7,6*,7.00,0,7,3/64,30.14,0,1,0,-23.14
3,in South Africa,2018-2019,11,20,6,10.00,0,20,4/51,19.30,0,2,0,-9.29
4,in Sri Lanka,2018-2018,4,1,1*,-,0,10,4/57,20.10,0,3,0,-
6,in Africa,2018-2019,11,20,6,10.00,0,20,4/51,19.30,0,2,0,-9.29
7,in Asia,2018-2018,4,1,1*,-,0,10,4/57,20.10,0,3,0,-
8,in Europe,2019-2019,4,7,6*,7.00,0,7,3/64,30.14,0,1,0,-23.14
9,in Oceania,2018-2018,3,19,19*,-,0,4,2/26,37.25,0,0,0,-
11,home,2018-2019,11,20,6,10.00,0,20,4/51,19.30,0,2,0,-9.29
12,away,2018-2019,8,26,19*,-,0,17,4/57,24.47,0,3,0,-
13,neutral,2019-2019,3,1,1,1.00,0,4,3/64,36.25,0,1,0,-35.24
15,year 2018,,13,34,19*,34.00,0,26,4/51,23.03,0,4,0,10.96
16,year 2019,,9,13,6*,6.50,0,15,3/60,23.20,0,2,0,-16.69
18,season 2017/18,,4,10,6,10.00,0,8,4/51,25.50,0,1,0,-15.49
19,season 2018,,4,1,1*,-,0,10,4/57,20.10,0,3,0,-
20,season 2018/19,,10,29,19*,29.00,0,16,3/19,20.68,0,1,0,8.31
21,season 2019,,4,7,6*,7.00,0,7,3/64,30.14,0,1,0,-23.14
23,*Q de Kock,2018-2018,1,1,1*,-,0,2,2/65,32.50,0,0,0,-
24,*JP Duminy,2018-2018,2,4,4*,-,0,4,3/19,11.25,0,0,0,-
25,*F du Plessis,2018-2019,15,32,19*,16.00,0,27,4/57,23.44,0,5,0,-7.44
26,*AK Markram,2018-2018,4,10,6,10.00,0,8,4/51,25.50,0,1,0,-15.49
28,is not captain,2018-2019,22,47,19*,15.66,0,41,4/51,23.09,0,6,0,-7.43
30,is not keeper,2018-2019,22,47,19*,15.66,0,41,4/51,23.09,0,6,0,-7.43
32,won the toss,2018-2019,11,40,19*,40.00,0,20,4/51,24.15,0,2,0,15.85
33,lost the toss,2018-2019,11,7,6,3.50,0,21,4/57,22.09,0,4,0,-18.59
35,won toss & batted,2018-2018,1,4,4*,-,0,1,1/26,26.00,0,0,0,-
36,won toss & fielded,2018-2019,10,36,19*,36.00,0,19,4/51,24.05,0,2,0,11.94
37,lost toss & sent in,2018-2019,6,6,6,6.00,0,11,4/57,23.00,0,2,0,-16.99
38,lost toss & fielded,2018-2019,5,1,1,1.00,0,10,3/50,21.10,0,2,0,-20.09
40,matches batting first,2018-2019,7,10,6,10.00,0,12,4/57,23.25,0,2,0,-13.24
41,matches fielding first,2018-2019,15,37,19*,18.50,0,29,4/51,23.03,0,4,0,-4.53
43,1st match innings,2018-2019,22,10,6,10.00,0,29,4/51,23.03,0,4,0,-13.03
44,2nd match innings,2018-2019,22,37,19*,18.50,0,12,4/57,23.25,0,2,0,-4.74
46,day match,2018-2019,10,7,6*,7.00,0,21,4/57,20.33,0,4,0,-13.33
47,day/night match,2018-2019,12,40,19*,20.00,0,20,4/51,26.00,0,2,0,-5.99
49,won match,2018-2019,13,10,6,10.00,0,25,4/57,18.08,0,4,0,-8.07
50,lost match,2018-2019,9,37,19*,18.50,0,16,4/51,30.93,0,2,0,-12.43
52,won batting first,2018-2019,5,10,6,10.00,0,9,4/57,19.77,0,2,0,-9.77
53,won fielding first,2018-2019,8,-,-,-,-,16,3/19,17.12,0,2,0,-
54,lost batting first,2018-2019,2,0,0*,-,0,3,2/54,33.66,0,0,0,-
55,lost fielding first,2018-2019,7,37,19*,18.50,0,13,4/51,30.30,0,2,0,-11.80
57,2 team series,2018-2019,18,40,19*,20.00,0,34,4/51,21.64,0,5,0,-1.64
58,5+ team tournaments,2019-2019,4,7,6*,7.00,0,7,3/64,30.14,0,1,0,-23.14
60,1st match in series,2018-2019,4,-,-,-,-,9,3/19,14.88,0,1,0,-
61,2nd match in series,2018-2019,4,29,19*,29.00,0,7,3/50,22.42,0,1,0,6.57
62,3rd match in series,2018-2019,4,6,6,6.00,0,6,4/57,30.83,0,3,0,-24.83
63,4th match in series,2018-2019,3,1,1*,-,0,5,2/52,27.80,0,0,0,-
64,5th match in series,2018-2019,2,4,4*,-,0,5,4/51,13.40,0,0,0,-
65,6th match in series,2018-2018,1,0,0*,-,0,2,2/54,27.00,0,0,0,-
67,World Cup,2019-2019,4,7,6*,7.00,0,7,3/64,30.14,0,1,0,-23.14
