,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2014-2018,12,335,107,30.45,1,-,-,-,-,22,1,-
2,in Bangladesh,2015-2015,3,44,35,14.66,0,-,-,-,-,1,0,-
3,in England,2017-2019,15,551,98,39.35,0,-,-,-,-,16,1,-
4,in India,2015-2015,5,318,109,63.60,2,-,-,-,-,7,0,-
5,in New Zealand,2014-2017,12,362,80*,32.90,0,-,-,-,-,15,1,-
6,in South Africa,2013-2019,40,2245,178,59.07,9,-,-,-,-,53,3,-
7,in Sri Lanka,2013-2018,11,427,128,38.81,1,-,-,-,-,25,1,-
8,in U.A.E.,2013-2013,3,186,112,62.00,1,-,-,-,-,3,0,-
9,in West Indies,2016-2016,6,149,71,29.80,0,-,-,-,-,5,0,-
10,in Zimbabwe,2014-2014,8,290,84,36.25,0,-,-,-,-,11,1,-
12,in Africa,2013-2019,48,2535,178,55.10,9,-,-,-,-,64,4,-
13,in Americas,2016-2016,6,149,71,29.80,0,-,-,-,-,5,0,-
14,in Asia,2013-2018,22,975,128,44.31,4,-,-,-,-,36,1,-
15,in Europe,2017-2019,15,551,98,39.35,0,-,-,-,-,16,1,-
16,in Oceania,2014-2018,24,697,107,31.68,1,-,-,-,-,37,2,-
18,home,2013-2019,40,2245,178,59.07,9,-,-,-,-,53,3,-
19,away,2013-2019,48,1930,128,41.06,4,-,-,-,-,80,3,-
20,neutral,2013-2019,27,732,112,30.50,1,-,-,-,-,25,2,-
22,year 2013,,16,741,135,46.31,4,-,-,-,-,25,0,-
23,year 2014,,19,741,128,41.16,2,-,-,-,-,32,2,-
24,year 2015,,17,511,109,31.93,2,-,-,-,-,20,1,-
25,year 2016,,17,857,178,57.13,3,-,-,-,-,15,1,-
26,year 2017,,19,956,168*,53.11,2,-,-,-,-,23,2,-
27,year 2018,,10,327,87,32.70,0,-,-,-,-,24,1,-
28,year 2019,,17,774,121,48.37,1,-,-,-,-,19,1,-
