,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,9,311,95,62.20,0,-,-,-,-,3,0,-
2,in South Africa,9,353,93,88.25,0,-,-,-,-,6,0,-
4,in Africa,9,353,93,88.25,0,-,-,-,-,6,0,-
5,in Europe,9,311,95,62.20,0,-,-,-,-,3,0,-
7,home,9,353,93,88.25,0,-,-,-,-,6,0,-
8,away,1,50,50,50.00,0,-,-,-,-,0,0,-
9,neutral,8,261,95,65.25,0,-,-,-,-,3,0,-
11,year 2019,18,664,95,73.77,0,-,-,-,-,9,0,-
13,season 2018/19,9,353,93,88.25,0,-,-,-,-,6,0,-
14,season 2019,9,311,95,62.20,0,-,-,-,-,3,0,-
16,*F du Plessis,18,664,95,73.77,0,-,-,-,-,9,0,-
18,is not captain,18,664,95,73.77,0,-,-,-,-,9,0,-
20,is not keeper,18,664,95,73.77,0,-,-,-,-,9,0,-
22,won the toss,10,463,95,92.60,0,-,-,-,-,6,0,-
23,lost the toss,8,201,67*,50.25,0,-,-,-,-,3,0,-
25,won toss & batted,3,210,95,70.00,0,-,-,-,-,0,0,-
26,won toss & fielded,7,253,80*,126.50,0,-,-,-,-,6,0,-
27,lost toss & sent in,5,137,67*,45.66,0,-,-,-,-,2,0,-
28,lost toss & fielded,3,64,36,64.00,0,-,-,-,-,1,0,-
30,matches batting first,8,347,95,57.83,0,-,-,-,-,2,0,-
31,matches fielding first,10,317,80*,105.66,0,-,-,-,-,7,0,-
33,1st match innings,18,347,95,57.83,0,-,-,-,-,7,0,-
34,2nd match innings,17,317,80*,105.66,0,-,-,-,-,2,0,-
36,day match,10,316,67*,52.66,0,-,-,-,-,4,0,-
37,day/night match,8,348,95,116.00,0,-,-,-,-,5,0,-
39,won match,10,337,95,112.33,0,-,-,-,-,7,0,-
40,lost match,7,327,93,54.50,0,-,-,-,-,2,0,-
41,no result,1,-,-,-,-,-,-,-,-,-,-,-
43,won batting first,3,147,95,49.00,0,-,-,-,-,1,0,-
44,won fielding first,7,190,80*,-,0,-,-,-,-,6,0,-
45,lost batting first,4,200,93,66.66,0,-,-,-,-,1,0,-
46,lost fielding first,3,127,50,42.33,0,-,-,-,-,1,0,-
47,no result batting first,1,-,-,-,-,-,-,-,-,-,-,-
49,2 team series,9,353,93,88.25,0,-,-,-,-,6,0,-
50,5+ team tournaments,9,311,95,62.20,0,-,-,-,-,3,0,-
52,1st match in series,2,125,93,125.00,0,-,-,-,-,1,0,-
53,2nd match in series,2,82,80*,82.00,0,-,-,-,-,1,0,-
54,3rd match in series,2,50,50,50.00,0,-,-,-,-,2,0,-
55,4th match in series,1,18,18,18.00,0,-,-,-,-,1,0,-
56,5th match in series,2,78,50*,-,0,-,-,-,-,1,0,-
58,World Cup,9,311,95,62.20,0,-,-,-,-,3,0,-
