,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2019-2019,2,-,-,-,-,0,-,-,0,0,0,-
2,in New Zealand,2017-2017,1,-,-,-,-,1,1/39,39.00,0,0,0,-
3,in South Africa,2016-2019,9,0,0*,0.00,0,9,3/36,47.55,0,3,0,-47.55
4,in Sri Lanka,2018-2018,3,-,-,-,-,6,4/33,23.00,0,1,0,-
5,in West Indies,2016-2016,2,0,0*,-,0,3,2/41,25.66,0,1,0,-
7,in Africa,2016-2019,9,0,0*,0.00,0,9,3/36,47.55,0,3,0,-47.55
8,in Americas,2016-2016,2,0,0*,-,0,3,2/41,25.66,0,1,0,-
9,in Asia,2018-2018,3,-,-,-,-,6,4/33,23.00,0,1,0,-
10,in Europe,2019-2019,2,-,-,-,-,0,-,-,0,0,0,-
11,in Oceania,2017-2017,1,-,-,-,-,1,1/39,39.00,0,0,0,-
13,home,2016-2019,9,0,0*,0.00,0,9,3/36,47.55,0,3,0,-47.55
14,away,2016-2018,5,-,-,-,-,9,4/33,24.22,0,2,0,-
15,neutral,2016-2019,3,0,0*,-,0,1,1/36,152.00,0,0,0,-
17,year 2016,,3,0,0*,-,0,6,3/36,18.83,0,1,0,-
18,year 2017,,2,-,-,-,-,1,1/39,99.00,0,0,0,-
19,year 2018,,6,0,0*,0.00,0,6,4/33,46.00,0,1,0,-45.99
20,year 2019,,6,-,-,-,-,6,3/56,51.66,0,3,0,-
22,season 2016,,2,0,0*,-,0,3,2/41,25.66,0,1,0,-
23,season 2016/17,,3,-,-,-,-,4,3/36,33.75,0,0,0,-
24,season 2017/18,,2,0,0*,0.00,0,0,-,-,0,0,0,-
25,season 2018,,3,-,-,-,-,6,4/33,23.00,0,1,0,-
26,season 2018/19,,5,-,-,-,-,6,3/56,44.33,0,3,0,-
27,season 2019,,2,-,-,-,-,0,-,-,0,0,0,-
29,*AB de Villiers,2016-2017,4,0,0*,-,0,4,2/41,44.00,0,1,0,-
30,*F du Plessis,2016-2019,11,-,-,-,-,15,4/33,37.06,0,4,0,-
31,*AK Markram,2018-2018,2,0,0*,0.00,0,0,-,-,0,0,0,-
33,is not captain,2016-2019,17,0,0*,0.00,0,19,4/33,42.00,0,5,0,-41.99
35,is not keeper,2016-2019,17,0,0*,0.00,0,19,4/33,42.00,0,5,0,-41.99
37,won the toss,2016-2019,8,0,0*,0.00,0,6,3/56,64.83,0,2,0,-64.83
38,lost the toss,2016-2019,9,0,0*,-,0,13,4/33,31.46,0,3,0,-
40,won toss & batted,2016-2019,4,0,0*,-,0,1,1/36,212.00,0,0,0,-
41,won toss & fielded,2017-2019,4,0,0,0.00,0,5,3/56,35.40,0,2,0,-35.39
42,lost toss & sent in,2016-2019,4,0,0*,-,0,5,2/41,30.00,0,2,0,-
43,lost toss & fielded,2016-2019,5,-,-,-,-,8,4/33,32.37,0,1,0,-
45,matches batting first,2016-2019,8,0,0*,-,0,6,2/41,60.33,0,2,0,-
46,matches fielding first,2016-2019,9,0,0,0.00,0,13,4/33,33.53,0,3,0,-33.53
48,1st match innings,2016-2019,17,0,0*,-,0,13,4/33,33.53,0,3,0,-
49,2nd match innings,2016-2019,17,0,0,0.00,0,6,2/41,60.33,0,2,0,-60.33
51,day match,2016-2019,6,0,0*,-,0,10,4/33,23.20,0,2,0,-
52,day/night match,2016-2019,11,0,0*,0.00,0,9,3/56,62.88,0,3,0,-62.88
54,won match,2016-2019,14,0,0*,-,0,19,4/33,35.68,0,5,0,-
55,lost match,2018-2019,3,0,0*,0.00,0,0,-,-,0,0,0,-
57,won batting first,2016-2019,6,0,0*,-,0,6,2/41,48.33,0,2,0,-
58,won fielding first,2016-2019,8,-,-,-,-,13,4/33,29.84,0,3,0,-
59,lost batting first,2018-2019,2,0,0*,-,0,0,-,-,0,0,0,-
60,lost fielding first,2018-2018,1,0,0,0.00,0,0,-,-,0,0,0,-
62,2 team series,2016-2019,13,0,0*,0.00,0,16,4/33,37.81,0,4,0,-37.81
63,3-4 team tournaments,2016-2016,2,0,0*,-,0,3,2/41,25.66,0,1,0,-
64,5+ team tournaments,2019-2019,2,-,-,-,-,0,-,-,0,0,0,-
66,1st match in series,2017-2018,2,-,-,-,-,5,4/33,14.40,0,1,0,-
67,2nd match in series,2018-2019,3,0,0*,-,0,3,3/56,39.00,0,0,0,-
68,3rd match in series,2018-2019,4,-,-,-,-,4,2/62,59.50,0,1,0,-
69,4th match in series,2016-2019,3,-,-,-,-,4,3/36,32.50,0,2,0,-
70,5th match in series,2018-2018,1,0,0,0.00,0,0,-,-,0,0,0,-
72,World Cup,2019-2019,2,-,-,-,-,0,-,-,0,0,0,-
