,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2010-2015,20,493,77*,41.08,0,13,2/24,38.84,0,3,0,2.23
2,in Bangladesh,2009-2018,11,371,74*,92.75,0,5,3/21,34.80,0,6,0,57.95
3,in England,2011-2019,28,955,113,45.47,1,9,2/22,26.44,0,4,0,19.03
4,in India,2009-2017,11,608,139*,121.60,2,8,2/33,41.37,0,4,0,80.22
5,in Ireland,2014-2016,3,103,49,34.33,0,3,2/37,25.66,0,2,0,8.66
6,in New Zealand,2015-2016,12,256,95,36.57,0,8,3/21,25.25,0,4,0,11.32
7,in Scotland,2011-2019,2,24,23,12.00,0,-,-,-,-,0,0,-
8,in South Africa,2009-2012,8,139,52,19.85,0,4,2/33,45.25,0,5,0,-25.39
9,in Sri Lanka,2009-2018,95,2109,97*,37.66,0,55,6/20,34.50,1,21,0,3.15
10,in U.A.E.,2011-2018,12,312,61,28.36,0,3,1/11,42.33,0,1,0,-13.96
11,in West Indies,2013-2013,5,149,55*,49.66,0,7,4/29,17.57,0,1,0,32.09
12,in Zimbabwe,2008-2010,4,106,75,35.33,0,0,-,-,0,1,0,-
14,in Africa,2008-2012,12,245,75,24.50,0,4,2/33,58.00,0,6,0,-33.49
15,in Americas,2013-2013,5,149,55*,49.66,0,7,4/29,17.57,0,1,0,32.09
16,in Asia,2009-2018,129,3400,139*,44.73,2,71,6/20,35.63,1,32,0,9.10
17,in Europe,2011-2019,33,1082,113,41.61,1,12,2/22,26.25,0,6,0,15.36
18,in Oceania,2010-2016,32,749,95,39.42,0,21,3/21,33.66,0,7,0,5.75
20,home,2009-2018,95,2109,97*,37.66,0,55,6/20,34.50,1,21,0,3.15
21,away,2008-2019,71,2205,139*,49.00,2,39,4/29,35.46,0,23,0,13.53
22,neutral,2009-2019,45,1311,113,39.72,1,21,3/41,29.80,0,8,0,9.91
24,year 2008,,2,31,31,15.50,0,0,-,-,0,1,0,-
25,year 2009,,16,344,52*,28.66,0,17,6/20,28.64,1,5,0,0.01
26,year 2010,,14,291,77*,48.50,0,10,3/36,24.10,0,5,0,24.40
27,year 2011,,26,505,62,33.66,0,8,2/29,41.62,0,5,0,-7.95
28,year 2012,,27,534,80*,38.14,0,15,3/14,46.33,0,6,0,-8.19
29,year 2013,,28,585,74*,32.50,0,19,4/29,35.05,0,4,0,-2.55
30,year 2014,,32,1244,139*,62.20,1,18,3/21,36.16,0,8,0,26.03
31,year 2015,,22,438,70*,31.28,0,15,3/21,31.40,0,5,0,-0.11
32,year 2016,,13,520,95,47.27,0,9,2/17,22.00,0,4,0,25.27
33,year 2017,,15,573,111*,63.66,1,3,2/24,40.66,0,4,0,23.00
34,year 2018,,8,315,97*,52.50,0,-,-,-,-,3,0,-
35,year 2019,,8,245,113,35.00,1,1,1/6,6.00,0,2,0,29.00
37,season 2008/09,,5,91,52*,22.75,0,1,1/19,92.00,0,1,0,-69.24
38,season 2009,,8,140,51,23.33,0,10,6/20,21.00,1,2,0,2.33
39,season 2009/10,,5,144,52,36.00,0,6,2/33,37.00,0,3,0,-0.99
40,season 2010,,11,188,75,37.60,0,10,3/36,24.10,0,3,0,13.50
41,season 2010/11,,14,233,77*,58.25,0,6,2/29,43.16,0,4,0,15.08
42,season 2011,,10,269,62,33.62,0,1,1/6,63.00,0,2,0,-29.37
43,season 2011/12,,18,382,64,29.38,0,8,2/31,40.75,0,5,0,-11.36
