,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2019-2019,4,203,104,50.75,1,-,-,-,-,0,0,-
2,in Scotland,2019-2019,1,74,74,74.00,0,-,-,-,-,2,0,-
3,in South Africa,2019-2019,4,71,29,17.75,0,-,-,-,-,2,0,-
4,in Sri Lanka,2016-2016,1,0,0,0.00,0,-,-,-,-,0,0,-
6,in Africa,2019-2019,4,71,29,17.75,0,-,-,-,-,2,0,-
7,in Asia,2016-2016,1,0,0,0.00,0,-,-,-,-,0,0,-
8,in Europe,2019-2019,5,277,104,55.40,1,-,-,-,-,2,0,-
10,home,2016-2016,1,0,0,0.00,0,-,-,-,-,0,0,-
11,away,2019-2019,6,194,74,32.33,0,-,-,-,-,4,0,-
12,neutral,2019-2019,3,154,104,51.33,1,-,-,-,-,0,0,-
14,year 2016,,1,0,0,0.00,0,-,-,-,-,0,0,-
15,year 2019,,9,348,104,38.66,1,-,-,-,-,4,0,-
17,season 2016,,1,0,0,0.00,0,-,-,-,-,0,0,-
18,season 2018/19,,4,71,29,17.75,0,-,-,-,-,2,0,-
19,season 2019,,5,277,104,55.40,1,-,-,-,-,2,0,-
21,*FDM Karunaratne,2019-2019,5,277,104,55.40,1,-,-,-,-,2,0,-
22,*SL Malinga,2019-2019,4,71,29,17.75,0,-,-,-,-,2,0,-
23,*AD Mathews,2016-2016,1,0,0,0.00,0,-,-,-,-,0,0,-
25,is not captain,2016-2019,10,348,104,34.80,1,-,-,-,-,4,0,-
27,is not keeper,2016-2019,10,348,104,34.80,1,-,-,-,-,4,0,-
29,won the toss,2016-2019,6,111,49,18.50,0,-,-,-,-,2,0,-
30,lost the toss,2019-2019,4,237,104,59.25,1,-,-,-,-,2,0,-
32,won toss & batted,2016-2019,4,78,49,19.50,0,-,-,-,-,1,0,-
33,won toss & fielded,2019-2019,2,33,23,16.50,0,-,-,-,-,1,0,-
34,lost toss & sent in,2019-2019,4,237,104,59.25,1,-,-,-,-,2,0,-
36,matches batting first,2016-2019,8,315,104,39.37,1,-,-,-,-,3,0,-
37,matches fielding first,2019-2019,2,33,23,16.50,0,-,-,-,-,1,0,-
39,1st match innings,2016-2019,10,315,104,39.37,1,-,-,-,-,1,0,-
40,2nd match innings,2016-2019,10,33,23,16.50,0,-,-,-,-,3,0,-
42,day match,2019-2019,6,300,104,50.00,1,-,-,-,-,2,0,-
43,day/night match,2016-2019,4,48,29,12.00,0,-,-,-,-,2,0,-
45,won match,2019-2019,3,227,104,75.66,1,-,-,-,-,2,0,-
46,lost match,2016-2019,7,121,30,17.28,0,-,-,-,-,2,0,-
48,won batting first,2019-2019,3,227,104,75.66,1,-,-,-,-,2,0,-
49,lost batting first,2016-2019,5,88,30,17.60,0,-,-,-,-,1,0,-
50,lost fielding first,2019-2019,2,33,23,16.50,0,-,-,-,-,1,0,-
52,2 team series,2016-2019,6,145,74,24.16,0,-,-,-,-,4,0,-
53,5+ team tournaments,2019-2019,4,203,104,50.75,1,-,-,-,-,0,0,-
55,2nd match in series,2019-2019,2,84,74,42.00,0,-,-,-,-,3,0,-
56,3rd match in series,2019-2019,1,23,23,23.00,0,-,-,-,-,0,0,-
57,4th match in series,2016-2019,2,29,29,14.50,0,-,-,-,-,0,0,-
58,5th match in series,2019-2019,1,9,9,9.00,0,-,-,-,-,1,0,-
60,World Cup,2019-2019,4,203,104,50.75,1,-,-,-,-,0,0,-
