,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2017-2019,8,109,29*,21.80,0,5,3/32,40.00,0,1,0,-18.19
2,in Ireland,2016-2016,1,3,3*,-,0,0,-,-,0,0,0,-
3,in New Zealand,2019-2019,1,36,36,36.00,0,0,-,-,0,2,0,-
4,in Scotland,2019-2019,1,7,7,7.00,0,0,-,-,0,0,0,-
5,in South Africa,2017-2019,9,149,39,16.55,0,6,3/41,36.83,0,3,0,-20.27
6,in Sri Lanka,2016-2018,13,330,84,33.00,0,7,2/35,36.28,0,8,0,-3.28
7,in U.A.E.,2018-2018,2,23,23,11.50,0,2,2/38,30.00,0,1,0,-18.49
8,in Zimbabwe,2016-2016,5,139,78*,46.33,0,0,-,-,0,4,0,-
10,in Africa,2016-2019,14,288,78*,24.00,0,6,3/41,37.50,0,7,0,-13.49
11,in Asia,2016-2018,15,353,84,29.41,0,9,2/35,34.88,0,9,0,-5.47
12,in Europe,2016-2019,10,119,29*,19.83,0,5,3/32,47.40,0,1,0,-27.56
13,in Oceania,2019-2019,1,36,36,36.00,0,0,-,-,0,2,0,-
15,home,2016-2018,13,330,84,33.00,0,7,2/35,36.28,0,8,0,-3.28
16,away,2016-2019,16,302,78*,23.23,0,9,3/32,36.55,0,7,0,-13.32
17,neutral,2016-2019,11,164,58,20.50,0,4,2/38,57.00,0,4,0,-36.49
19,year 2016,,11,273,78*,34.12,0,3,2/35,36.00,0,5,0,-1.87
20,year 2017,,6,62,28,10.33,0,1,1/42,104.00,0,3,0,-93.66
21,year 2018,,10,222,84,31.71,0,6,2/38,36.16,0,8,0,-4.45
22,year 2019,,13,239,39,23.90,0,10,3/32,38.20,0,3,0,-14.29
24,season 2016,,6,134,76,26.80,0,3,2/35,34.66,0,1,0,-7.86
25,season 2016/17,,10,200,78*,25.00,0,1,1/42,105.00,0,6,0,-79.99
26,season 2017,,1,1,1,1.00,0,0,-,-,0,1,0,-
27,season 2018,,5,147,84,29.40,0,4,2/38,34.75,0,7,0,-5.34
28,season 2018/19,,10,199,39,28.42,0,7,3/41,33.28,0,4,0,-4.85
29,season 2019,,8,115,29*,23.00,0,5,3/32,45.40,0,0,0,-22.39
31,*LD Chandimal,2016-2018,6,109,36*,36.33,0,4,2/35,28.25,0,2,0,8.08
32,*FDM Karunaratne,2019-2019,8,115,29*,23.00,0,5,3/32,45.40,0,0,0,-22.39
33,*SL Malinga,2019-2019,5,124,39,24.80,0,5,3/41,31.00,0,3,0,-6.19
34,*AD Mathews,2016-2018,11,248,84,24.80,0,5,2/38,42.20,0,8,0,-17.39
35,*WU Tharanga,2016-2017,10,200,78*,25.00,0,1,1/42,105.00,0,6,0,-79.99
37,is not captain,2016-2019,40,796,84,25.67,0,20,3/32,40.55,0,19,0,-14.87
39,is not keeper,2016-2019,40,796,84,25.67,0,20,3/32,40.55,0,19,0,-14.87
41,won the toss,2016-2019,19,528,84,40.61,0,14,3/32,33.50,0,10,0,7.11
42,lost the toss,2016-2019,21,268,58,14.88,0,6,3/41,57.00,0,9,0,-42.11
44,won toss & batted,2016-2019,9,248,76,35.42,0,8,3/32,27.75,0,3,0,7.67
45,won toss & fielded,2016-2019,10,280,84,46.66,0,6,2/40,41.16,0,7,0,5.50
46,lost toss & sent in,2016-2019,16,240,58,17.14,0,4,3/41,65.00,0,6,0,-47.85
47,lost toss & fielded,2016-2018,5,28,23,7.00,0,2,2/38,41.00,0,3,0,-33.99
49,matches batting first,2016-2019,25,488,76,23.23,0,12,3/32,40.16,0,9,0,-16.92
50,matches fielding first,2016-2019,15,308,84,30.80,0,8,2/38,41.12,0,10,0,-10.32
52,1st match innings,2016-2019,40,488,76,23.23,0,8,2/38,41.12,0,10,0,-17.88
53,2nd match innings,2016-2019,38,308,84,30.80,0,12,3/32,40.16,0,9,0,-9.36
55,day match,2016-2019,23,521,84,32.56,0,8,3/32,54.37,0,11,0,-21.81
56,day/night match,2016-2019,17,275,76,18.33,0,12,3/41,31.33,0,8,0,-12.99
58,won match,2016-2019,12,247,78*,30.87,0,6,3/32,35.00,0,7,0,-4.12
59,lost match,2016-2019,26,549,84,23.86,0,14,3/41,42.64,0,12,0,-18.77
60,no result,2016-2018,2,-,-,-,-,0,-,-,0,0,0,-
62,won batting first,2016-2019,10,169,58,24.14,0,6,3/32,35.00,0,5,0,-10.85
63,won fielding first,2016-2016,2,78,78*,78.00,0,-,-,-,-,2,0,-
64,lost batting first,2016-2019,15,319,76,22.78,0,6,3/41,45.33,0,4,0,-22.54
65,lost fielding first,2016-2019,11,230,84,25.55,0,8,2/38,40.62,0,8,0,-15.06
66,no result fielding first,2016-2018,2,-,-,-,-,0,-,-,0,0,0,-
68,2 team series,2016-2019,25,525,84,25.00,0,13,3/41,42.07,0,13,0,-17.07
69,3-4 team tournaments,2016-2016,5,139,78*,46.33,0,0,-,-,0,4,0,-
70,5+ team tournaments,2017-2019,10,132,29*,18.85,0,7,3/32,37.14,0,2,0,-18.28
72,1st match in series,2016-2019,5,72,39,24.00,0,0,-,-,0,0,0,-
73,2nd match in series,2016-2019,5,66,36*,16.50,0,4,2/55,41.50,0,2,0,-24.99
74,3rd match in series,2016-2019,5,151,84,30.20,0,1,1/21,119.00,0,5,0,-88.79
75,4th match in series,2016-2019,5,130,76,26.00,0,4,3/41,31.00,0,3,0,-4.99
76,5th match in series,2016-2019,5,106,34,26.50,0,4,2/35,25.25,0,3,0,1.25
78,World Cup,2019-2019,7,108,29*,27.00,0,5,3/32,39.40,0,0,0,-12.39
79,Asia Cup,2018-2018,2,23,23,11.50,0,2,2/38,30.00,0,1,0,-18.49
80,ICC Champions Trophy,2017-2017,1,1,1,1.00,0,0,-,-,0,1,0,-
82,tournament finals,2016-2016,1,0,0,0.00,0,-,-,-,-,2,0,-
83,preliminary matches,2016-2019,14,271,78*,30.11,0,7,3/32,37.71,0,4,0,-7.60
