,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,1,-,-,-,-,-,-,-,-,0,0,-
2,in England,2011-2019,8,226,97,32.28,0,0,-,-,0,2,0,-
3,in New Zealand,2015-2015,10,106,26,15.14,0,-,-,-,-,3,0,-
4,in Scotland,2011-2019,2,137,77,68.50,0,-,-,-,-,1,0,-
5,in Sri Lanka,2013-2013,2,4,4,2.00,0,-,-,-,-,0,0,-
6,in U.A.E.,2013-2013,2,16,16*,16.00,0,0,-,-,0,1,0,-
8,in Asia,2013-2013,4,20,16*,6.66,0,0,-,-,0,1,0,-
9,in Europe,2011-2019,10,363,97,40.33,0,0,-,-,0,3,0,-
10,in Oceania,2015-2015,11,106,26,15.14,0,-,-,-,-,3,0,-
12,home,2013-2013,2,4,4,2.00,0,-,-,-,-,0,0,-
13,away,2011-2019,12,225,77,22.50,0,-,-,-,-,4,0,-
14,neutral,2013-2019,11,260,97,37.14,0,0,-,-,0,3,0,-
16,year 2011,,2,64,60,32.00,0,-,-,-,-,0,0,-
17,year 2013,,4,20,16*,6.66,0,0,-,-,0,1,0,-
18,year 2015,,11,106,26,15.14,0,-,-,-,-,3,0,-
19,year 2019,,8,299,97,42.71,0,0,-,-,0,3,0,-
21,season 2011,,2,64,60,32.00,0,-,-,-,-,0,0,-
22,season 2013/14,,4,20,16*,6.66,0,0,-,-,0,1,0,-
23,season 2014/15,,11,106,26,15.14,0,-,-,-,-,3,0,-
24,season 2019,,8,299,97,42.71,0,0,-,-,0,3,0,-
26,*TM Dilshan,2011-2011,2,64,60,32.00,0,-,-,-,-,0,0,-
27,*FDM Karunaratne,2019-2019,8,299,97,42.71,0,0,-,-,0,3,0,-
28,*AD Mathews,2013-2015,12,88,23,11.00,0,0,-,-,0,2,0,-
29,*HDRL Thirimanne,2015-2015,3,38,26,19.00,0,-,-,-,-,2,0,-
31,is captain,2019-2019,8,299,97,42.71,0,0,-,-,0,3,0,-
32,is not captain,2011-2015,17,190,60,15.83,0,0,-,-,0,4,0,-
34,is not keeper,2011-2019,25,489,97,25.73,0,0,-,-,0,7,0,-
36,won the toss,2013-2019,14,187,97,18.70,0,0,-,-,0,4,0,-
37,lost the toss,2011-2019,11,302,77,33.55,0,0,-,-,0,3,0,-
39,won toss & batted,2013-2019,7,25,10,5.00,0,-,-,-,-,0,0,-
40,won toss & fielded,2013-2019,7,162,97,32.40,0,0,-,-,0,4,0,-
41,lost toss & sent in,2011-2019,7,251,77,41.83,0,0,-,-,0,2,0,-
42,lost toss & fielded,2011-2015,4,51,26,17.00,0,-,-,-,-,1,0,-
44,matches batting first,2011-2019,14,276,77,25.09,0,0,-,-,0,2,0,-
45,matches fielding first,2011-2019,11,213,97,26.62,0,0,-,-,0,5,0,-
47,1st match innings,2011-2019,25,276,77,25.09,0,0,-,-,0,5,0,-
48,2nd match innings,2011-2019,24,213,97,26.62,0,0,-,-,0,2,0,-
50,day match,2011-2019,17,448,97,29.86,0,0,-,-,0,6,0,-
51,day/night match,2013-2015,8,41,21,10.25,0,0,-,-,0,1,0,-
53,won match,2011-2019,11,260,77,37.14,0,0,-,-,0,2,0,-
54,lost match,2011-2019,12,229,97,20.81,0,-,-,-,-,5,0,-
55,no result,2013-2015,2,0,0,0.00,0,-,-,-,-,0,0,-
57,won batting first,2011-2019,7,200,77,40.00,0,0,-,-,0,2,0,-
58,won fielding first,2013-2015,4,60,23,30.00,0,0,-,-,0,0,0,-
59,lost batting first,2013-2019,6,76,52*,15.20,0,-,-,-,-,0,0,-
60,lost fielding first,2011-2019,6,153,97,25.50,0,-,-,-,-,5,0,-
61,no result batting first,2013-2013,1,0,0,0.00,0,-,-,-,-,0,0,-
62,no result fielding first,2015-2015,1,-,-,-,-,-,-,-,-,0,0,-
64,2 team series,2011-2019,13,170,77,17.00,0,0,-,-,0,4,0,-
65,3-4 team tournaments,2011-2011,1,60,60,60.00,0,-,-,-,-,0,0,-
66,5+ team tournaments,2015-2019,11,259,97,32.37,0,0,-,-,0,3,0,-
68,1st match in series,2013-2015,2,5,5,2.50,0,-,-,-,-,0,0,-
69,2nd match in series,2013-2019,4,118,77,39.33,0,0,-,-,0,1,0,-
70,3rd match in series,2013-2015,2,0,0,0.00,0,-,-,-,-,1,0,-
71,4th match in series,2015-2015,1,5,5,5.00,0,-,-,-,-,0,0,-
72,5th match in series,2011-2015,2,16,12,8.00,0,-,-,-,-,1,0,-
73,6th match in series,2015-2015,1,26,26,26.00,0,-,-,-,-,1,0,-
74,7th match in series,2015-2015,1,-,-,-,-,-,-,-,-,0,0,-
76,World Cup,2015-2019,11,259,97,32.37,0,0,-,-,0,3,0,-
