,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2019-2019,7,45,17,7.50,0,6,2/41,49.33,0,3,0,-41.83
2,in Scotland,2019-2019,1,15,15,15.00,0,1,1/31,31.00,0,0,0,-15.99
3,in South Africa,2019-2019,3,110,78,55.00,0,2,2/50,51.00,0,0,0,4.00
4,in Sri Lanka,2012-2012,2,-,-,-,-,0,-,-,0,0,0,-
6,in Africa,2019-2019,3,110,78,55.00,0,2,2/50,51.00,0,0,0,4.00
7,in Asia,2012-2012,2,-,-,-,-,0,-,-,0,0,0,-
8,in Europe,2019-2019,8,60,17,8.57,0,7,2/41,46.71,0,3,0,-38.14
10,home,2012-2012,2,-,-,-,-,0,-,-,0,0,0,-
11,away,2019-2019,5,131,78,32.75,0,5,2/41,34.80,0,2,0,-2.04
12,neutral,2019-2019,6,39,17,7.80,0,4,2/57,63.75,0,1,0,-55.94
14,year 2012,,2,-,-,-,-,0,-,-,0,0,0,-
15,year 2019,,11,170,78,18.88,0,9,2/41,47.66,0,3,0,-28.77
17,season 2012,,2,-,-,-,-,0,-,-,0,0,0,-
18,season 2018/19,,3,110,78,55.00,0,2,2/50,51.00,0,0,0,4.00
19,season 2019,,8,60,17,8.57,0,7,2/41,46.71,0,3,0,-38.14
21,*DPMD Jayawardene,2012-2012,2,-,-,-,-,0,-,-,0,0,0,-
22,*FDM Karunaratne,2019-2019,8,60,17,8.57,0,7,2/41,46.71,0,3,0,-38.14
23,*SL Malinga,2019-2019,3,110,78,55.00,0,2,2/50,51.00,0,0,0,4.00
25,is not captain,2012-2019,13,170,78,18.88,0,9,2/41,57.00,0,3,0,-38.11
27,is not keeper,2012-2019,13,170,78,18.88,0,9,2/41,57.00,0,3,0,-38.11
29,won the toss,2012-2019,6,47,32,15.66,0,7,2/41,39.57,0,3,0,-23.90
30,lost the toss,2012-2019,7,123,78,20.50,0,2,1/28,118.00,0,0,0,-97.49
32,won toss & batted,2012-2019,4,39,32,19.50,0,3,2/41,56.66,0,2,0,-37.16
33,won toss & fielded,2019-2019,2,8,8,8.00,0,4,2/50,26.75,0,1,0,-18.74
34,lost toss & sent in,2019-2019,6,123,78,20.50,0,2,1/28,97.00,0,0,0,-76.49
35,lost toss & fielded,2012-2012,1,-,-,-,-,0,-,-,0,0,0,-
37,matches batting first,2012-2019,10,162,78,20.25,0,5,2/41,72.80,0,2,0,-52.54
38,matches fielding first,2012-2019,3,8,8,8.00,0,4,2/50,37.25,0,1,0,-29.24
40,1st match innings,2012-2019,13,162,78,20.25,0,4,2/50,37.25,0,1,0,-16.99
41,2nd match innings,2012-2019,13,8,8,8.00,0,5,2/41,72.80,0,2,0,-64.79
43,day match,2019-2019,9,60,17,8.57,0,9,2/41,41.88,0,3,0,-33.31
44,day/night match,2012-2019,4,110,78,55.00,0,0,-,-,0,0,0,-
46,won match,2012-2019,5,34,15,8.50,0,4,2/41,52.25,0,2,0,-43.74
47,lost match,2012-2019,8,136,78,27.20,0,5,2/50,60.80,0,1,0,-33.59
49,won batting first,2019-2019,4,34,15,8.50,0,4,2/41,41.75,0,2,0,-33.24
50,won fielding first,2012-2012,1,-,-,-,-,0,-,-,0,0,0,-
51,lost batting first,2012-2019,6,128,78,32.00,0,1,1/50,197.00,0,0,0,-164.99
52,lost fielding first,2019-2019,2,8,8,8.00,0,4,2/50,26.75,0,1,0,-18.74
54,2 team series,2012-2019,6,125,78,41.66,0,3,2/50,72.33,0,0,0,-30.66
55,5+ team tournaments,2019-2019,7,45,17,7.50,0,6,2/41,49.33,0,3,0,-41.83
57,2nd match in series,2012-2019,2,15,15,15.00,0,1,1/31,73.00,0,0,0,-57.99
58,3rd match in series,2012-2019,2,0,0*,-,0,2,2/50,46.00,0,0,0,-
59,4th match in series,2019-2019,1,78,78,78.00,0,0,-,-,0,0,0,-
60,5th match in series,2019-2019,1,32,32,32.00,0,0,-,-,0,0,0,-
62,World Cup,2019-2019,7,45,17,7.50,0,6,2/41,49.33,0,3,0,-41.83
