,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2010-2013,6,53,26,13.25,0,0,-,-,0,3,0,-
2,in England,2011-2019,9,119,48,17.00,0,6,2/31,40.00,0,0,0,-22.99
3,in New Zealand,2015-2015,8,69,23,13.80,0,4,2/5,39.50,0,4,0,-25.69
4,in Scotland,2011-2019,2,47,34*,47.00,0,0,-,-,0,1,0,-
5,in Sri Lanka,2011-2014,22,240,72,24.00,0,9,3/15,53.11,0,1,0,-29.11
6,in U.A.E.,2011-2011,4,40,19,13.33,0,5,3/36,26.80,0,1,0,-13.46
7,in West Indies,2013-2013,3,26,13,8.66,0,0,-,-,0,1,0,-
8,in Zimbabwe,2010-2010,4,42,35*,42.00,0,4,2/12,29.75,0,2,0,12.25
10,in Africa,2010-2010,4,42,35*,42.00,0,4,2/12,29.75,0,2,0,12.25
11,in Americas,2013-2013,3,26,13,8.66,0,0,-,-,0,1,0,-
12,in Asia,2011-2014,26,280,72,21.53,0,14,3/15,43.71,0,2,0,-22.17
13,in Europe,2011-2019,11,166,48,20.75,0,6,2/31,41.00,0,1,0,-20.24
14,in Oceania,2010-2015,14,122,26,13.55,0,4,2/5,52.00,0,7,0,-38.44
16,home,2011-2014,22,240,72,24.00,0,9,3/15,53.11,0,1,0,-29.11
17,away,2010-2019,26,255,48,15.00,0,13,2/5,36.23,0,8,0,-21.23
18,neutral,2010-2019,10,141,35*,20.14,0,6,3/36,42.50,0,4,0,-22.35
20,year 2010,,5,47,35*,23.50,0,4,2/12,32.25,0,2,0,-8.74
21,year 2011,,14,164,48,18.22,0,10,3/36,37.10,0,2,0,-18.87
22,year 2012,,8,153,72,38.25,0,8,3/15,24.25,0,0,0,14.00
23,year 2013,,12,104,26,13.00,0,1,1/28,87.00,0,4,0,-73.99
24,year 2014,,7,67,30*,33.50,0,1,1/34,195.00,0,1,0,-161.49
25,year 2015,,8,69,23,13.80,0,4,2/5,39.50,0,4,0,-25.69
26,year 2019,,4,32,18,8.00,0,0,-,-,0,0,0,-
28,season 2010,,4,42,35*,42.00,0,4,2/12,29.75,0,2,0,12.25
29,season 2010/11,,1,5,5,5.00,0,0,-,-,0,0,0,-
30,season 2011,,10,124,48,20.66,0,5,2/31,47.40,0,1,0,-26.73
31,season 2011/12,,4,40,19,13.33,0,5,3/36,26.80,0,1,0,-13.46
32,season 2012,,4,153,72,51.00,0,3,2/30,37.00,0,0,0,14.00
33,season 2012/13,,12,53,26,10.60,0,5,3/15,24.60,0,3,0,-13.99
34,season 2013,,4,51,25,12.75,0,1,1/28,47.00,0,1,0,-34.24
35,season 2014/15,,15,136,30*,19.42,0,5,2/5,70.60,0,5,0,-51.17
36,season 2019,,4,32,18,8.00,0,0,-,-,0,0,0,-
38,*TM Dilshan,2010-2011,18,206,48,20.60,0,14,3/36,35.00,0,4,0,-14.39
39,*DPMD Jayawardene,2012-2013,12,129,45*,21.50,0,8,3/15,26.12,0,3,0,-4.62
40,*FDM Karunaratne,2019-2019,4,32,18,8.00,0,0,-,-,0,0,0,-
41,*AD Mathews,2012-2015,21,243,72,22.09,0,6,2/5,62.83,0,6,0,-40.74
42,*KC Sangakkara,2010-2010,1,5,5,5.00,0,0,-,-,0,0,0,-
43,*HDRL Thirimanne,2015-2015,2,21,18,10.50,0,0,-,-,0,0,0,-
45,is not captain,2010-2019,58,636,72,18.70,0,28,3/15,43.00,0,13,0,-24.29
47,is not keeper,2010-2019,58,636,72,18.70,0,28,3/15,43.00,0,13,0,-24.29
49,won the toss,2010-2019,29,279,45*,18.60,0,17,3/15,32.35,0,6,0,-13.75
50,lost the toss,2010-2019,29,357,72,18.78,0,11,2/30,59.45,0,7,0,-40.66
52,won toss & batted,2010-2019,14,158,45*,15.80,0,5,3/36,64.20,0,0,0,-48.39
53,won toss & fielded,2010-2015,15,121,35*,24.20,0,12,3/15,19.08,0,6,0,5.11
54,lost toss & sent in,2010-2019,15,172,34*,15.63,0,4,2/31,67.25,0,3,0,-51.61
55,lost toss & fielded,2011-2015,14,185,72,23.12,0,7,2/30,55.00,0,4,0,-31.87
57,matches batting first,2010-2019,29,330,45*,15.71,0,9,3/36,65.55,0,3,0,-49.84
58,matches fielding first,2010-2015,29,306,72,23.53,0,19,3/15,32.31,0,10,0,-8.77
60,1st match innings,2010-2019,58,330,45*,15.71,0,19,3/15,32.31,0,10,0,-16.60
61,2nd match innings,2010-2019,55,306,72,23.53,0,9,3/36,65.55,0,3,0,-42.01
63,day match,2010-2019,25,295,48,19.66,0,12,2/5,45.00,0,7,0,-25.33
64,day/night match,2010-2015,33,341,72,17.94,0,16,3/15,41.50,0,6,0,-23.55
66,won match,2010-2019,26,195,35*,32.50,0,17,3/15,34.88,0,10,0,-2.38
67,lost match,2010-2019,28,441,72,16.33,0,11,3/36,55.54,0,3,0,-39.21
68,no result,2012-2015,4,0,0,0.00,0,-,-,-,-,0,0,-
70,won batting first,2011-2019,10,123,34*,30.75,0,3,2/31,66.66,0,3,0,-35.91
71,won fielding first,2010-2015,16,72,35*,36.00,0,14,3/15,28.07,0,7,0,7.92
72,lost batting first,2010-2019,17,207,45*,12.93,0,6,3/36,65.00,0,0,0,-52.06
73,lost fielding first,2011-2015,11,234,72,21.27,0,5,2/5,44.20,0,3,0,-22.92
74,no result batting first,2012-2013,2,0,0,0.00,0,-,-,-,-,-,-,-
75,no result fielding first,2013-2015,2,-,-,-,-,-,-,-,-,0,0,-
77,2 team series,2010-2019,44,477,72,19.08,0,21,3/15,44.95,0,6,0,-25.87
78,3-4 team tournaments,2010-2013,8,102,35*,25.50,0,4,2/12,36.00,0,4,0,-10.49
79,5+ team tournaments,2013-2019,6,57,25,11.40,0,3,2/5,38.66,0,3,0,-27.26
81,1st match in series,2011-2015,6,84,30*,21.00,0,2,1/18,63.50,0,2,0,-42.49
82,2nd match in series,2011-2019,9,42,17*,21.00,0,3,2/31,65.33,0,2,0,-44.33
83,3rd match in series,2010-2015,10,89,45*,14.83,0,4,2/34,33.00,0,1,0,-18.16
84,4th match in series,2011-2015,7,42,17,10.50,0,7,3/15,27.28,0,1,0,-16.78
85,5th match in series,2011-2015,9,204,72,25.50,0,5,3/36,44.20,0,0,0,-18.69
86,6th match in series,2014-2015,2,15,12*,15.00,0,0,-,-,0,0,0,-
87,7th match in series,2014-2014,1,1,1*,-,0,0,-,-,0,0,0,-
89,World Cup,2015-2019,5,32,18,8.00,0,2,2/5,44.00,0,3,0,-35.99
90,ICC Champions Trophy,2013-2013,1,25,25,25.00,0,1,1/28,28.00,0,0,0,-2.99
92,tournament finals,2010-2010,1,-,-,-,-,2,2/36,18.00,0,0,0,-
93,tournament semi-finals,2013-2013,1,25,25,25.00,0,1,1/28,28.00,0,0,0,-2.99
94,preliminary matches,2010-2019,12,134,35*,16.75,0,4,2/5,49.00,0,7,0,-32.24
