,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2019-2019,1,-,-,-,-,1,1/50,50.00,0,1,0,-
2,in New Zealand,2015-2016,3,7,7*,-,0,2,2/55,52.00,0,0,0,-
3,in South Africa,2017-2017,2,15,8,7.50,0,1,1/61,112.00,0,0,0,-104.49
4,in U.A.E.,2017-2017,4,49,25,12.25,0,4,1/30,41.00,0,0,0,-28.74
5,in Zimbabwe,2016-2016,2,-,-,-,-,3,3/50,16.66,0,1,0,-
7,in Africa,2016-2017,4,15,8,7.50,0,4,3/50,40.50,0,1,0,-32.99
8,in Asia,2017-2017,4,49,25,12.25,0,4,1/30,41.00,0,0,0,-28.74
9,in Europe,2019-2019,1,-,-,-,-,1,1/50,50.00,0,1,0,-
10,in Oceania,2015-2016,3,7,7*,-,0,2,2/55,52.00,0,0,0,-
12,away,2015-2017,7,22,8,11.00,0,6,3/50,44.33,0,1,0,-33.33
13,neutral,2017-2019,5,49,25,12.25,0,5,1/30,42.80,0,1,0,-30.54
15,year 2015,,2,7,7*,-,0,2,2/55,44.50,0,0,0,-
16,year 2016,,3,-,-,-,-,3,3/50,21.66,0,1,0,-
17,year 2017,,6,64,25,10.66,0,5,1/30,55.20,0,0,0,-44.53
18,year 2019,,1,-,-,-,-,1,1/50,50.00,0,1,0,-
20,season 2015/16,,3,7,7*,-,0,2,2/55,52.00,0,0,0,-
21,season 2016/17,,4,15,8,7.50,0,4,3/50,40.50,0,1,0,-32.99
22,season 2017/18,,4,49,25,12.25,0,4,1/30,41.00,0,0,0,-28.74
23,season 2019,,1,-,-,-,-,1,1/50,50.00,0,1,0,-
25,*FDM Karunaratne,2019-2019,1,-,-,-,-,1,1/50,50.00,0,1,0,-
26,*AD Mathews,2015-2016,3,7,7*,-,0,2,2/55,52.00,0,0,0,-
27,*WU Tharanga,2016-2017,8,64,25,10.66,0,8,3/50,40.75,0,1,0,-30.08
29,is not captain,2015-2019,12,71,25,11.83,0,11,3/50,43.63,0,2,0,-31.80
31,is not keeper,2015-2019,12,71,25,11.83,0,11,3/50,43.63,0,2,0,-31.80
33,won the toss,2015-2017,6,41,25,10.25,0,4,1/30,57.50,0,0,0,-47.24
34,lost the toss,2015-2019,6,30,22,15.00,0,7,3/50,35.71,0,2,0,-20.71
36,won toss & batted,2015-2017,3,9,7*,4.50,0,2,1/30,53.50,0,0,0,-48.99
37,won toss & fielded,2016-2017,3,32,25,16.00,0,2,1/47,61.50,0,0,0,-45.49
38,lost toss & sent in,2017-2019,2,8,8,8.00,0,1,1/50,101.00,0,1,0,-92.99
39,lost toss & fielded,2015-2017,4,22,22,22.00,0,6,3/50,24.83,0,1,0,-2.83
41,matches batting first,2015-2019,5,17,8,5.66,0,3,1/30,69.33,0,1,0,-63.66
42,matches fielding first,2015-2017,7,54,25,18.00,0,8,3/50,34.00,0,1,0,-15.99
44,1st match innings,2015-2019,12,17,8,5.66,0,8,3/50,34.00,0,1,0,-28.33
45,2nd match innings,2015-2019,10,54,25,18.00,0,3,1/30,69.33,0,1,0,-51.33
47,day match,2015-2019,7,15,8,15.00,0,6,3/50,42.50,0,2,0,-27.49
48,day/night match,2017-2017,5,56,25,11.20,0,5,1/30,45.00,0,0,0,-33.79
50,won match,2015-2019,3,-,-,-,-,6,3/50,25.83,0,2,0,-
51,lost match,2015-2017,7,71,25,11.83,0,5,1/30,62.00,0,0,0,-50.16
52,no result,2016-2016,2,-,-,-,-,0,-,-,0,0,0,-
54,won batting first,2019-2019,1,-,-,-,-,1,1/50,50.00,0,1,0,-
55,won fielding first,2015-2016,2,-,-,-,-,5,3/50,21.00,0,1,0,-
56,lost batting first,2015-2017,4,17,8,5.66,0,2,1/30,79.00,0,0,0,-73.33
57,lost fielding first,2017-2017,3,54,25,18.00,0,3,1/44,50.66,0,0,0,-32.66
58,no result fielding first,2016-2016,2,-,-,-,-,0,-,-,0,0,0,-
60,2 team series,2015-2017,9,71,25,11.83,0,7,2/55,54.28,0,0,0,-42.45
61,3-4 team tournaments,2016-2016,2,-,-,-,-,3,3/50,16.66,0,1,0,-
62,5+ team tournaments,2019-2019,1,-,-,-,-,1,1/50,50.00,0,1,0,-
64,1st match in series,2017-2017,2,33,25,16.50,0,1,1/47,98.00,0,0,0,-81.49
65,2nd match in series,2015-2017,2,29,22,29.00,0,1,1/44,78.00,0,0,0,-48.99
66,3rd match in series,2015-2017,2,0,0,0.00,0,3,2/55,32.66,0,0,0,-32.66
67,4th match in series,2016-2016,1,-,-,-,-,0,-,-,0,0,0,-
68,5th match in series,2017-2017,2,9,7,4.50,0,2,1/30,45.50,0,0,0,-40.99
70,World Cup,2019-2019,1,-,-,-,-,1,1/50,50.00,0,1,0,-
72,tournament finals,2016-2016,1,-,-,-,-,3,3/50,16.66,0,1,0,-
73,preliminary matches,2016-2019,2,-,-,-,-,1,1/50,50.00,0,1,0,-
