,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2,-,-,-,-,2,1/47,61.50,0,0,0,-
2,in South Africa,3,0,0*,0.00,0,3,1/32,49.00,0,1,0,-48.99
3,in Sri Lanka,3,-,-,-,-,2,1/21,46.00,0,0,0,-
5,in Africa,3,0,0*,0.00,0,3,1/32,49.00,0,1,0,-48.99
6,in Asia,3,-,-,-,-,2,1/21,46.00,0,0,0,-
7,in Europe,2,-,-,-,-,2,1/47,61.50,0,0,0,-
9,home,3,-,-,-,-,2,1/21,46.00,0,0,0,-
10,away,3,0,0*,0.00,0,3,1/32,49.00,0,1,0,-48.99
11,neutral,2,-,-,-,-,2,1/47,61.50,0,0,0,-
13,year 2018,3,-,-,-,-,2,1/21,46.00,0,0,0,-
14,year 2019,5,0,0*,0.00,0,5,1/32,54.00,0,1,0,-53.99
16,season 2018,1,-,-,-,-,1,1/44,44.00,0,0,0,-
17,season 2018/19,5,0,0*,0.00,0,4,1/21,48.75,0,1,0,-48.74
18,season 2019,2,-,-,-,-,2,1/47,61.50,0,0,0,-
20,*LD Chandimal,2,-,-,-,-,1,1/21,48.00,0,0,0,-
21,*FDM Karunaratne,2,-,-,-,-,2,1/47,61.50,0,0,0,-
22,*SL Malinga,3,0,0*,0.00,0,3,1/32,49.00,0,1,0,-48.99
23,*AD Mathews,1,-,-,-,-,1,1/44,44.00,0,0,0,-
25,is not captain,8,0,0*,0.00,0,7,1/21,51.71,0,1,0,-51.71
27,is not keeper,8,0,0*,0.00,0,7,1/21,51.71,0,1,0,-51.71
29,won the toss,5,0,0,0.00,0,5,1/21,45.40,0,1,0,-45.39
30,lost the toss,3,0,0*,-,0,2,1/32,67.50,0,0,0,-
32,won toss & batted,3,-,-,-,-,3,1/21,37.33,0,0,0,-
33,won toss & fielded,2,0,0,0.00,0,2,1/46,57.50,0,1,0,-57.49
34,lost toss & sent in,3,0,0*,-,0,2,1/32,67.50,0,0,0,-
36,matches batting first,6,0,0*,-,0,5,1/21,49.40,0,0,0,-
37,matches fielding first,2,0,0,0.00,0,2,1/46,57.50,0,1,0,-57.49
39,1st match innings,8,0,0*,-,0,2,1/46,57.50,0,1,0,-
40,2nd match innings,8,0,0,0.00,0,5,1/21,49.40,0,0,0,-49.39
42,day match,4,-,-,-,-,3,1/47,73.00,0,0,0,-
43,day/night match,4,0,0*,0.00,0,4,1/21,35.75,0,1,0,-35.74
45,won match,2,-,-,-,-,2,1/21,48.50,0,0,0,-
46,lost match,6,0,0*,0.00,0,5,1/32,53.00,0,1,0,-52.99
48,won batting first,2,-,-,-,-,2,1/21,48.50,0,0,0,-
49,lost batting first,4,0,0*,-,0,3,1/32,50.00,0,0,0,-
50,lost fielding first,2,0,0,0.00,0,2,1/46,57.50,0,1,0,-57.49
52,2 team series,6,0,0*,0.00,0,5,1/21,47.80,0,1,0,-47.79
53,5+ team tournaments,2,-,-,-,-,2,1/47,61.50,0,0,0,-
55,2nd match in series,2,0,0,0.00,0,2,1/44,45.00,0,1,0,-44.99
56,3rd match in series,1,-,-,-,-,1,1/69,69.00,0,0,0,-
57,4th match in series,2,0,0*,-,0,1,1/32,59.00,0,0,0,-
58,5th match in series,1,-,-,-,-,1,1/21,21.00,0,0,0,-
60,World Cup,2,-,-,-,-,2,1/47,61.50,0,0,0,-
