,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2018-2018,5,83,36,20.75,0,-,-,-,-,4,0,-
2,in England,2016-2019,15,439,89,29.26,0,0,-,-,0,5,0,-
3,in Ireland,2016-2016,2,59,51,29.50,0,-,-,-,-,2,0,-
4,in New Zealand,2019-2019,3,38,20,12.66,0,-,-,-,-,1,0,-
5,in Scotland,2019-2019,1,66,66,66.00,0,-,-,-,-,1,0,-
6,in South Africa,2017-2019,10,318,62,31.80,0,0,-,-,0,5,0,-
7,in Sri Lanka,2016-2018,25,653,102,27.20,1,-,-,-,-,6,0,-
8,in U.A.E.,2017-2018,4,12,10,3.00,0,-,-,-,-,5,0,-
9,in Zimbabwe,2016-2016,5,167,94,55.66,0,-,-,-,-,3,0,-
11,in Africa,2016-2019,15,485,94,37.30,0,0,-,-,0,8,0,-
12,in Asia,2016-2018,34,748,102,23.37,1,-,-,-,-,15,0,-
13,in Europe,2016-2019,18,564,89,31.33,0,0,-,-,0,8,0,-
14,in Oceania,2019-2019,3,38,20,12.66,0,-,-,-,-,1,0,-
16,home,2016-2018,25,653,102,27.20,1,-,-,-,-,6,0,-
17,away,2016-2019,28,812,77,32.48,0,0,-,-,0,17,0,-
18,neutral,2016-2019,17,370,94,21.76,0,-,-,-,-,9,0,-
20,year 2016,,17,569,94,37.93,0,0,-,-,0,7,0,-
21,year 2017,,22,587,102,27.95,1,0,-,-,0,12,0,-
22,year 2018,,15,230,56,16.42,0,-,-,-,-,9,0,-
23,year 2019,,16,449,66,28.06,0,-,-,-,-,4,0,-
25,season 2016,,12,402,77,33.50,0,0,-,-,0,4,0,-
26,season 2016/17,,13,443,102,40.27,1,0,-,-,0,7,0,-
27,season 2017,,12,299,89,27.18,0,-,-,-,-,5,0,-
28,season 2017/18,,7,95,36,15.83,0,-,-,-,-,7,0,-
29,season 2018,,7,86,38,12.28,0,-,-,-,-,4,0,-
30,season 2018/19,,11,301,60,27.36,0,-,-,-,-,3,0,-
31,season 2019,,8,209,66,26.12,0,-,-,-,-,2,0,-
33,*LD Chandimal,2016-2018,8,177,56,25.28,0,-,-,-,-,4,0,-
34,*CK Kapugedera,2017-2017,1,1,1,1.00,0,-,-,-,-,0,0,-
35,*FDM Karunaratne,2019-2019,8,209,66,26.12,0,-,-,-,-,2,0,-
36,*SL Malinga,2017-2019,9,241,60,26.77,0,-,-,-,-,2,0,-
37,*AD Mathews,2016-2018,26,686,89,27.44,0,0,-,-,0,14,0,-
38,*WU Tharanga,2016-2017,18,521,102,32.56,1,0,-,-,0,10,0,-
40,is not captain,2016-2019,70,1835,102,27.80,1,0,-,-,0,32,0,-
42,is designated keeper,2019-2019,3,143,66,47.66,0,-,-,-,-,2,0,-
43,is not keeper,2016-2019,67,1692,102,26.85,1,0,-,-,0,30,0,-
45,won the toss,2016-2019,34,845,102,26.40,1,0,-,-,0,17,0,-
46,lost the toss,2016-2019,36,990,94,29.11,0,0,-,-,0,15,0,-
48,won toss & batted,2016-2019,17,526,102,30.94,1,-,-,-,-,6,0,-
49,won toss & fielded,2016-2019,17,319,89,21.26,0,0,-,-,0,11,0,-
50,lost toss & sent in,2016-2019,24,800,94,33.33,0,0,-,-,0,7,0,-
51,lost toss & fielded,2016-2019,12,190,57,19.00,0,-,-,-,-,8,0,-
53,matches batting first,2016-2019,41,1326,102,32.34,1,0,-,-,0,13,0,-
54,matches fielding first,2016-2019,29,509,89,20.36,0,0,-,-,0,19,0,-
56,1st match innings,2016-2019,70,1326,102,32.34,1,0,-,-,0,19,0,-
57,2nd match innings,2016-2019,68,509,89,20.36,0,0,-,-,0,13,0,-
59,day match,2016-2019,35,1008,94,31.50,0,0,-,-,0,16,0,-
60,day/night match,2016-2019,35,827,102,24.32,1,-,-,-,-,16,0,-
62,won match,2016-2019,20,787,94,46.29,0,-,-,-,-,13,0,-
63,lost match,2016-2019,46,876,86,19.04,0,0,-,-,0,18,0,-
64,tied match,2016-2016,1,17,17,17.00,0,-,-,-,-,1,0,-
65,no result,2016-2017,3,155,102,77.50,1,-,-,-,-,0,0,-
67,won batting first,2016-2019,13,565,94,43.46,0,-,-,-,-,6,0,-
68,won fielding first,2016-2018,7,222,89,55.50,0,-,-,-,-,7,0,-
69,lost batting first,2016-2019,25,589,86,23.56,0,0,-,-,0,6,0,-
70,lost fielding first,2016-2019,21,287,41,13.66,0,0,-,-,0,12,0,-
71,tied batting first,2016-2016,1,17,17,17.00,0,-,-,-,-,1,0,-
72,no result batting first,2016-2017,2,155,102,77.50,1,-,-,-,-,0,0,-
73,no result fielding first,2016-2016,1,-,-,-,-,-,-,-,-,0,0,-
75,2 team series,2016-2019,48,1315,102,27.97,1,0,-,-,0,20,0,-
76,3-4 team tournaments,2016-2018,10,250,94,35.71,0,-,-,-,-,7,0,-
77,5+ team tournaments,2017-2019,12,270,89,22.50,0,-,-,-,-,5,0,-
79,1st match in series,2016-2019,11,406,86,36.90,0,0,-,-,0,2,0,-
80,2nd match in series,2016-2019,12,338,102,28.16,1,-,-,-,-,9,0,-
81,3rd match in series,2016-2019,10,216,54,24.00,0,-,-,-,-,2,0,-
82,4th match in series,2016-2019,8,148,77,18.50,0,-,-,-,-,1,0,-
83,5th match in series,2016-2019,7,207,56,29.57,0,0,-,-,0,6,0,-
85,World Cup,2019-2019,7,143,46,20.42,0,-,-,-,-,1,0,-
86,Asia Cup,2018-2018,2,0,0,0.00,0,-,-,-,-,2,0,-
87,ICC Champions Trophy,2017-2017,3,127,89,42.33,0,-,-,-,-,2,0,-
89,tournament finals,2016-2018,2,85,57,42.50,0,-,-,-,-,2,0,-
90,preliminary matches,2016-2019,20,435,94,25.58,0,-,-,-,-,10,0,-
