,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2013-2015,6,77,24,25.66,0,-,-,-,-,6,0,-
2,in Bangladesh,2014-2018,11,417,106,37.90,1,-,-,-,-,2,0,-
3,in England,2013-2019,20,493,78,27.38,0,-,-,-,-,12,0,-
4,in India,2014-2014,3,4,4,1.33,0,-,-,-,-,0,0,-
5,in Ireland,2014-2016,3,167,135,55.66,1,-,-,-,-,2,0,-
6,in New Zealand,2019-2019,3,149,102,49.66,1,-,-,-,-,1,0,-
7,in South Africa,2019-2019,3,41,33,20.50,0,-,-,-,-,0,0,-
8,in Sri Lanka,2013-2018,32,990,116,33.00,1,-,-,-,-,14,2,-
9,in U.A.E.,2013-2018,7,170,64,24.28,0,-,-,-,-,2,0,-
10,in West Indies,2013-2013,2,2,2,2.00,0,-,-,-,-,0,0,-
11,in Zimbabwe,2016-2016,5,46,21,11.50,0,-,-,-,-,1,0,-
13,in Africa,2016-2019,8,87,33,14.50,0,-,-,-,-,1,0,-
14,in Americas,2013-2013,2,2,2,2.00,0,-,-,-,-,0,0,-
15,in Asia,2013-2018,53,1581,116,31.00,2,-,-,-,-,18,2,-
16,in Europe,2013-2019,23,660,135,31.42,1,-,-,-,-,14,0,-
17,in Oceania,2013-2019,9,226,102,37.66,1,-,-,-,-,7,0,-
19,home,2013-2018,32,990,116,33.00,1,-,-,-,-,14,2,-
20,away,2013-2019,33,704,135,25.14,3,-,-,-,-,16,0,-
21,neutral,2013-2019,30,862,80,31.92,0,-,-,-,-,10,0,-
23,year 2013,,19,333,64,23.78,0,-,-,-,-,8,0,-
24,year 2014,,22,506,106,23.00,1,-,-,-,-,6,0,-
25,year 2015,,10,420,116,42.00,1,-,-,-,-,6,0,-
26,year 2016,,17,376,135,23.50,1,-,-,-,-,6,2,-
27,year 2017,,2,91,47*,-,0,-,-,-,-,1,0,-
28,year 2018,,12,367,81,33.36,0,-,-,-,-,4,0,-
29,year 2019,,13,463,102,38.58,1,-,-,-,-,9,0,-
31,season 2012/13,,7,166,56,55.33,0,-,-,-,-,7,0,-
32,season 2013,,7,25,9,4.16,0,-,-,-,-,1,0,-
33,season 2013/14,,13,429,106,33.00,1,-,-,-,-,2,0,-
34,season 2014,,6,116,37,19.33,0,-,-,-,-,1,0,-
35,season 2014/15,,10,130,59,13.00,0,-,-,-,-,3,0,-
36,season 2015,,5,230,116,46.00,1,-,-,-,-,2,0,-
37,season 2015/16,,3,163,99,54.33,0,-,-,-,-,4,0,-
38,season 2016,,12,330,135,27.50,1,-,-,-,-,5,2,-
39,season 2016/17,,5,46,21,11.50,0,-,-,-,-,1,0,-
40,season 2017,,2,91,47*,-,0,-,-,-,-,1,0,-
41,season 2017/18,,3,130,80,43.33,0,-,-,-,-,0,0,-
42,season 2018,,7,207,81,29.57,0,-,-,-,-,4,0,-
43,season 2018/19,,8,220,102,36.66,1,-,-,-,-,1,0,-
44,season 2019,,7,273,78,39.00,0,-,-,-,-,8,0,-
46,*LD Chandimal,2016-2018,5,94,49,23.50,0,-,-,-,-,1,0,-
47,*DPMD Jayawardene,2013-2013,4,50,22*,50.00,0,-,-,-,-,6,0,-
48,*FDM Karunaratne,2019-2019,7,273,78,39.00,0,-,-,-,-,8,0,-
49,*SL Malinga,2019-2019,6,190,102,38.00,1,-,-,-,-,1,0,-
50,*AD Mathews,2013-2018,67,1859,135,29.04,3,-,-,-,-,23,2,-
51,*WU Tharanga,2016-2017,6,90,44*,22.50,0,-,-,-,-,1,0,-
53,is not captain,2013-2019,95,2556,135,30.07,4,-,-,-,-,40,2,-
55,is designated keeper,2013-2019,16,525,99,37.50,0,-,-,-,-,21,1,-
56,is not keeper,2013-2019,79,2031,135,28.60,4,-,-,-,-,19,1,-
58,won the toss,2013-2019,48,1220,116,28.37,2,-,-,-,-,22,1,-
59,lost the toss,2013-2019,47,1336,135,31.80,2,-,-,-,-,18,1,-
61,won toss & batted,2013-2019,25,525,116,21.00,1,-,-,-,-,8,1,-
62,won toss & fielded,2013-2019,23,695,106,38.61,1,-,-,-,-,14,0,-
63,lost toss & sent in,2013-2019,24,646,135,29.36,1,-,-,-,-,8,1,-
64,lost toss & fielded,2013-2019,23,690,102,34.50,1,-,-,-,-,10,0,-
66,matches batting first,2013-2019,49,1171,135,24.91,2,-,-,-,-,16,2,-
67,matches fielding first,2013-2019,46,1385,106,36.44,2,-,-,-,-,24,0,-
69,1st match innings,2013-2019,95,1171,135,24.91,2,-,-,-,-,24,0,-
70,2nd match innings,2013-2019,92,1385,106,36.44,2,-,-,-,-,16,2,-
72,day match,2013-2019,37,996,135,31.12,1,-,-,-,-,18,0,-
73,day/night match,2013-2019,58,1560,116,29.43,3,-,-,-,-,22,2,-
75,won match,2013-2019,43,1524,135,39.07,3,-,-,-,-,27,0,-
76,lost match,2013-2019,46,981,102,22.29,1,-,-,-,-,12,2,-
77,tied match,2016-2016,1,24,24,24.00,0,-,-,-,-,1,0,-
78,no result,2013-2018,5,27,18*,27.00,0,-,-,-,-,0,0,-
80,won batting first,2013-2019,22,744,135,35.42,2,-,-,-,-,10,0,-
81,won fielding first,2013-2018,21,780,106,43.33,1,-,-,-,-,17,0,-
82,lost batting first,2013-2019,24,376,81,15.66,0,-,-,-,-,5,2,-
83,lost fielding first,2013-2019,22,605,102,30.25,1,-,-,-,-,7,0,-
84,tied batting first,2016-2016,1,24,24,24.00,0,-,-,-,-,1,0,-
85,no result batting first,2013-2016,2,27,18*,27.00,0,-,-,-,-,0,0,-
