,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2012-2015,19,399,102*,28.50,1,1,1/25,25.00,0,11,0,3.50
2,in Bangladesh,2010-2014,11,403,102,40.30,2,-,-,-,-,7,0,-
3,in England,2013-2019,14,309,60*,28.09,0,-,-,-,-,1,0,-
4,in India,2014-2017,4,132,59,33.00,0,-,-,-,-,2,0,-
5,in Ireland,2014-2014,1,8,8,8.00,0,-,-,-,-,0,0,-
6,in New Zealand,2015-2016,15,443,139*,44.30,1,2,2/36,26.50,0,4,0,17.80
7,in Scotland,2019-2019,1,44,44*,-,0,-,-,-,-,1,0,-
8,in South Africa,2012-2012,2,82,69,41.00,0,-,-,-,-,0,0,-
9,in Sri Lanka,2012-2017,44,1039,90,39.96,0,-,-,-,-,11,0,-
10,in U.A.E.,2013-2017,6,184,62,30.66,0,-,-,-,-,0,0,-
11,in West Indies,2013-2013,5,75,46,18.75,0,0,-,-,0,1,0,-
12,in Zimbabwe,2010-2010,1,15,15,15.00,0,-,-,-,-,0,0,-
14,in Africa,2010-2012,3,97,69,32.33,0,-,-,-,-,0,0,-
15,in Americas,2013-2013,5,75,46,18.75,0,0,-,-,0,1,0,-
16,in Asia,2010-2017,65,1758,102,38.21,2,-,-,-,-,20,0,-
17,in Europe,2013-2019,16,361,60*,30.08,0,-,-,-,-,2,0,-
18,in Oceania,2012-2016,34,842,139*,35.08,2,3,2/36,26.00,0,15,0,9.08
20,home,2012-2017,44,1039,90,39.96,0,-,-,-,-,11,0,-
21,away,2010-2019,47,1039,102*,29.68,1,3,2/36,31.33,0,19,0,-1.64
22,neutral,2010-2019,32,1055,139*,37.67,3,-,-,-,-,8,0,-
24,year 2010,,3,37,22,18.50,0,-,-,-,-,1,0,-
25,year 2012,,28,571,77,30.05,0,1,1/25,25.00,0,11,0,5.05
26,year 2013,,25,417,102*,26.06,1,0,-,-,0,8,0,-
27,year 2014,,24,698,102,41.05,2,-,-,-,-,7,0,-
28,year 2015,,25,861,139*,43.05,1,2,2/36,26.50,0,7,0,16.55
29,year 2016,,2,2,2,2.00,0,-,-,-,-,0,0,-
30,year 2017,,10,360,80,36.00,0,-,-,-,-,3,0,-
31,year 2019,,6,187,53,46.75,0,-,-,-,-,1,0,-
33,season 2009/10,,2,22,22,22.00,0,-,-,-,-,1,0,-
34,season 2010,,1,15,15,15.00,0,-,-,-,-,0,0,-
35,season 2011/12,,15,357,69,29.75,0,1,1/25,25.00,0,7,0,4.75
36,season 2012,,9,197,77,39.40,0,-,-,-,-,4,0,-
37,season 2012/13,,12,152,102*,30.40,1,-,-,-,-,4,0,-
38,season 2013,,13,247,68,24.70,0,0,-,-,0,3,0,-
39,season 2013/14,,10,332,102,36.88,2,-,-,-,-,5,0,-
40,season 2014,,9,174,60*,21.75,0,-,-,-,-,1,0,-
41,season 2014/15,,23,677,139*,48.35,1,2,2/36,26.50,0,8,0,21.85
42,season 2015,,5,203,90,40.60,0,-,-,-,-,1,0,-
43,season 2015/16,,8,210,87*,42.00,0,-,-,-,-,0,0,-
44,season 2017,,3,165,80,55.00,0,-,-,-,-,1,0,-
45,season 2017/18,,7,195,62,27.85,0,-,-,-,-,2,0,-
46,season 2019,,6,187,53,46.75,0,-,-,-,-,1,0,-
48,*LD Chandimal,2013-2013,2,30,17,15.00,0,-,-,-,-,1,0,-
49,*TM Dilshan,2010-2012,3,97,69,32.33,0,-,-,-,-,0,0,-
50,*DPMD Jayawardene,2012-2013,30,522,102*,27.47,1,1,1/25,25.00,0,14,0,2.47
51,*CK Kapugedera,2017-2017,1,80,80,80.00,0,-,-,-,-,1,0,-
52,*FDM Karunaratne,2019-2019,6,187,53,46.75,0,-,-,-,-,1,0,-
53,*SL Malinga,2017-2017,1,18,18,18.00,0,-,-,-,-,0,0,-
54,*AD Mathews,2012-2016,67,1811,139*,38.53,3,0,-,-,0,18,0,-
55,*NLTC Perera,2017-2017,2,21,21,10.50,0,-,-,-,-,2,0,-
56,*KC Sangakkara,2010-2010,2,22,22,22.00,0,-,-,-,-,1,0,-
57,*WU Tharanga,2017-2017,6,241,67,40.16,0,-,-,-,-,0,0,-
58,*HDRL Thirimanne,2015-2015,3,104,45,34.66,0,2,2/36,26.50,0,0,0,8.16
