,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2008-2015,31,95,56,6.78,0,50,4/47,29.16,0,6,0,-22.37
2,in Bangladesh,2012-2014,8,11,10,3.66,0,14,5/52,24.57,2,0,0,-20.90
3,in England,2006-2019,29,81,26,6.23,0,49,4/34,28.81,0,3,0,-22.58
4,in India,2006-2011,13,33,13,8.25,0,16,4/53,34.37,0,1,0,-26.12
5,in Netherlands,2006-2006,1,3,3,3.00,0,0,-,-,0,1,0,-
6,in New Zealand,2005-2019,11,29,17,7.25,0,17,3/14,34.17,0,1,0,-26.92
7,in Scotland,2011-2011,1,32,32*,-,0,5,5/30,6.00,1,0,0,-
8,in South Africa,2009-2019,13,34,15,4.85,0,19,5/54,32.78,1,2,0,-27.93
9,in Sri Lanka,2004-2018,91,158,19*,7.52,0,124,6/38,28.62,4,11,0,-21.10
10,in U.A.E.,2007-2018,14,58,19,5.27,0,18,4/23,36.72,0,1,0,-31.44
11,in West Indies,2007-2013,13,27,10,5.40,0,23,4/54,20.21,0,5,0,-14.81
13,in Africa,2009-2019,13,34,15,4.85,0,19,5/54,32.78,1,2,0,-27.93
14,in Americas,2007-2013,13,27,10,5.40,0,23,4/54,20.21,0,5,0,-14.81
15,in Asia,2004-2018,126,260,19*,6.66,0,172,6/38,29.68,6,13,0,-23.01
16,in Europe,2006-2019,31,116,32*,8.28,0,54,5/30,27.59,1,4,0,-19.30
17,in Oceania,2005-2019,42,124,56,6.88,0,67,4/47,30.43,0,7,0,-23.54
19,home,2004-2018,91,158,19*,7.52,0,124,6/38,28.62,4,11,0,-21.10
20,away,2005-2019,71,242,56,7.80,0,111,5/30,29.29,2,10,0,-21.49
21,neutral,2006-2019,63,161,19,5.19,0,100,5/52,29.20,2,10,0,-24.00
23,year 2004,,4,6,5*,-,0,4,2/56,39.75,0,0,0,-
24,year 2005,,1,1,1*,-,0,0,-,-,0,0,0,-
25,year 2006,,18,37,15,7.40,0,30,4/44,23.53,0,2,0,-16.13
26,year 2007,,22,29,11,5.80,0,33,4/54,22.54,0,8,0,-16.74
27,year 2008,,8,19,12,4.75,0,12,4/47,30.66,0,1,0,-25.91
28,year 2009,,11,32,15,6.40,0,11,4/28,55.45,0,0,0,-49.05
29,year 2010,,11,86,56,17.20,0,18,5/34,20.50,1,1,0,-3.29
30,year 2011,,24,92,32*,9.20,0,48,6/38,19.25,3,1,0,-10.04
31,year 2012,,32,69,19*,6.90,0,47,5/54,32.08,1,4,0,-25.18
32,year 2013,,29,53,19,4.81,0,39,4/34,30.15,0,4,0,-25.33
33,year 2014,,17,18,10,3.00,0,29,5/52,26.48,2,4,0,-23.48
34,year 2015,,14,33,17,5.50,0,20,3/35,35.30,0,3,0,-29.79
35,year 2017,,13,21,9*,5.25,0,10,2/44,62.30,0,1,0,-57.04
36,year 2018,,6,10,4*,10.00,0,10,5/44,22.40,1,1,0,-12.39
37,year 2019,,15,55,17,5.00,0,24,4/43,33.04,0,1,0,-28.04
39,season 2004,,4,6,5*,-,0,4,2/56,39.75,0,0,0,-
40,season 2005/06,,4,16,15,16.00,0,3,2/22,46.00,0,0,0,-29.99
41,season 2006,,7,8,3,4.00,0,13,4/44,21.76,0,1,0,-17.76
42,season 2006/07,,21,26,10,6.50,0,37,4/53,20.43,0,4,0,-13.93
43,season 2007,,4,14,11,7.00,0,4,3/22,31.25,0,0,0,-24.24
44,season 2007/08,,13,22,12,4.40,0,18,4/47,31.11,0,6,0,-26.71
45,season 2009,,6,4,4*,2.00,0,7,4/28,44.00,0,0,0,-41.99
46,season 2009/10,,5,28,15,9.33,0,4,2/43,75.50,0,0,0,-66.16
47,season 2010,,8,28,16,9.33,0,16,5/34,16.56,1,1,0,-7.22
48,season 2010/11,,12,64,56,21.33,0,21,6/38,21.66,1,0,0,-0.33
49,season 2011,,10,65,32*,13.00,0,22,5/28,17.22,2,1,0,-4.22
50,season 2011/12,,23,46,11,3.53,0,36,5/54,31.83,1,3,0,-28.29
51,season 2012,,10,44,19*,44.00,0,15,3/64,29.26,0,1,0,14.73
52,season 2012/13,,12,8,5*,8.00,0,17,3/14,22.70,0,0,0,-14.70
53,season 2013,,13,26,8,5.20,0,18,4/34,29.66,0,3,0,-24.46
54,season 2013/14,,14,19,19,3.16,0,21,5/52,30.66,2,1,0,-27.49
55,season 2014,,11,18,10,3.60,0,15,4/24,33.13,0,4,0,-29.53
56,season 2014/15,,7,4,3,1.33,0,12,3/35,29.50,0,3,0,-28.16
57,season 2015,,4,29,17,14.50,0,4,2/64,61.50,0,0,0,-46.99
58,season 2015/16,,3,0,0,0.00,0,4,2/43,26.50,0,0,0,-26.49
59,season 2017,,13,21,9*,5.25,0,10,2/44,62.30,0,1,0,-57.04
60,season 2018,,2,4,3*,4.00,0,5,4/23,17.80,0,0,0,-13.79
61,season 2018/19,,12,50,17,8.33,0,16,5/44,34.68,1,2,0,-26.35
62,season 2019,,7,11,4,2.20,0,13,4/43,28.69,0,0,0,-26.49
64,*MS Atapattu,2004-2006,4,2,1*,-,0,4,2/56,40.50,0,0,0,-
65,*LD Chandimal,2013-2018,6,6,4*,-,0,7,5/44,24.71,1,1,0,-
66,*TM Dilshan,2011-2012,20,89,32*,8.09,0,40,5/28,20.52,3,2,0,-12.43
67,*DPMD Jayawardene,2004-2013,80,149,19*,6.77,0,118,4/44,27.49,0,13,0,-20.71
68,*CK Kapugedera,2017-2017,1,1,1*,-,0,1,1/25,25.00,0,0,0,-
