,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2019-2019,1,3,3,3.00,0,0,-,-,0,1,0,-
2,in New Zealand,2015-2016,5,117,66,39.00,0,3,2/45,40.33,0,1,0,-1.33
3,in Sri Lanka,2015-2017,16,372,58,26.57,0,6,2/27,54.33,0,3,0,-27.76
4,in U.A.E.,2017-2017,5,24,13,4.80,0,0,-,-,0,1,0,-
6,in Asia,2015-2017,21,396,58,20.84,0,6,2/27,68.16,0,4,0,-47.32
7,in Europe,2019-2019,1,3,3,3.00,0,0,-,-,0,1,0,-
8,in Oceania,2015-2016,5,117,66,39.00,0,3,2/45,40.33,0,1,0,-1.33
10,home,2015-2017,16,372,58,26.57,0,6,2/27,54.33,0,3,0,-27.76
11,away,2015-2016,5,117,66,39.00,0,3,2/45,40.33,0,1,0,-1.33
12,neutral,2017-2019,6,27,13,4.50,0,0,-,-,0,2,0,-
14,year 2015,,11,223,66,27.87,0,8,2/27,25.12,0,3,0,2.75
15,year 2016,,3,58,39,29.00,0,0,-,-,0,1,0,-
16,year 2017,,12,232,58,19.33,0,1,1/39,252.00,0,1,0,-232.66
17,year 2019,,1,3,3,3.00,0,0,-,-,0,1,0,-
19,season 2015,,5,121,52*,30.25,0,3,1/19,26.33,0,2,0,3.91
20,season 2015/16,,8,141,66,28.20,0,5,2/27,33.00,0,2,0,-4.79
21,season 2016,,1,19,19,19.00,0,0,-,-,0,0,0,-
22,season 2016/17,,3,64,30,21.33,0,0,-,-,0,0,0,-
23,season 2017,,4,144,58,36.00,0,1,1/39,146.00,0,0,0,-109.99
24,season 2017/18,,5,24,13,4.80,0,0,-,-,0,1,0,-
25,season 2019,,1,3,3,3.00,0,0,-,-,0,1,0,-
27,*CK Kapugedera,2017-2017,1,29,29,29.00,0,0,-,-,0,0,0,-
28,*FDM Karunaratne,2019-2019,1,3,3,3.00,0,0,-,-,0,1,0,-
29,*SL Malinga,2017-2017,1,39,39,39.00,0,0,-,-,0,0,0,-
30,*AD Mathews,2015-2016,14,281,66,28.10,0,8,2/27,34.75,0,4,0,-6.64
31,*WU Tharanga,2017-2017,10,164,58,16.40,0,1,1/39,173.00,0,1,0,-156.59
33,is not captain,2015-2019,27,516,66,22.43,0,9,2/27,60.77,0,6,0,-38.34
35,is not keeper,2015-2019,27,516,66,22.43,0,9,2/27,60.77,0,6,0,-38.34
37,won the toss,2015-2019,17,335,66,22.33,0,4,2/45,78.50,0,2,0,-56.16
38,lost the toss,2015-2017,10,181,58,22.62,0,5,2/27,46.60,0,4,0,-23.97
40,won toss & batted,2015-2017,10,247,66,27.44,0,4,2/45,52.25,0,0,0,-24.80
41,won toss & fielded,2015-2019,7,88,39,14.66,0,0,-,-,0,2,0,-
42,lost toss & sent in,2015-2017,4,111,58,27.75,0,1,1/39,106.00,0,0,0,-78.24
43,lost toss & fielded,2015-2017,6,70,39,17.50,0,4,2/27,31.75,0,4,0,-14.24
45,matches batting first,2015-2017,14,358,66,27.53,0,5,2/45,63.00,0,0,0,-35.46
46,matches fielding first,2015-2019,13,158,39,15.80,0,4,2/27,58.00,0,6,0,-42.19
48,1st match innings,2015-2019,27,358,66,27.53,0,4,2/27,58.00,0,6,0,-30.46
49,2nd match innings,2015-2019,25,158,39,15.80,0,5,2/45,63.00,0,0,0,-47.19
51,day match,2015-2019,8,154,66,25.66,0,3,2/45,57.00,0,2,0,-31.33
52,day/night match,2015-2017,19,362,58,21.29,0,6,2/27,62.66,0,4,0,-41.37
54,won match,2015-2017,7,114,52*,28.50,0,5,2/27,28.20,0,3,0,0.30
55,lost match,2015-2019,18,372,66,20.66,0,4,2/45,98.75,0,3,0,-78.08
56,no result,2016-2017,2,30,30,30.00,0,0,-,-,0,0,0,-
58,won batting first,2015-2017,2,64,52*,64.00,0,1,1/19,42.00,0,0,0,22.00
59,won fielding first,2015-2015,5,50,26,16.66,0,4,2/27,24.75,0,3,0,-8.08
60,lost batting first,2015-2017,11,264,66,24.00,0,4,2/45,68.25,0,0,0,-44.24
61,lost fielding first,2015-2019,7,108,39,15.42,0,0,-,-,0,3,0,-
62,no result batting first,2017-2017,1,30,30,30.00,0,-,-,-,-,-,-,-
63,no result fielding first,2016-2016,1,-,-,-,-,0,-,-,0,0,0,-
65,2 team series,2015-2017,26,513,66,23.31,0,9,2/27,58.88,0,5,0,-35.57
66,5+ team tournaments,2019-2019,1,3,3,3.00,0,0,-,-,0,1,0,-
68,1st match in series,2015-2017,6,136,66,22.66,0,2,2/45,58.50,0,0,0,-35.83
69,2nd match in series,2015-2017,6,129,58,25.80,0,4,2/27,24.25,0,4,0,1.55
70,3rd match in series,2015-2017,6,62,29,12.40,0,1,1/33,128.00,0,0,0,-115.59
71,4th match in series,2015-2017,4,71,39,23.66,0,1,1/28,109.00,0,0,0,-85.33
72,5th match in series,2015-2017,4,115,52*,38.33,0,1,1/19,79.00,0,1,0,-40.66
74,World Cup,2019-2019,1,3,3,3.00,0,0,-,-,0,1,0,-
