,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2018-2018,2,0,0*,-,0,5,3/28,18.80,0,0,0,-
2,in England,2016-2019,11,16,7,3.20,0,16,4/31,36.00,0,2,0,-32.79
3,in India,2017-2017,3,0,0*,-,0,2,2/37,76.50,0,0,0,-
4,in Ireland,2016-2016,1,-,-,-,-,1,1/45,45.00,0,0,0,-
5,in New Zealand,2015-2019,5,9,6*,9.00,0,6,2/55,55.33,0,1,0,-46.33
6,in Scotland,2019-2019,1,-,-,-,-,4,4/34,8.50,0,0,0,-
7,in Sri Lanka,2012-2018,12,3,3*,3.00,0,8,2/63,50.87,0,3,0,-47.87
8,in Zimbabwe,2016-2016,3,0,0*,-,0,5,2/21,28.20,0,0,0,-
10,in Africa,2016-2016,3,0,0*,-,0,5,2/21,28.20,0,0,0,-
11,in Asia,2012-2018,17,3,3*,3.00,0,15,3/28,43.60,0,3,0,-40.59
12,in Europe,2016-2019,13,16,7,3.20,0,21,4/31,31.19,0,2,0,-27.99
13,in Oceania,2015-2019,5,9,6*,9.00,0,6,2/55,55.33,0,1,0,-46.33
15,home,2012-2018,12,3,3*,3.00,0,8,2/63,50.87,0,3,0,-47.87
16,away,2015-2019,18,19,7,9.50,0,23,4/34,40.04,0,2,0,-30.54
17,neutral,2016-2019,8,6,5,1.50,0,16,4/31,28.37,0,1,0,-26.87
19,year 2012,,2,0,0*,-,0,3,2/63,38.33,0,0,0,-
20,year 2015,,4,3,3*,-,0,3,2/55,51.00,0,1,0,-
21,year 2016,,10,9,7,9.00,0,12,2/21,40.58,0,1,0,-31.58
22,year 2017,,10,6,5,2.00,0,10,3/60,43.80,0,4,0,-41.79
23,year 2018,,5,0,0*,-,0,7,3/28,27.14,0,0,0,-
24,year 2019,,7,10,6*,3.33,0,12,4/31,33.25,0,0,0,-29.91
26,season 2012,,2,0,0*,-,0,3,2/63,38.33,0,0,0,-
27,season 2015,,3,3,3*,-,0,1,1/42,98.00,0,0,0,-
28,season 2015/16,,2,0,0*,-,0,3,2/55,41.33,0,1,0,-
29,season 2016,,6,9,7,9.00,0,6,2/64,46.16,0,1,0,-37.16
30,season 2016/17,,4,0,0*,0.00,0,5,2/21,28.20,0,0,0,-28.19
31,season 2017,,6,6,5,3.00,0,8,3/60,35.62,0,4,0,-32.62
32,season 2017/18,,5,0,0*,-,0,7,3/28,35.28,0,0,0,-
33,season 2018/19,,6,9,6*,9.00,0,5,2/72,60.80,0,0,0,-51.79
34,season 2019,,4,1,1*,0.50,0,9,4/31,21.22,0,0,0,-20.72
36,*LD Chandimal,2018-2018,5,0,0*,-,0,7,3/28,27.14,0,0,0,-
37,*DPMD Jayawardene,2012-2012,1,-,-,-,-,1,1/52,52.00,0,0,0,-
38,*FDM Karunaratne,2019-2019,4,1,1*,0.50,0,9,4/31,21.22,0,0,0,-20.72
39,*SL Malinga,2019-2019,3,9,6*,9.00,0,3,2/72,69.33,0,0,0,-60.33
40,*AD Mathews,2012-2017,17,13,7,6.50,0,18,3/60,44.05,0,6,0,-37.55
41,*NLTC Perera,2017-2017,3,0,0*,-,0,2,2/37,76.50,0,0,0,-
42,*WU Tharanga,2016-2017,5,5,5,2.50,0,7,2/21,27.85,0,0,0,-25.35
44,is not captain,2012-2019,38,28,7,4.00,0,47,4/31,37.91,0,6,0,-33.91
46,is not keeper,2012-2019,38,28,7,4.00,0,47,4/31,37.91,0,6,0,-33.91
48,won the toss,2012-2019,20,13,7,2.60,0,17,2/21,55.41,0,3,0,-52.81
49,lost the toss,2012-2019,18,15,6*,7.50,0,30,4/31,28.00,0,3,0,-20.49
51,won toss & batted,2012-2019,6,1,1*,1.00,0,2,1/38,91.00,0,0,0,-89.99
52,won toss & fielded,2016-2019,14,12,7,3.00,0,15,2/21,50.66,0,3,0,-47.66
53,lost toss & sent in,2016-2019,10,3,2*,1.50,0,17,4/31,24.00,0,2,0,-22.49
54,lost toss & fielded,2012-2019,8,12,6*,-,0,13,3/28,33.23,0,1,0,-
56,matches batting first,2012-2019,16,4,2*,1.33,0,19,4/31,31.05,0,2,0,-29.71
57,matches fielding first,2012-2019,22,24,7,6.00,0,28,3/28,42.57,0,4,0,-36.57
59,1st match innings,2012-2019,38,4,2*,1.33,0,28,3/28,42.57,0,4,0,-41.23
60,2nd match innings,2012-2019,36,24,7,6.00,0,19,4/31,31.05,0,2,0,-25.05
62,day match,2015-2019,20,16,7,2.66,0,28,4/31,34.78,0,5,0,-32.11
63,day/night match,2012-2019,18,12,6*,12.00,0,19,3/28,42.52,0,1,0,-30.52
65,won match,2015-2019,13,1,1*,1.00,0,24,4/31,21.45,0,4,0,-20.45
66,lost match,2012-2019,21,25,7,5.00,0,20,3/60,59.00,0,2,0,-53.99
67,tied match,2016-2016,1,-,-,-,-,2,2/64,32.00,0,0,0,-
68,no result,2016-2018,3,2,2*,2.00,0,1,1/23,23.00,0,0,0,-20.99
70,won batting first,2016-2019,5,1,1*,1.00,0,11,4/31,19.36,0,0,0,-18.36
71,won fielding first,2015-2018,8,-,-,-,-,13,3/28,23.23,0,4,0,-
72,lost batting first,2012-2018,8,1,1,1.00,0,6,3/60,52.16,0,2,0,-51.16
73,lost fielding first,2012-2019,13,24,7,6.00,0,14,2/54,61.92,0,0,0,-55.92
74,tied batting first,2016-2016,1,-,-,-,-,2,2/64,32.00,0,0,0,-
75,no result batting first,2016-2017,2,2,2*,2.00,0,-,-,-,-,0,0,-
76,no result fielding first,2018-2018,1,-,-,-,-,1,1/23,23.00,0,0,0,-
78,2 team series,2012-2019,27,21,7,7.00,0,26,4/34,46.26,0,5,0,-39.26
79,3-4 team tournaments,2016-2018,5,0,0*,-,0,10,3/28,23.50,0,0,0,-
80,5+ team tournaments,2017-2019,6,7,5,1.75,0,11,4/31,31.27,0,1,0,-29.52
82,1st match in series,2016-2019,6,6,6*,-,0,8,2/37,36.62,0,0,0,-
