,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2015-2015,1,-,-,-,-,2,2/49,24.50,0,0,0,-
2,in Bangladesh,2010-2018,16,8,5*,2.00,0,18,3/21,40.50,0,2,0,-38.49
3,in England,2011-2019,16,78,26,15.60,0,15,3/43,45.53,0,3,0,-29.93
4,in India,2009-2017,6,12,11*,12.00,0,6,4/13,36.00,0,1,0,-23.99
5,in Ireland,2014-2016,2,-,-,-,-,7,4/38,9.57,0,0,0,-
6,in New Zealand,2015-2015,6,18,8,6.00,0,5,2/36,63.40,0,4,0,-57.39
7,in Scotland,2019-2019,1,12,12*,-,0,2,2/55,27.50,0,0,0,-
8,in South Africa,2017-2017,4,25,20*,12.50,0,5,3/71,35.40,0,2,0,-22.89
9,in Sri Lanka,2011-2018,19,36,12,6.00,0,27,4/30,23.85,0,5,0,-17.85
10,in U.A.E.,2011-2018,8,54,23*,18.00,0,12,3/42,28.33,0,1,0,-10.33
11,in West Indies,2013-2013,1,1,1,1.00,0,1,1/33,33.00,0,0,0,-31.99
12,in Zimbabwe,2016-2016,5,0,0,0.00,0,7,2/19,24.00,0,1,0,-23.99
14,in Africa,2016-2017,9,25,20*,8.33,0,12,3/71,28.75,0,3,0,-20.41
15,in Americas,2013-2013,1,1,1,1.00,0,1,1/33,33.00,0,0,0,-31.99
16,in Asia,2009-2018,49,110,23*,7.85,0,63,4/13,30.61,0,9,0,-22.76
17,in Europe,2011-2019,19,90,26,18.00,0,24,4/38,33.54,0,3,0,-15.54
18,in Oceania,2015-2015,7,18,8,6.00,0,7,2/36,52.28,0,4,0,-46.28
20,home,2011-2018,19,36,12,6.00,0,27,4/30,23.85,0,5,0,-17.85
21,away,2009-2019,37,95,20*,8.63,0,47,4/13,31.14,0,9,0,-22.51
22,neutral,2010-2019,29,113,26,12.55,0,33,3/42,41.51,0,5,0,-28.95
24,year 2009,,3,-,-,-,-,2,2/55,56.00,0,0,0,-
25,year 2010,,3,0,0*,-,0,2,2/63,93.00,0,2,0,-
26,year 2011,,6,1,1*,1.00,0,9,3/43,24.88,0,3,0,-23.88
27,year 2012,,3,0,0*,0.00,0,4,2/37,37.00,0,0,0,-36.99
28,year 2013,,5,4,2*,4.00,0,10,3/22,21.90,0,0,0,-17.89
29,year 2014,,9,4,4*,-,0,17,4/30,18.23,0,0,0,-
30,year 2015,,13,20,8,6.66,0,15,3/15,38.53,0,4,0,-31.86
31,year 2016,,12,20,10,5.00,0,16,4/38,27.68,0,2,0,-22.68
32,year 2017,,16,104,26,13.00,0,19,4/13,34.15,0,3,0,-21.15
33,year 2018,,11,52,20,8.66,0,11,3/21,41.09,0,5,0,-32.42
34,year 2019,,4,39,15*,39.00,0,2,2/55,78.50,0,0,0,-39.49
36,season 2009/10,,6,0,0*,-,0,4,2/55,74.50,0,2,0,-
37,season 2011,,5,1,1*,-,0,7,3/43,29.71,0,3,0,-
38,season 2011/12,,4,0,0*,0.00,0,6,2/16,27.33,0,0,0,-27.33
39,season 2013,,2,1,1,1.00,0,4,3/22,13.75,0,0,0,-12.74
40,season 2013/14,,8,3,2*,-,0,14,3/42,25.42,0,0,0,-
41,season 2014,,2,4,4*,-,0,3,3/29,21.00,0,0,0,-
42,season 2014/15,,8,10,7*,5.00,0,13,4/30,30.53,0,3,0,-25.53
43,season 2015,,3,1,1*,-,0,2,1/21,53.00,0,0,0,-
44,season 2015/16,,4,9,8,9.00,0,6,3/15,21.66,0,1,0,-12.66
45,season 2016,,7,20,10,6.66,0,9,4/38,30.55,0,1,0,-23.88
46,season 2016/17,,12,35,20*,7.00,0,16,3/71,26.75,0,3,0,-19.74
47,season 2017,,3,26,26,13.00,0,3,1/48,57.00,0,0,0,-43.99
48,season 2017/18,,11,51,23*,12.75,0,11,4/13,38.27,0,1,0,-25.52
49,season 2018,,6,44,20,11.00,0,7,3/46,35.57,0,5,0,-24.57
50,season 2019,,4,39,15*,39.00,0,2,2/55,78.50,0,0,0,-39.49
52,*LD Chandimal,2016-2018,5,3,2,1.00,0,3,3/21,54.33,0,1,0,-53.33
53,*TM Dilshan,2011-2011,6,1,1*,1.00,0,9,3/43,24.88,0,3,0,-23.88
54,*DPMD Jayawardene,2012-2012,3,0,0*,0.00,0,4,2/37,37.00,0,0,0,-36.99
55,*FDM Karunaratne,2019-2019,4,39,15*,39.00,0,2,2/55,78.50,0,0,0,-39.49
56,*AD Mathews,2013-2018,40,120,26,13.33,0,61,4/30,27.32,0,9,0,-13.99
57,*NLTC Perera,2017-2017,3,12,11*,12.00,0,4,4/13,26.00,0,1,0,-13.99
58,*KC Sangakkara,2009-2010,6,0,0*,-,0,4,2/55,74.50,0,2,0,-
59,*WU Tharanga,2016-2017,16,66,23*,9.42,0,20,3/71,29.65,0,3,0,-20.22
60,*HDRL Thirimanne,2015-2015,2,3,3,1.50,0,0,-,-,0,0,0,-
62,is not captain,2009-2019,85,244,26,9.38,0,107,4/13,32.50,0,19,0,-23.12
64,is not keeper,2009-2019,85,244,26,9.38,0,107,4/13,32.50,0,19,0,-23.12
66,won the toss,2009-2018,47,135,23*,9.64,0,63,4/13,32.06,0,14,0,-22.42
67,lost the toss,2009-2019,38,109,26,9.08,0,44,4/38,33.13,0,5,0,-24.05
69,won toss & batted,2009-2018,23,48,23*,6.00,0,26,4/30,30.92,0,5,0,-24.92
70,won toss & fielded,2010-2018,24,87,20*,14.50,0,37,4/13,32.86,0,9,0,-18.36
71,lost toss & sent in,2009-2019,22,83,26,10.37,0,27,4/38,28.48,0,2,0,-18.10
72,lost toss & fielded,2009-2018,16,26,20,6.50,0,17,3/21,40.52,0,3,0,-34.02
74,matches batting first,2009-2019,45,131,26,8.18,0,53,4/30,29.67,0,7,0,-21.49
75,matches fielding first,2009-2018,40,113,20*,11.30,0,54,4/13,35.27,0,12,0,-23.97
77,1st match innings,2009-2019,85,131,26,8.18,0,54,4/13,35.27,0,12,0,-27.09
78,2nd match innings,2009-2019,82,113,20*,11.30,0,53,4/30,29.67,0,7,0,-18.37
80,day match,2009-2019,33,139,26,10.69,0,41,4/30,32.95,0,10,0,-22.25
81,day/night match,2009-2018,52,105,23*,8.07,0,66,4/13,32.22,0,9,0,-24.15
83,won match,2009-2019,36,32,15*,32.00,0,66,4/13,21.25,0,7,0,10.74
84,lost match,2009-2019,44,202,26,8.78,0,38,3/71,52.31,0,12,0,-43.53
85,tied match,2016-2016,1,7,7,7.00,0,2,2/65,32.50,0,0,0,-25.49
86,no result,2009-2017,4,3,3*,3.00,0,1,1/8,22.00,0,0,0,-18.99
88,won batting first,2011-2019,17,31,15*,31.00,0,35,4/30,18.57,0,2,0,12.42
89,won fielding first,2009-2018,19,1,1*,-,0,31,4/13,24.29,0,5,0,-
90,lost batting first,2009-2019,24,90,26,6.92,0,15,2/16,56.66,0,5,0,-49.74
91,lost fielding first,2011-2018,20,112,20*,11.20,0,23,3/71,49.47,0,7,0,-38.27
92,tied batting first,2016-2016,1,7,7,7.00,0,2,2/65,32.50,0,0,0,-25.49
93,no result batting first,2009-2017,3,3,3*,3.00,0,1,1/8,8.00,0,0,0,-4.99
94,no result fielding first,2016-2016,1,-,-,-,-,0,-,-,0,0,0,-
96,2 team series,2009-2019,53,155,23*,9.68,0,72,4/13,28.26,0,12,0,-18.57
97,3-4 team tournaments,2010-2018,17,9,5*,1.50,0,18,3/21,41.00,0,3,0,-39.49
98,5+ team tournaments,2014-2019,15,80,26,20.00,0,17,2/30,41.47,0,4,0,-21.47
100,1st match in series,2011-2018,15,44,8,7.33,0,24,4/13,22.45,0,3,0,-15.12
101,2nd match in series,2009-2019,11,33,12*,11.00,0,14,4/38,33.64,0,3,0,-22.64
102,3rd match in series,2011-2018,8,18,12,6.00,0,9,2/24,30.44,0,3,0,-24.44
103,4th match in series,2009-2018,7,27,23*,-,0,8,3/46,35.62,0,0,0,-
104,5th match in series,2009-2018,9,30,20*,10.00,0,11,3/22,34.54,0,3,0,-24.54
105,6th match in series,2014-2015,2,3,3,3.00,0,4,4/30,15.25,0,0,0,-12.24
106,7th match in series,2014-2014,1,-,-,-,-,2,2/25,12.50,0,0,0,-
108,World Cup,2015-2019,7,34,15*,34.00,0,7,2/36,45.71,0,3,0,-11.71
109,Asia Cup,2012-2018,8,20,20,6.66,0,11,2/30,32.90,0,1,0,-26.24
110,ICC Champions Trophy,2017-2017,3,26,26,13.00,0,3,1/48,57.00,0,0,0,-43.99
112,tournament finals,2013-2018,4,3,2,1.50,0,2,1/23,63.00,0,0,0,-61.49
113,preliminary matches,2010-2019,28,86,26,10.75,0,33,3/21,39.90,0,7,0,-29.15
