,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2010-2015,19,84,21*,7.00,0,25,5/46,28.40,1,11,0,-21.39
2,in Bangladesh,2010-2018,17,318,80*,45.42,0,26,4/33,24.92,0,5,0,20.50
3,in England,2013-2019,11,79,27,7.90,0,3,1/19,119.33,0,3,0,-111.43
4,in India,2009-2017,11,139,31,17.37,0,7,3/80,62.42,0,2,0,-45.05
5,in New Zealand,2015-2019,14,313,140,34.77,1,9,2/80,72.55,0,7,0,-37.77
6,in Scotland,2011-2019,2,9,9,4.50,0,2,1/20,33.00,0,0,0,-28.49
7,in South Africa,2012-2019,7,127,69*,21.16,0,6,3/26,36.16,0,1,0,-14.99
8,in Sri Lanka,2010-2018,61,912,65,22.24,0,75,6/44,23.81,2,23,0,-1.56
9,in U.A.E.,2011-2018,14,187,38,13.35,0,17,5/55,31.58,1,5,0,-18.23
10,in Zimbabwe,2010-2010,4,40,32,20.00,0,1,1/33,108.00,0,3,0,-87.99
12,in Africa,2010-2019,11,167,69*,20.87,0,7,3/26,46.42,0,4,0,-25.55
13,in Asia,2009-2018,103,1556,80*,22.22,0,125,6/44,27.26,3,35,0,-5.03
14,in Europe,2011-2019,13,88,27,7.33,0,5,1/19,84.80,0,3,0,-77.46
15,in Oceania,2010-2019,33,397,140,18.90,1,34,5/46,40.08,1,18,0,-21.18
17,home,2010-2018,61,912,65,22.24,0,75,6/44,23.81,2,23,0,-1.56
18,away,2009-2019,56,731,140,19.23,1,51,5/46,41.25,1,20,0,-22.01
19,neutral,2010-2019,43,565,64,17.65,0,45,5/55,36.22,1,17,0,-18.56
21,year 2009,,2,31,31,31.00,0,0,-,-,0,0,0,-
22,year 2010,,13,102,36*,17.00,0,22,5/28,18.90,2,6,0,-1.90
23,year 2011,,10,108,25,12.00,0,15,3/24,24.86,0,4,0,-12.86
24,year 2012,,23,246,69*,18.92,0,32,6/44,26.84,1,10,0,-7.92
25,year 2013,,19,164,65,14.90,0,16,3/31,36.06,0,4,0,-21.15
26,year 2014,,24,395,80*,24.68,0,24,4/34,32.62,0,12,0,-7.93
27,year 2015,,17,117,47*,10.63,0,13,2/38,58.23,0,12,0,-47.59
28,year 2016,,6,70,21,14.00,0,5,3/33,31.60,0,1,0,-17.59
29,year 2017,,14,219,55,18.25,0,11,3/80,44.00,0,2,0,-25.74
30,year 2018,,17,415,64,34.58,0,25,5/55,20.72,1,5,0,13.86
31,year 2019,,15,341,140,22.73,1,8,3/26,66.12,0,4,0,-43.39
33,season 2009/10,,6,84,36*,42.00,0,6,2/27,34.33,0,1,0,7.66
34,season 2010,,6,46,32,15.33,0,9,5/28,19.11,1,4,0,-3.77
35,season 2010/11,,8,53,22*,8.83,0,17,5/46,18.47,1,3,0,-9.63
36,season 2011,,1,9,9,9.00,0,1,1/20,20.00,0,0,0,-10.99
37,season 2011/12,,13,171,69*,17.10,0,15,4/37,32.73,0,6,0,-15.63
38,season 2012,,10,113,44,18.83,0,19,6/44,22.15,1,5,0,-3.32
39,season 2012/13,,12,30,11,7.50,0,8,2/40,45.50,0,4,0,-37.99
40,season 2013,,7,124,65,31.00,0,7,3/31,24.71,0,1,0,6.28
41,season 2013/14,,12,152,80*,21.71,0,12,3/29,37.00,0,3,0,-15.28
42,season 2014,,4,80,65,26.66,0,9,4/34,13.44,0,2,0,13.22
43,season 2014/15,,25,273,54,15.16,0,16,3/44,59.81,0,16,0,-44.64
44,season 2015,,4,28,15,9.33,0,3,2/38,49.33,0,3,0,-39.99
45,season 2015/16,,2,15,15,15.00,0,1,1/13,58.00,0,1,0,-42.99
46,season 2016,,4,55,21,13.75,0,4,3/33,25.00,0,0,0,-11.24
47,season 2016/17,,3,116,55,38.66,0,0,-,-,0,0,0,-
48,season 2017,,3,1,1,0.50,0,2,1/43,57.50,0,1,0,-56.99
49,season 2017/18,,13,236,64,23.60,0,20,4/33,24.30,0,2,0,-0.69
50,season 2018,,7,182,51*,30.33,0,13,5/55,20.07,1,2,0,10.25
51,season 2018/19,,13,379,140,34.45,1,7,3/26,48.42,0,4,0,-13.97
52,season 2019,,7,61,27,8.71,0,2,1/19,126.50,0,2,0,-117.78
54,*LD Chandimal,2013-2018,11,196,44*,32.66,0,14,4/33,19.14,0,4,0,13.52
55,*TM Dilshan,2010-2012,11,169,69*,21.12,0,8,2/30,46.12,0,5,0,-24.99
56,*DPMD Jayawardene,2012-2013,25,172,44,13.23,0,34,6/44,26.26,1,11,0,-13.03
57,*FDM Karunaratne,2019-2019,7,61,27,8.71,0,2,1/19,126.50,0,2,0,-117.78
58,*SL Malinga,2019-2019,8,280,140,35.00,1,6,3/26,46.00,0,2,0,-10.99
59,*AD Mathews,2012-2018,67,947,80*,20.58,0,64,5/55,36.14,1,28,0,-15.55
60,*NLTC Perera,2017-2017,3,11,6,5.50,0,5,3/80,26.80,0,0,0,-21.29
61,*KC Sangakkara,2009-2011,16,143,36*,15.88,0,31,5/28,18.83,2,5,0,-2.94
62,*WU Tharanga,2017-2017,9,207,55,23.00,0,4,2/34,63.25,0,1,0,-40.24
63,*HDRL Thirimanne,2015-2015,3,22,20,7.33,0,3,1/42,59.00,0,2,0,-51.66
65,is captain,2017-2017,3,11,6,5.50,0,5,3/80,26.80,0,0,0,-21.29
66,is not captain,2009-2019,157,2197,140,20.15,1,166,6/44,32.44,4,60,0,-12.28
68,is not keeper,2009-2019,160,2208,140,19.89,1,171,6/44,32.28,4,60,0,-12.38
70,won the toss,2009-2019,89,1159,80,18.39,0,86,6/44,34.89,1,29,0,-16.49
71,lost the toss,2009-2019,71,1049,140,21.85,1,85,5/28,29.63,3,31,0,-7.78
73,won toss & batted,2009-2019,54,670,65,14.56,0,53,6/44,30.43,1,18,0,-15.86
74,won toss & fielded,2010-2019,35,489,80,28.76,0,33,4/75,42.06,0,11,0,-13.29
75,lost toss & sent in,2009-2019,31,465,80*,17.88,0,23,3/31,33.08,0,8,0,-15.20
76,lost toss & fielded,2010-2019,40,584,140,26.54,1,62,5/28,28.35,3,23,0,-1.80
78,matches batting first,2009-2019,85,1135,80*,15.76,0,76,6/44,31.23,1,26,0,-15.47
79,matches fielding first,2010-2019,75,1073,140,27.51,1,95,5/28,33.11,3,34,0,-5.60
81,1st match innings,2009-2019,160,1135,80*,15.76,0,95,5/28,33.11,3,34,0,-17.35
82,2nd match innings,2009-2019,152,1073,140,27.51,1,76,6/44,31.23,1,26,0,-3.72
84,day match,2009-2019,44,579,80,17.54,0,34,5/55,42.97,1,20,0,-25.42
85,day/night match,2009-2019,116,1629,140,20.88,1,137,6/44,29.62,3,40,0,-8.74
87,won match,2010-2019,72,833,80*,25.24,0,105,6/44,21.98,3,36,0,3.26
88,lost match,2009-2019,78,1350,140,18.00,1,61,5/55,50.26,1,23,0,-32.26
89,tied match,2012-2012,1,5,5,5.00,0,2,2/45,22.50,0,0,0,-17.49
90,no result,2009-2018,9,20,11,10.00,0,3,2/64,33.66,0,1,0,-23.66
92,won batting first,2010-2019,36,563,80*,20.85,0,58,6/44,18.29,1,18,0,2.55
93,won fielding first,2010-2018,36,270,69*,45.00,0,47,5/28,26.53,2,18,0,18.46
94,lost batting first,2009-2019,44,547,49,13.02,0,16,2/43,79.25,0,8,0,-66.22
95,lost fielding first,2011-2019,34,803,140,24.33,1,45,5/55,39.95,1,15,0,-15.62
96,tied batting first,2012-2012,1,5,5,5.00,0,2,2/45,22.50,0,0,0,-17.49
97,no result batting first,2009-2017,4,20,11,10.00,0,-,-,-,-,-,-,-
98,no result fielding first,2012-2018,5,-,-,-,-,3,2/64,33.66,0,1,0,-
100,2 team series,2009-2019,110,1647,140,20.84,1,108,6/44,33.80,2,37,0,-12.95
101,3-4 team tournaments,2010-2018,23,293,64,22.53,0,36,5/28,21.55,1,10,0,0.98
102,5+ team tournaments,2011-2019,27,268,47*,14.10,0,27,5/55,40.48,1,13,0,-26.37
