,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2013-2015,5,69,43,17.25,0,5,2/43,48.40,0,1,0,-31.14
2,in Bangladesh,2011-2012,6,18,9,4.50,0,5,2/44,46.20,0,1,0,-41.69
3,in England,2012-2019,5,43,21,10.75,0,5,2/4,28.80,0,0,0,-18.04
4,in India,2011-2014,11,258,53,25.80,0,12,4/49,35.25,0,4,0,-9.44
5,in New Zealand,2014-2015,5,102,42*,51.00,0,9,3/33,23.66,0,1,0,27.33
6,in South Africa,2015-2015,5,123,64*,30.75,0,7,3/85,41.28,0,1,0,-10.53
7,in Sri Lanka,2015-2015,1,41,41,41.00,0,0,-,-,0,0,0,-
8,in West Indies,2011-2018,18,380,92*,42.22,0,27,4/35,24.77,0,3,0,17.44
10,in Africa,2015-2015,5,123,64*,30.75,0,7,3/85,41.28,0,1,0,-10.53
11,in Americas,2011-2018,18,380,92*,42.22,0,27,4/35,24.77,0,3,0,17.44
12,in Asia,2011-2015,18,317,53,21.13,0,17,4/49,39.52,0,5,0,-18.39
13,in Europe,2012-2019,5,43,21,10.75,0,5,2/4,28.80,0,0,0,-18.04
14,in Oceania,2013-2015,10,171,43,28.50,0,14,3/33,32.50,0,2,0,-3.99
16,home,2011-2018,18,380,92*,42.22,0,27,4/35,24.77,0,3,0,17.44
17,away,2011-2019,27,503,64*,22.86,0,24,3/85,47.50,0,5,0,-24.63
18,neutral,2011-2019,11,151,49,21.57,0,19,4/49,22.10,0,3,0,-0.53
20,year 2011,,16,336,92*,33.60,0,21,4/35,28.71,0,5,0,4.88
21,year 2012,,14,259,59*,28.77,0,18,4/45,31.38,0,2,0,-2.61
22,year 2013,,4,65,43,21.66,0,3,2/24,44.66,0,0,0,-22.99
23,year 2014,,4,57,46,19.00,0,4,2/31,28.50,0,1,0,-9.49
24,year 2015,,13,268,64*,29.77,0,18,3/33,36.11,0,3,0,-6.33
25,year 2018,,1,13,13,13.00,0,1,1/62,62.00,0,0,0,-48.99
26,year 2019,,4,36,21,12.00,0,5,2/4,20.20,0,0,0,-8.19
28,season 2010/11,,3,52,49,17.33,0,7,4/49,18.85,0,2,0,-1.52
29,season 2011,,5,120,92*,60.00,0,8,4/35,21.12,0,1,0,38.87
30,season 2011/12,,13,277,53,30.77,0,12,4/61,38.33,0,4,0,-7.55
31,season 2012,,6,137,59*,68.50,0,10,4/45,27.00,0,0,0,41.50
32,season 2012/13,,7,74,43,12.33,0,5,2/24,54.20,0,0,0,-41.86
33,season 2013/14,,1,6,6*,-,0,2,2/31,15.50,0,0,0,-
34,season 2014/15,,15,278,64*,25.27,0,20,3/33,35.75,0,4,0,-10.47
35,season 2015/16,,1,41,41,41.00,0,0,-,-,0,0,0,-
36,season 2018,,1,13,13,13.00,0,1,1/62,62.00,0,0,0,-48.99
37,season 2019,,4,36,21,12.00,0,5,2/4,20.20,0,0,0,-8.19
39,*DJ Bravo,2013-2014,6,61,46,15.25,0,6,2/24,27.83,0,1,0,-12.58
40,*JO Holder,2015-2019,18,317,64*,24.38,0,24,3/33,33.87,0,3,0,-9.49
41,*D Ramdin,2011-2011,1,7,7*,-,0,2,2/44,22.00,0,0,0,-
42,*DJG Sammy,2011-2013,31,649,92*,30.90,0,38,4/35,31.71,0,7,0,-0.80
44,is not captain,2011-2019,56,1034,92*,27.21,0,70,4/35,31.84,0,11,0,-4.63
46,is not keeper,2011-2019,56,1034,92*,27.21,0,70,4/35,31.84,0,11,0,-4.63
48,won the toss,2011-2019,22,385,64*,29.61,0,34,4/35,27.32,0,2,0,2.29
49,lost the toss,2011-2019,34,649,92*,25.96,0,36,4/49,36.11,0,9,0,-10.15
51,won toss & batted,2011-2015,8,130,59*,26.00,0,5,2/43,56.00,0,0,0,-29.99
52,won toss & fielded,2011-2019,14,255,64*,31.87,0,29,4/35,22.37,0,2,0,9.49
53,lost toss & sent in,2011-2019,20,381,92*,29.30,0,21,3/16,30.71,0,4,0,-1.40
54,lost toss & fielded,2011-2018,14,268,53,22.33,0,15,4/49,43.66,0,5,0,-21.33
56,matches batting first,2011-2019,28,511,92*,28.38,0,26,3/16,35.57,0,4,0,-7.18
57,matches fielding first,2011-2019,28,523,64*,26.15,0,44,4/35,29.63,0,7,0,-3.48
59,1st match innings,2011-2019,56,511,92*,28.38,0,44,4/35,29.63,0,7,0,-1.24
60,2nd match innings,2011-2019,56,523,64*,26.15,0,26,3/16,35.57,0,4,0,-9.42
62,day match,2011-2019,31,575,92*,31.94,0,42,4/35,27.61,0,4,0,4.32
63,day/night match,2011-2015,25,459,53,22.95,0,28,4/49,38.17,0,7,0,-15.22
65,won match,2011-2019,21,321,64*,45.85,0,32,4/35,21.59,0,3,0,24.26
