,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2017-2019,9,53,31*,17.66,0,1,1/59,288.00,0,0,0,-270.33
2,in India,2018-2018,4,55,40,13.75,0,5,2/43,41.80,0,0,0,-28.04
3,in Ireland,2019-2019,5,33,19,16.50,0,7,4/51,31.71,0,1,0,-15.21
4,in New Zealand,2017-2017,3,30,27,10.00,0,2,2/55,63.00,0,1,0,-52.99
5,in West Indies,2017-2019,22,265,44,24.09,0,22,4/62,38.18,0,4,0,-14.09
6,in Zimbabwe,2016-2018,11,66,26*,22.00,0,12,3/27,36.66,0,9,0,-14.66
8,in Africa,2016-2018,11,66,26*,22.00,0,12,3/27,36.66,0,9,0,-14.66
9,in Americas,2017-2019,22,265,44,24.09,0,22,4/62,38.18,0,4,0,-14.09
10,in Asia,2018-2018,4,55,40,13.75,0,5,2/43,41.80,0,0,0,-28.04
11,in Europe,2017-2019,14,86,31*,17.20,0,8,4/51,63.75,0,1,0,-46.54
12,in Oceania,2017-2017,3,30,27,10.00,0,2,2/55,63.00,0,1,0,-52.99
14,home,2017-2019,22,265,44,24.09,0,22,4/62,38.18,0,4,0,-14.09
15,away,2016-2019,17,126,40,12.60,0,16,4/51,45.93,0,5,0,-33.33
16,neutral,2016-2019,15,111,26*,22.20,0,11,3/46,50.00,0,6,0,-27.79
18,year 2016,,4,7,5*,3.50,0,8,3/27,23.25,0,3,0,-19.74
19,year 2017,,22,232,44,17.84,0,21,4/62,40.61,0,4,0,-22.77
20,year 2018,,14,129,40,18.42,0,12,2/35,49.08,0,7,0,-30.65
21,year 2019,,14,134,43,33.50,0,8,4/51,62.12,0,1,0,-28.62
23,season 2016/17,,7,47,21,9.40,0,14,3/27,23.85,0,4,0,-14.45
24,season 2017,,16,162,44,23.14,0,13,4/62,44.53,0,2,0,-21.39
25,season 2017/18,,10,89,27,22.25,0,6,2/35,63.33,0,7,0,-41.08
26,season 2018,,3,15,7,7.50,0,3,2/53,42.00,0,1,0,-34.49
27,season 2018/19,,9,136,43,27.20,0,6,2/43,66.33,0,0,0,-39.13
28,season 2019,,9,53,19*,17.66,0,7,4/51,44.00,0,1,0,-26.33
30,*JO Holder,2016-2019,53,471,44,18.11,0,49,4/51,42.22,0,15,0,-24.10
31,*JN Mohammed,2017-2017,1,31,31*,-,0,0,-,-,0,0,0,-
33,is not captain,2016-2019,54,502,44,19.30,0,49,4/51,43.36,0,15,0,-24.05
35,is not keeper,2016-2019,54,502,44,19.30,0,49,4/51,43.36,0,15,0,-24.05
37,won the toss,2016-2019,28,345,44,23.00,0,21,4/62,54.52,0,3,0,-31.52
38,lost the toss,2016-2019,26,157,40,14.27,0,28,4/51,35.00,0,12,0,-20.72
40,won toss & batted,2017-2019,11,122,26*,20.33,0,9,3/34,54.77,0,0,0,-34.44
41,won toss & fielded,2016-2019,17,223,44,24.77,0,12,4/62,54.33,0,3,0,-29.55
42,lost toss & sent in,2016-2019,12,111,40,22.20,0,14,4/51,36.71,0,5,0,-14.51
43,lost toss & fielded,2016-2019,12,46,12,7.66,0,14,3/27,33.28,0,7,0,-25.61
45,matches batting first,2016-2019,23,233,40,21.18,0,23,4/51,43.78,0,5,0,-22.60
46,matches fielding first,2016-2019,29,269,44,17.93,0,26,4/62,43.00,0,10,0,-25.06
48,1st match innings,2016-2019,52,233,40,21.18,0,26,4/62,43.00,0,10,0,-21.81
49,2nd match innings,2016-2019,49,269,44,17.93,0,23,4/51,43.78,0,5,0,-25.84
51,day match,2016-2019,38,361,44,20.05,0,39,4/51,38.35,0,14,0,-18.30
52,day/night match,2017-2019,16,141,40,17.62,0,10,2/33,62.90,0,1,0,-45.27
54,won match,2016-2019,16,122,40,30.50,0,20,4/51,28.55,0,10,0,1.95
55,lost match,2016-2019,31,375,44,18.75,0,26,3/27,55.03,0,5,0,-36.28
56,tied match,2016-2018,2,5,5,2.50,0,3,2/46,33.66,0,0,0,-31.16
57,no result,2017-2019,5,-,-,-,-,0,-,-,0,0,0,-
59,won batting first,2016-2019,9,80,40,20.00,0,13,4/51,27.38,0,4,0,-7.38
60,won fielding first,2017-2019,7,42,34*,-,0,7,4/62,30.71,0,6,0,-
61,lost batting first,2017-2019,14,153,31*,21.85,0,10,3/34,65.10,0,1,0,-43.24
62,lost fielding first,2016-2019,17,222,44,17.07,0,16,3/27,48.75,0,4,0,-31.67
63,tied fielding first,2016-2018,2,5,5,2.50,0,3,2/46,33.66,0,0,0,-31.16
64,no result fielding first,2017-2019,3,-,-,-,-,0,-,-,0,0,0,-
66,2 team series,2017-2019,34,383,44,19.15,0,30,4/62,45.90,0,5,0,-26.74
67,3-4 team tournaments,2016-2019,9,40,19,10.00,0,15,4/51,27.20,0,4,0,-17.19
