,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2011-2011,1,11,11,11.00,0,-,-,-,-,0,0,-
2,in England,2019-2019,8,154,101,30.80,1,9,4/63,35.88,0,1,0,-5.08
3,in South Africa,2015-2015,3,16,11,5.33,0,0,-,-,0,0,0,-
4,in Sri Lanka,2015-2015,3,44,18,14.66,0,3,2/35,36.66,0,2,0,-21.99
5,in U.A.E.,2016-2016,2,29,15,14.50,0,3,3/54,38.00,0,1,0,-23.49
6,in West Indies,2016-2019,15,194,50,17.63,0,14,2/17,46.28,0,6,0,-28.64
7,in Zimbabwe,2016-2018,9,95,24,13.57,0,11,5/27,33.09,1,1,0,-19.51
9,in Africa,2015-2018,12,111,24,11.10,0,11,5/27,43.63,1,1,0,-32.53
10,in Americas,2016-2019,15,194,50,17.63,0,14,2/17,46.28,0,6,0,-28.64
11,in Asia,2011-2016,6,84,18,14.00,0,6,3/54,37.33,0,3,0,-23.33
12,in Europe,2019-2019,8,154,101,30.80,1,9,4/63,35.88,0,1,0,-5.08
14,home,2016-2019,15,194,50,17.63,0,14,2/17,46.28,0,6,0,-28.64
15,away,2011-2019,10,94,18,10.44,0,7,4/48,51.57,0,3,0,-41.12
16,neutral,2016-2019,16,255,101,21.25,1,19,5/27,35.05,1,2,0,-13.80
18,year 2011,,1,11,11,11.00,0,-,-,-,-,0,0,-
19,year 2015,,6,60,18,10.00,0,3,2/35,75.33,0,2,0,-65.33
20,year 2016,,13,157,33*,15.70,0,18,4/48,34.61,0,3,0,-18.91
21,year 2017,,3,42,23,14.00,0,0,-,-,0,3,0,-
22,year 2018,,5,53,24,13.25,0,5,5/27,33.20,1,1,0,-19.94
23,year 2019,,13,220,101,27.50,1,14,4/63,36.57,0,2,0,-9.07
25,season 2011/12,,1,11,11,11.00,0,-,-,-,-,0,0,-
26,season 2014/15,,3,16,11,5.33,0,0,-,-,0,0,0,-
27,season 2015/16,,3,44,18,14.66,0,3,2/35,36.66,0,2,0,-21.99
28,season 2016,,7,86,33*,17.20,0,9,2/35,34.55,0,2,0,-17.35
29,season 2016/17,,9,113,23,14.12,0,9,4/48,51.11,0,4,0,-36.98
30,season 2017/18,,5,53,24,13.25,0,5,5/27,33.20,1,1,0,-19.94
31,season 2018/19,,5,66,50,22.00,0,5,2/17,37.80,0,1,0,-15.79
32,season 2019,,8,154,101,30.80,1,9,4/63,35.88,0,1,0,-5.08
34,*JO Holder,2015-2019,39,515,101,17.16,1,40,5/27,41.00,1,10,0,-23.83
35,*DJG Sammy,2011-2011,1,11,11,11.00,0,-,-,-,-,0,0,-
36,*MN Samuels,2015-2015,1,17,17,17.00,0,0,-,-,0,1,0,-
38,is not captain,2011-2019,41,543,101,16.96,1,40,5/27,41.87,1,11,0,-24.90
40,is not keeper,2011-2019,41,543,101,16.96,1,40,5/27,41.87,1,11,0,-24.90
42,won the toss,2015-2019,22,322,101,18.94,1,20,4/63,51.45,0,6,0,-32.50
43,lost the toss,2011-2019,19,221,33*,14.73,0,20,5/27,32.30,1,5,0,-17.56
45,won toss & batted,2015-2019,7,79,23,13.16,0,4,4/63,77.25,0,2,0,-64.08
46,won toss & fielded,2015-2019,15,243,101,22.09,1,16,3/54,45.00,0,4,0,-22.90
47,lost toss & sent in,2011-2019,11,175,33*,17.50,0,8,2/35,44.87,0,3,0,-27.37
48,lost toss & fielded,2016-2019,7,46,14,9.20,0,12,5/27,23.91,1,2,0,-14.71
50,matches batting first,2011-2019,18,254,33*,15.87,0,12,4/63,55.66,0,5,0,-39.79
51,matches fielding first,2015-2019,22,289,101,18.06,1,28,5/27,35.96,1,6,0,-17.90
53,1st match innings,2011-2019,40,254,33*,15.87,0,28,5/27,35.96,1,6,0,-20.08
54,2nd match innings,2011-2019,39,289,101,18.06,1,12,4/63,55.66,0,5,0,-37.60
56,day match,2015-2019,22,251,50,15.68,0,20,5/27,44.25,1,5,0,-28.56
57,day/night match,2011-2019,19,292,101,18.25,1,20,3/54,39.50,0,6,0,-21.24
59,won match,2015-2019,12,131,33*,21.83,0,19,5/27,22.52,1,4,0,-0.69
60,lost match,2011-2019,26,403,101,16.12,1,17,3/54,70.52,0,7,0,-54.40
61,tied match,2016-2016,1,9,9,9.00,0,4,4/48,12.00,0,0,0,-2.99
62,no result,2019-2019,2,-,-,-,-,-,-,-,-,0,0,-
64,won batting first,2016-2019,6,109,33*,27.25,0,8,4/63,29.50,0,1,0,-2.24
65,won fielding first,2015-2019,6,22,11,11.00,0,11,5/27,17.45,1,3,0,-6.45
