,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2013-2013,5,148,86,29.60,0,-,-,-,-,2,0,-
2,in Bangladesh,2011-2018,13,247,51,22.45,0,-,-,-,-,3,0,-
3,in England,2012-2019,7,74,35,14.80,0,-,-,-,-,2,0,-
4,in India,2011-2014,14,483,73,40.25,0,-,-,-,-,2,0,-
5,in Ireland,2019-2019,5,36,17,12.00,0,-,-,-,-,2,0,-
6,in New Zealand,2013-2015,3,63,49*,31.50,0,-,-,-,-,5,0,-
7,in Sri Lanka,2011-2015,6,189,79,31.50,0,-,-,-,-,0,0,-
8,in U.A.E.,2016-2016,3,90,61,30.00,0,-,-,-,-,2,0,-
9,in West Indies,2009-2019,54,1509,124,33.53,3,-,-,-,-,15,0,-
11,in Americas,2009-2019,54,1509,124,33.53,3,-,-,-,-,15,0,-
12,in Asia,2011-2018,36,1009,79,31.53,0,-,-,-,-,7,0,-
13,in Europe,2012-2019,12,110,35,13.75,0,-,-,-,-,4,0,-
14,in Oceania,2013-2015,8,211,86,30.14,0,-,-,-,-,7,0,-
16,home,2009-2019,54,1509,124,33.53,3,-,-,-,-,15,0,-
17,away,2011-2019,37,1007,86,32.48,0,-,-,-,-,10,0,-
18,neutral,2011-2019,19,323,73,20.18,0,-,-,-,-,8,0,-
20,year 2009,,4,40,21,20.00,0,-,-,-,-,1,0,-
21,year 2010,,6,179,74,44.75,0,-,-,-,-,2,0,-
22,year 2011,,24,637,86,31.85,0,-,-,-,-,3,0,-
23,year 2012,,11,217,51,21.70,0,-,-,-,-,4,0,-
24,year 2013,,24,788,100*,37.52,1,-,-,-,-,13,0,-
25,year 2014,,10,310,124,31.00,1,-,-,-,-,2,0,-
26,year 2015,,5,112,49*,28.00,0,-,-,-,-,2,0,-
27,year 2016,,10,312,102,31.20,1,-,-,-,-,3,0,-
28,year 2018,,3,56,27,18.66,0,-,-,-,-,0,0,-
29,year 2019,,13,188,61,23.50,0,-,-,-,-,3,0,-
31,season 2009,,4,40,21,20.00,0,-,-,-,-,1,0,-
32,season 2009/10,,3,116,74,58.00,0,-,-,-,-,1,0,-
33,season 2010,,3,63,45*,31.50,0,-,-,-,-,1,0,-
34,season 2010/11,,10,265,79,29.44,0,-,-,-,-,0,0,-
35,season 2011,,8,252,86,36.00,0,-,-,-,-,1,0,-
36,season 2011/12,,11,168,60,18.66,0,-,-,-,-,4,0,-
37,season 2012,,1,8,8*,-,0,-,-,-,-,0,0,-
38,season 2012/13,,13,481,100*,43.72,1,-,-,-,-,5,0,-
39,season 2013,,12,294,70,24.50,0,-,-,-,-,7,0,-
40,season 2013/14,,8,206,59,29.42,0,-,-,-,-,4,0,-
41,season 2014,,3,184,124,61.33,1,-,-,-,-,0,0,-
42,season 2014/15,,5,143,49*,35.75,0,-,-,-,-,3,0,-
43,season 2015/16,,3,63,38,21.00,0,-,-,-,-,0,0,-
44,season 2016,,7,222,102,31.71,1,-,-,-,-,1,0,-
45,season 2016/17,,3,90,61,30.00,0,-,-,-,-,2,0,-
46,season 2018/19,,8,189,61,31.50,0,-,-,-,-,1,0,-
47,season 2019,,8,55,19,11.00,0,-,-,-,-,2,0,-
49,*DJ Bravo,2013-2014,27,825,124,34.37,2,-,-,-,-,10,0,-
50,*CH Gayle,2009-2010,8,117,45*,23.40,0,-,-,-,-,2,0,-
51,*JO Holder,2015-2019,27,591,102,28.14,1,-,-,-,-,8,0,-
52,*KA Pollard,2013-2013,2,125,70,62.50,0,-,-,-,-,3,0,-
53,*R Powell,2018-2018,3,56,27,18.66,0,-,-,-,-,0,0,-
54,*D Ramdin,2011-2011,1,20,20,20.00,0,-,-,-,-,1,0,-
55,*DJG Sammy,2010-2013,41,1084,86,30.97,0,-,-,-,-,9,0,-
56,*MN Samuels,2015-2015,1,21,21,21.00,0,-,-,-,-,0,0,-
58,is not captain,2009-2019,110,2839,124,30.85,3,-,-,-,-,33,0,-
60,is not keeper,2009-2019,110,2839,124,30.85,3,-,-,-,-,33,0,-
62,won the toss,2010-2019,49,1321,124,29.35,1,-,-,-,-,20,0,-
63,lost the toss,2009-2019,61,1518,102,32.29,2,-,-,-,-,13,0,-
65,won toss & batted,2010-2019,17,535,124,33.43,1,-,-,-,-,4,0,-
66,won toss & fielded,2010-2019,32,786,86,27.10,0,-,-,-,-,16,0,-
67,lost toss & sent in,2009-2019,39,1113,102,34.78,2,-,-,-,-,8,0,-
68,lost toss & fielded,2009-2019,21,405,86,27.00,0,-,-,-,-,5,0,-
70,matches batting first,2009-2019,56,1648,124,34.33,3,-,-,-,-,12,0,-
71,matches fielding first,2009-2019,53,1191,86,27.06,0,-,-,-,-,21,0,-
73,1st match innings,2009-2019,109,1648,124,34.33,3,-,-,-,-,21,0,-
74,2nd match innings,2009-2019,106,1191,86,27.06,0,-,-,-,-,12,0,-
76,day match,2009-2019,64,1490,100*,29.80,1,-,-,-,-,19,0,-
77,day/night match,2011-2019,46,1349,124,32.11,2,-,-,-,-,14,0,-
79,won match,2009-2019,43,1304,124,40.75,3,-,-,-,-,9,0,-
80,lost match,2009-2019,60,1498,86,26.75,0,-,-,-,-,22,0,-
81,tied match,2012-2013,3,29,17,9.66,0,-,-,-,-,2,0,-
82,no result,2009-2019,4,8,8,8.00,0,-,-,-,-,0,0,-
84,won batting first,2010-2019,18,770,124,55.00,3,-,-,-,-,4,0,-
85,won fielding first,2009-2019,25,534,86,29.66,0,-,-,-,-,5,0,-
86,lost batting first,2009-2019,36,870,73,26.36,0,-,-,-,-,8,0,-
87,lost fielding first,2009-2019,24,628,86,27.30,0,-,-,-,-,14,0,-
88,tied fielding first,2012-2013,3,29,17,9.66,0,-,-,-,-,2,0,-
89,no result batting first,2009-2011,2,8,8,8.00,0,-,-,-,-,-,-,-
90,no result fielding first,2019-2019,1,-,-,-,-,-,-,-,-,0,0,-
92,2 team series,2009-2019,79,2174,124,32.93,2,-,-,-,-,22,0,-
93,3-4 team tournaments,2013-2019,16,411,102,29.35,1,-,-,-,-,7,0,-
94,5+ team tournaments,2011-2019,15,254,73,21.16,0,-,-,-,-,4,0,-
96,only match in series,2010-2014,3,103,74,51.50,0,-,-,-,-,1,0,-
97,1st match in series,2009-2019,21,560,100*,29.47,1,-,-,-,-,6,0,-
98,2nd match in series,2009-2019,18,453,61,28.31,0,-,-,-,-,4,0,-
99,3rd match in series,2009-2019,18,584,124,41.71,1,-,-,-,-,5,0,-
100,4th match in series,2009-2019,10,254,61,31.75,0,-,-,-,-,4,0,-
101,5th match in series,2010-2019,9,220,86,31.42,0,-,-,-,-,2,0,-
103,World Cup,2011-2019,12,207,73,23.00,0,-,-,-,-,2,0,-
104,ICC Champions Trophy,2013-2013,3,47,35,15.66,0,-,-,-,-,2,0,-
106,tournament finals,2016-2019,2,9,6,9.00,0,-,-,-,-,1,0,-
107,tournament quarter-finals,2011-2011,1,0,0,0.00,0,-,-,-,-,0,0,-
108,preliminary matches,2011-2019,28,656,102,27.33,1,-,-,-,-,10,0,-
