,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2017-2019,9,331,176*,47.28,1,-,-,-,-,3,0,-
2,in New Zealand,2017-2017,2,86,76,43.00,0,-,-,-,-,0,0,-
3,in U.A.E.,2016-2016,1,22,22,22.00,0,-,-,-,-,0,0,-
4,in West Indies,2017-2018,17,268,47,17.86,0,-,-,-,-,4,0,-
5,in Zimbabwe,2016-2018,11,434,148,39.45,1,-,-,-,-,6,0,-
7,in Africa,2016-2018,11,434,148,39.45,1,-,-,-,-,6,0,-
8,in Americas,2017-2018,17,268,47,17.86,0,-,-,-,-,4,0,-
9,in Asia,2016-2016,1,22,22,22.00,0,-,-,-,-,0,0,-
10,in Europe,2017-2019,9,331,176*,47.28,1,-,-,-,-,3,0,-
11,in Oceania,2017-2017,2,86,76,43.00,0,-,-,-,-,0,0,-
13,home,2017-2018,17,268,47,17.86,0,-,-,-,-,4,0,-
14,away,2016-2019,10,379,176*,47.37,1,-,-,-,-,2,0,-
15,neutral,2016-2019,13,494,148,38.00,1,-,-,-,-,7,0,-
17,year 2016,,5,224,148,44.80,1,-,-,-,-,2,0,-
18,year 2017,,20,512,176*,32.00,1,-,-,-,-,5,0,-
19,year 2018,,10,274,66,27.40,0,-,-,-,-,5,0,-
20,year 2019,,5,131,70,26.20,0,-,-,-,-,1,0,-
22,season 2016/17,,8,253,148,31.62,1,-,-,-,-,2,0,-
23,season 2017,,15,397,176*,36.09,1,-,-,-,-,5,0,-
24,season 2017/18,,9,318,76,35.33,0,-,-,-,-,4,0,-
25,season 2018,,3,42,17,14.00,0,-,-,-,-,1,0,-
26,season 2019,,5,131,70,26.20,0,-,-,-,-,1,0,-
28,*JO Holder,2016-2019,40,1141,176*,31.69,2,-,-,-,-,13,0,-
30,is not captain,2016-2019,40,1141,176*,31.69,2,-,-,-,-,13,0,-
32,is not keeper,2016-2019,40,1141,176*,31.69,2,-,-,-,-,13,0,-
34,won the toss,2016-2019,22,498,148,24.90,1,-,-,-,-,6,0,-
35,lost the toss,2016-2019,18,643,176*,40.18,1,-,-,-,-,7,0,-
37,won toss & batted,2017-2019,9,222,58,24.66,0,-,-,-,-,4,0,-
38,won toss & fielded,2016-2019,13,276,148,25.09,1,-,-,-,-,2,0,-
39,lost toss & sent in,2016-2019,8,438,176*,62.57,1,-,-,-,-,5,0,-
40,lost toss & fielded,2016-2018,9,205,64,22.77,0,-,-,-,-,2,0,-
42,matches batting first,2016-2019,17,660,176*,41.25,1,-,-,-,-,9,0,-
43,matches fielding first,2016-2019,22,481,148,24.05,1,-,-,-,-,4,0,-
45,1st match innings,2016-2019,39,660,176*,41.25,1,-,-,-,-,4,0,-
46,2nd match innings,2016-2019,37,481,148,24.05,1,-,-,-,-,9,0,-
48,day match,2016-2019,31,866,148,28.86,1,-,-,-,-,11,0,-
49,day/night match,2016-2019,9,275,176*,45.83,1,-,-,-,-,2,0,-
51,won match,2016-2019,11,390,66,35.45,0,-,-,-,-,8,0,-
52,lost match,2016-2019,25,733,176*,30.54,2,-,-,-,-,4,0,-
53,tied match,2016-2016,1,18,18,18.00,0,-,-,-,-,0,0,-
54,no result,2017-2017,3,-,-,-,-,-,-,-,-,1,0,-
56,won batting first,2016-2019,7,238,66,34.00,0,-,-,-,-,7,0,-
57,won fielding first,2017-2018,4,152,64,38.00,0,-,-,-,-,1,0,-
58,lost batting first,2017-2019,10,422,176*,46.88,1,-,-,-,-,2,0,-
59,lost fielding first,2016-2019,15,311,148,20.73,1,-,-,-,-,2,0,-
60,tied fielding first,2016-2016,1,18,18,18.00,0,-,-,-,-,0,0,-
61,no result fielding first,2017-2017,2,-,-,-,-,-,-,-,-,1,0,-
63,2 team series,2016-2018,24,576,176*,28.80,1,-,-,-,-,6,0,-
64,3-4 team tournaments,2016-2016,4,202,148,50.50,1,-,-,-,-,2,0,-
65,5+ team tournaments,2018-2019,12,363,70,30.25,0,-,-,-,-,5,0,-
67,1st match in series,2017-2018,7,193,76,32.16,0,-,-,-,-,2,0,-
68,2nd match in series,2017-2018,7,97,33,16.16,0,-,-,-,-,1,0,-
69,3rd match in series,2016-2018,7,66,22,11.00,0,-,-,-,-,2,0,-
70,4th match in series,2017-2017,2,211,176*,211.00,1,-,-,-,-,0,0,-
71,5th match in series,2017-2017,1,9,9,9.00,0,-,-,-,-,1,0,-
73,World Cup,2019-2019,5,131,70,26.20,0,-,-,-,-,1,0,-
74,World Cup Qualifier,2018-2018,7,232,66,33.14,0,-,-,-,-,4,0,-
76,tournament finals,2018-2018,1,27,27,27.00,0,-,-,-,-,0,0,-
77,preliminary matches,2016-2019,15,538,148,35.86,1,-,-,-,-,7,0,-
