,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,1,6,6,6.00,0,0,-,-,0,0,0,-
2,in England,3,51,51,25.50,0,1,1/44,122.00,0,5,0,-96.49
3,in India,3,19,10,6.33,0,0,-,-,0,0,0,-
4,in Ireland,3,7,7,7.00,0,1,1/37,67.00,0,0,0,-59.99
6,in Asia,4,25,10,6.25,0,0,-,-,0,0,0,-
7,in Europe,6,58,51,19.33,0,2,1/37,94.50,0,5,0,-75.16
9,away,5,25,10,6.25,0,0,-,-,0,0,0,-
10,neutral,5,58,51,19.33,0,2,1/37,85.00,0,5,0,-65.66
12,year 2018,4,25,10,6.25,0,0,-,-,0,0,0,-
13,year 2019,6,58,51,19.33,0,2,1/37,94.50,0,5,0,-75.16
15,season 2018/19,4,25,10,6.25,0,0,-,-,0,0,0,-
16,season 2019,6,58,51,19.33,0,2,1/37,94.50,0,5,0,-75.16
18,*JO Holder,9,77,51,12.83,0,2,1/37,149.00,0,5,0,-136.16
19,*R Powell,1,6,6,6.00,0,0,-,-,0,0,0,-
21,is not captain,10,83,51,11.85,0,2,1/37,160.00,0,5,0,-148.14
23,is not keeper,10,83,51,11.85,0,2,1/37,160.00,0,5,0,-148.14
25,won the toss,4,62,51,20.66,0,1,1/44,86.00,0,4,0,-65.33
26,lost the toss,6,21,10,5.25,0,1,1/37,234.00,0,1,0,-228.74
28,won toss & batted,3,11,7,5.50,0,0,-,-,0,2,0,-
29,won toss & fielded,1,51,51,51.00,0,1,1/44,44.00,0,2,0,7.00
30,lost toss & sent in,3,11,6,5.50,0,1,1/37,111.00,0,0,0,-105.49
31,lost toss & fielded,3,10,10,5.00,0,0,-,-,0,1,0,-
33,matches batting first,6,22,7,5.50,0,1,1/37,153.00,0,2,0,-147.49
34,matches fielding first,4,61,51,20.33,0,1,1/44,167.00,0,3,0,-146.66
36,1st match innings,10,22,7,5.50,0,1,1/44,167.00,0,3,0,-161.49
37,2nd match innings,10,61,51,20.33,0,1,1/37,153.00,0,2,0,-132.66
39,day match,6,58,51,19.33,0,2,1/37,94.50,0,5,0,-75.16
40,day/night match,4,25,10,6.25,0,0,-,-,0,0,0,-
42,won match,3,5,5,5.00,0,0,-,-,0,2,0,-
43,lost match,7,78,51,13.00,0,2,1/37,111.50,0,3,0,-98.49
45,won batting first,2,5,5,5.00,0,0,-,-,0,2,0,-
46,won fielding first,1,0,0*,-,0,0,-,-,0,0,0,-
47,lost batting first,4,17,7,5.66,0,1,1/37,75.00,0,0,0,-69.33
48,lost fielding first,3,61,51,20.33,0,1,1/44,148.00,0,3,0,-127.66
50,2 team series,4,25,10,6.25,0,0,-,-,0,0,0,-
51,3-4 team tournaments,3,7,7,7.00,0,1,1/37,67.00,0,0,0,-59.99
52,5+ team tournaments,3,51,51,25.50,0,1,1/44,122.00,0,5,0,-96.49
54,3rd match in series,2,11,6,5.50,0,0,-,-,0,0,0,-
55,4th match in series,1,10,10,10.00,0,0,-,-,0,0,0,-
56,5th match in series,1,4,4,4.00,0,0,-,-,0,0,0,-
58,World Cup,3,51,51,25.50,0,1,1/44,122.00,0,5,0,-96.49
60,tournament finals,1,-,-,-,-,1,1/37,37.00,0,0,0,-
61,preliminary matches,5,58,51,19.33,0,1,1/44,152.00,0,5,0,-132.66
