,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2013-2015,5,129,57,32.25,0,6,3/48,42.50,0,0,0,-10.24
2,in England,2017-2019,13,322,77,35.77,0,10,3/42,50.50,0,8,0,-14.72
3,in India,2013-2018,9,195,54*,32.50,0,6,2/46,71.33,0,3,0,-38.83
4,in Ireland,2019-2019,5,103,62,25.75,0,2,1/43,91.00,0,4,0,-65.24
5,in New Zealand,2013-2017,11,107,42,21.40,0,17,4/27,26.88,0,4,0,-5.48
6,in South Africa,2015-2015,5,53,21*,17.66,0,8,4/53,35.87,0,0,0,-18.20
7,in Sri Lanka,2015-2015,2,55,36,27.50,0,2,2/44,36.50,0,0,0,-8.99
8,in U.A.E.,2016-2016,3,58,31*,29.00,0,4,2/51,37.25,0,2,0,-8.24
9,in West Indies,2013-2019,40,438,68,16.84,0,50,5/27,32.92,1,17,0,-16.07
10,in Zimbabwe,2016-2018,11,284,99*,47.33,0,24,5/53,19.87,1,7,0,27.45
12,in Africa,2015-2018,16,337,99*,37.44,0,32,5/53,23.87,1,7,0,13.56
13,in Americas,2013-2019,40,438,68,16.84,0,50,5/27,32.92,1,17,0,-16.07
14,in Asia,2013-2018,14,308,54*,30.80,0,12,2/44,54.16,0,5,0,-23.36
15,in Europe,2017-2019,18,425,77,32.69,0,12,3/42,57.25,0,12,0,-24.55
16,in Oceania,2013-2017,16,236,57,26.22,0,23,4/27,30.95,0,4,0,-4.73
18,home,2013-2019,40,438,68,16.84,0,50,5/27,32.92,1,17,0,-16.07
19,away,2013-2019,36,656,77,27.33,0,41,4/35,39.97,0,10,0,-12.64
20,neutral,2015-2019,28,650,99*,38.23,0,38,5/53,30.89,1,18,0,7.34
22,year 2013,,12,68,19*,11.33,0,17,4/13,27.88,0,4,0,-16.54
23,year 2014,,9,41,22*,20.50,0,12,3/34,29.75,0,2,0,-9.24
24,year 2015,,14,263,57,32.87,0,19,4/27,37.42,0,3,0,-4.54
25,year 2016,,14,236,45*,26.22,0,20,3/57,29.20,0,6,0,-2.97
26,year 2017,,21,410,77,25.62,0,23,5/27,38.73,1,10,0,-13.11
27,year 2018,,15,405,99*,33.75,0,21,5/53,32.61,1,7,0,1.13
28,year 2019,,19,321,62,22.92,0,17,3/42,44.52,0,13,0,-21.60
30,season 2012/13,,2,16,9,8.00,0,2,1/18,37.00,0,0,0,-28.99
31,season 2013,,6,19,19*,9.50,0,10,4/13,22.10,0,2,0,-12.59
32,season 2013/14,,9,33,16*,16.50,0,13,3/34,29.30,0,4,0,-12.80
33,season 2014,,3,30,22*,30.00,0,3,1/17,34.33,0,0,0,-4.33
