,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Australia,2010-2015,7,4,2*,-,0,6,1/41,55.50,0,0,0,-
2,in Bangladesh,2011-2018,11,30,16,10.00,0,15,5/56,26.26,1,1,0,-16.26
3,in Canada,2008-2008,2,-,-,-,-,3,2/29,26.00,0,0,0,-
4,in England,2013-2019,6,33,14*,33.00,0,9,3/28,21.77,0,0,0,11.22
5,in India,2011-2018,14,98,26*,16.33,0,23,6/27,28.91,1,1,0,-12.57
6,in Ireland,2019-2019,5,4,3*,4.00,0,3,2/28,74.33,0,1,0,-70.33
7,in New Zealand,2015-2015,2,-,-,-,-,0,-,-,0,0,0,-
8,in South Africa,2009-2009,2,7,4,3.50,0,3,2/73,33.33,0,0,0,-29.83
9,in Sri Lanka,2011-2011,2,9,9,9.00,0,0,-,-,0,0,0,-
10,in West Indies,2009-2014,33,123,34,17.57,0,51,5/44,26.39,1,15,0,-8.82
11,in Zimbabwe,2018-2018,5,0,0*,0.00,0,10,4/27,18.60,0,1,0,-18.59
13,in Africa,2009-2018,7,7,4,2.33,0,13,4/27,22.00,0,1,0,-19.66
14,in Americas,2008-2014,35,123,34,17.57,0,54,5/44,26.37,1,15,0,-8.79
15,in Asia,2011-2018,27,137,26*,13.70,0,38,6/27,28.63,2,2,0,-14.93
16,in Europe,2013-2019,11,37,14*,18.50,0,12,3/28,34.91,0,1,0,-16.41
17,in Oceania,2010-2015,9,4,2*,-,0,6,1/41,73.16,0,0,0,-
19,home,2009-2014,33,123,34,17.57,0,51,5/44,26.39,1,15,0,-8.82
20,away,2008-2019,32,122,26*,17.42,0,39,5/56,35.76,1,4,0,-18.34
21,neutral,2008-2019,24,63,16,7.87,0,33,6/27,27.72,1,0,0,-19.85
23,year 2008,,2,-,-,-,-,3,2/29,26.00,0,0,0,-
24,year 2009,,5,17,10,4.25,0,13,5/44,20.15,1,1,0,-15.90
25,year 2010,,6,3,2*,-,0,10,3/28,21.40,0,0,0,-
26,year 2011,,23,106,24*,13.25,0,30,6/27,31.16,1,3,0,-17.91
27,year 2012,,8,18,9*,18.00,0,18,5/56,19.88,1,4,0,-1.88
28,year 2013,,17,72,34,24.00,0,20,4/27,33.50,0,6,0,-9.49
29,year 2014,,3,-,-,-,-,4,3/19,28.75,0,2,0,-
30,year 2015,,3,0,0*,-,0,1,1/44,150.00,0,0,0,-
31,year 2018,,13,60,26*,15.00,0,15,4/27,35.33,0,2,0,-20.33
32,year 2019,,9,32,14*,16.00,0,9,3/36,38.22,0,1,0,-22.22
34,season 2008,,2,-,-,-,-,3,2/29,26.00,0,0,0,-
