,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,9,367,118,52.42,1,-,-,-,-,1,0,-
2,in West Indies,1,0,0,0.00,0,-,-,-,-,1,0,-
4,in Americas,1,0,0,0.00,0,-,-,-,-,1,0,-
5,in Europe,9,367,118,52.42,1,-,-,-,-,1,0,-
7,home,1,0,0,0.00,0,-,-,-,-,1,0,-
8,away,1,63,63,63.00,0,-,-,-,-,0,0,-
9,neutral,8,304,118,50.66,1,-,-,-,-,1,0,-
11,year 2019,10,367,118,45.87,1,-,-,-,-,2,0,-
13,season 2018/19,1,0,0,0.00,0,-,-,-,-,1,0,-
14,season 2019,9,367,118,52.42,1,-,-,-,-,1,0,-
16,*JO Holder,10,367,118,45.87,1,-,-,-,-,2,0,-
18,is not captain,10,367,118,45.87,1,-,-,-,-,2,0,-
20,is not keeper,10,367,118,45.87,1,-,-,-,-,2,0,-
22,won the toss,7,251,118,50.20,1,-,-,-,-,2,0,-
23,lost the toss,3,116,63,38.66,0,-,-,-,-,0,0,-
25,won toss & batted,2,58,58,29.00,0,-,-,-,-,1,0,-
26,won toss & fielded,5,193,118,64.33,1,-,-,-,-,1,0,-
27,lost toss & sent in,2,88,63,44.00,0,-,-,-,-,0,0,-
28,lost toss & fielded,1,28,28,28.00,0,-,-,-,-,0,0,-
30,matches batting first,4,146,63,36.50,0,-,-,-,-,1,0,-
31,matches fielding first,6,221,118,55.25,1,-,-,-,-,1,0,-
33,1st match innings,10,146,63,36.50,0,-,-,-,-,1,0,-
34,2nd match innings,9,221,118,55.25,1,-,-,-,-,1,0,-
36,day match,8,366,118,61.00,1,-,-,-,-,1,0,-
37,day/night match,2,1,1,0.50,0,-,-,-,-,1,0,-
39,won match,2,92,58,92.00,0,-,-,-,-,0,0,-
40,lost match,7,275,118,39.28,1,-,-,-,-,2,0,-
41,no result,1,-,-,-,-,-,-,-,-,0,0,-
43,won batting first,1,58,58,58.00,0,-,-,-,-,0,0,-
44,won fielding first,1,34,34*,-,0,-,-,-,-,0,0,-
45,lost batting first,3,88,63,29.33,0,-,-,-,-,1,0,-
46,lost fielding first,4,187,118,46.75,1,-,-,-,-,1,0,-
47,no result fielding first,1,-,-,-,-,-,-,-,-,0,0,-
49,2 team series,1,0,0,0.00,0,-,-,-,-,1,0,-
50,5+ team tournaments,9,367,118,52.42,1,-,-,-,-,1,0,-
52,1st match in series,1,0,0,0.00,0,-,-,-,-,1,0,-
54,World Cup,9,367,118,52.42,1,-,-,-,-,1,0,-
