,Grouping,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2,0,0*,-,0,4,3/54,22.00,0,0,0,-
2,in England,9,13,6*,6.50,0,9,4/27,42.22,0,0,0,-35.72
3,in India,2,0,0,0.00,0,2,1/33,58.00,0,0,0,-57.99
4,in West Indies,5,0,0,0.00,0,9,5/21,23.22,1,0,0,-23.22
6,in Americas,5,0,0,0.00,0,9,5/21,23.22,1,0,0,-23.22
7,in Asia,4,0,0*,0.00,0,6,3/54,34.00,0,0,0,-33.99
8,in Europe,9,13,6*,6.50,0,9,4/27,42.22,0,0,0,-35.72
10,home,5,0,0,0.00,0,9,5/21,23.22,1,0,0,-23.22
11,away,5,0,0*,0.00,0,6,3/54,41.16,0,0,0,-41.16
12,neutral,8,13,6*,6.50,0,9,4/27,37.44,0,0,0,-30.94
14,year 2018,4,0,0*,0.00,0,6,3/54,34.00,0,0,0,-33.99
15,year 2019,14,13,6*,4.33,0,18,5/21,32.72,1,0,0,-28.38
17,season 2018/19,9,0,0*,0.00,0,15,5/21,27.53,1,0,0,-27.53
18,season 2019,9,13,6*,6.50,0,9,4/27,42.22,0,0,0,-35.72
20,*JO Holder,16,13,6*,3.25,0,20,5/21,35.25,1,0,0,-31.99
21,*R Powell,2,0,0*,-,0,4,3/54,22.00,0,0,0,-
23,is not captain,18,13,6*,3.25,0,24,5/21,33.04,1,0,0,-29.79
25,is not keeper,18,13,6*,3.25,0,24,5/21,33.04,1,0,0,-29.79
27,won the toss,12,1,1,0.33,0,21,5/21,24.76,1,0,0,-24.42
28,lost the toss,6,12,6*,12.00,0,3,1/32,91.00,0,0,0,-78.99
30,won toss & batted,4,0,0*,0.00,0,4,1/33,45.50,0,0,0,-45.49
31,won toss & fielded,8,1,1,0.50,0,17,5/21,19.88,1,0,0,-19.38
32,lost toss & sent in,4,6,6*,-,0,3,1/32,70.00,0,0,0,-
33,lost toss & fielded,1,6,6,6.00,0,0,-,-,0,0,0,-
35,matches batting first,8,6,6*,6.00,0,7,1/32,56.00,0,0,0,-49.99
36,matches fielding first,9,7,6,2.33,0,17,5/21,23.58,1,0,0,-21.25
38,1st match innings,17,6,6*,6.00,0,17,5/21,23.58,1,0,0,-17.58
39,2nd match innings,16,7,6,2.33,0,7,1/32,56.00,0,0,0,-53.66
41,day match,10,13,6*,4.33,0,11,4/27,39.45,0,0,0,-35.12
42,day/night match,8,0,0*,0.00,0,13,5/21,27.61,1,0,0,-27.61
44,won match,5,-,-,-,-,14,5/21,12.64,1,0,0,-
45,lost match,11,13,6*,3.25,0,10,2/63,61.50,0,0,0,-58.24
46,no result,2,-,-,-,-,0,-,-,0,0,0,-
48,won batting first,2,-,-,-,-,2,1/32,37.50,0,0,0,-
49,won fielding first,3,-,-,-,-,12,5/21,8.50,1,0,0,-
50,lost batting first,6,6,6*,6.00,0,5,1/33,63.40,0,0,0,-57.39
51,lost fielding first,5,7,6,2.33,0,5,2/63,59.60,0,0,0,-57.26
52,no result fielding first,1,-,-,-,-,0,-,-,0,0,0,-
54,2 team series,9,0,0*,0.00,0,15,5/21,27.53,1,0,0,-27.53
55,5+ team tournaments,9,13,6*,6.50,0,9,4/27,42.22,0,0,0,-35.72
57,1st match in series,3,0,0*,-,0,3,1/34,63.00,0,0,0,-
58,2nd match in series,2,-,-,-,-,4,3/54,21.50,0,0,0,-
59,3rd match in series,1,-,-,-,-,-,-,-,-,-,-,-
60,4th match in series,1,0,0,0.00,0,2,2/84,42.00,0,0,0,-41.99
61,5th match in series,2,0,0,0.00,0,6,5/21,9.00,1,0,0,-8.99
63,World Cup,9,13,6*,6.50,0,9,4/27,42.22,0,0,0,-35.72
