,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2018-2018,3,297,146*,297.00,2,-,-,-,-,3,0,-
2,in England,2017-2019,14,412,96,34.33,0,-,-,-,-,21,0,-
3,in India,2018-2018,5,250,123*,62.50,1,-,-,-,-,3,2,-
4,in Ireland,2019-2019,5,470,170,94.00,2,-,-,-,-,1,1,-
5,in New Zealand,2017-2017,3,25,23,8.33,0,-,-,-,-,3,1,-
6,in West Indies,2017-2019,22,647,81,35.94,0,-,-,-,-,24,4,-
7,in Zimbabwe,2016-2018,11,420,101,46.66,1,-,-,-,-,9,1,-
9,in Africa,2016-2018,11,420,101,46.66,1,-,-,-,-,9,1,-
10,in Americas,2017-2019,22,647,81,35.94,0,-,-,-,-,24,4,-
11,in Asia,2018-2018,8,547,146*,109.40,3,-,-,-,-,6,2,-
12,in Europe,2017-2019,19,882,170,51.88,2,-,-,-,-,22,1,-
13,in Oceania,2017-2017,3,25,23,8.33,0,-,-,-,-,3,1,-
15,home,2017-2019,22,647,81,35.94,0,-,-,-,-,24,4,-
16,away,2016-2019,22,1112,170,61.77,5,-,-,-,-,19,4,-
17,neutral,2016-2019,19,762,109,47.62,1,-,-,-,-,21,1,-
19,year 2016,,4,187,101,46.75,1,-,-,-,-,5,0,-
20,year 2017,,22,600,81,33.33,0,-,-,-,-,23,3,-
21,year 2018,,18,875,146*,67.30,3,-,-,-,-,10,5,-
22,year 2019,,19,859,170,50.52,2,-,-,-,-,26,1,-
24,season 2016/17,,7,250,101,35.71,1,-,-,-,-,7,0,-
25,season 2017,,16,512,81,42.66,0,-,-,-,-,18,2,-
26,season 2017/18,,10,258,76,32.25,0,-,-,-,-,7,2,-
27,season 2018,,3,95,64,31.66,0,-,-,-,-,0,2,-
28,season 2018/19,,13,662,146*,73.55,3,-,-,-,-,15,2,-
29,season 2019,,14,744,170,57.23,2,-,-,-,-,17,1,-
31,*JO Holder,2016-2019,59,2152,170,43.04,4,-,-,-,-,61,9,-
32,*JN Mohammed,2017-2017,1,72,72,72.00,0,-,-,-,-,0,0,-
33,*R Powell,2018-2018,3,297,146*,297.00,2,-,-,-,-,3,0,-
35,is not captain,2016-2019,63,2521,170,48.48,6,-,-,-,-,64,9,-
37,is designated keeper,2016-2019,63,2521,170,48.48,6,-,-,-,-,64,9,-
39,won the toss,2016-2019,33,1187,146*,42.39,2,-,-,-,-,36,3,-
40,lost the toss,2016-2019,30,1334,170,55.58,4,-,-,-,-,28,6,-
42,won toss & batted,2017-2019,14,679,109,52.23,1,-,-,-,-,10,1,-
43,won toss & fielded,2016-2019,19,508,146*,33.86,1,-,-,-,-,26,2,-
44,lost toss & sent in,2016-2019,15,781,170,55.78,2,-,-,-,-,12,4,-
45,lost toss & fielded,2016-2019,13,553,123*,55.30,2,-,-,-,-,16,2,-
47,matches batting first,2016-2019,29,1460,170,54.07,3,-,-,-,-,22,5,-
48,matches fielding first,2016-2019,32,1061,146*,42.44,3,-,-,-,-,42,4,-
50,1st match innings,2016-2019,61,1460,170,54.07,3,-,-,-,-,42,4,-
51,2nd match innings,2016-2019,58,1061,146*,42.44,3,-,-,-,-,22,5,-
53,day match,2016-2019,43,1637,170,43.07,3,-,-,-,-,41,6,-
54,day/night match,2017-2019,20,884,146*,63.14,3,-,-,-,-,23,3,-
56,won match,2016-2019,18,911,170,65.07,2,-,-,-,-,27,3,-
57,lost match,2016-2019,38,1386,109,37.45,2,-,-,-,-,35,6,-
58,tied match,2016-2018,2,224,123*,224.00,2,-,-,-,-,1,0,-
59,no result,2017-2019,5,-,-,-,-,-,-,-,-,1,0,-
61,won batting first,2016-2019,10,514,170,57.11,1,-,-,-,-,11,3,-
62,won fielding first,2017-2019,8,397,146*,79.40,1,-,-,-,-,16,0,-
63,lost batting first,2017-2019,19,946,109,52.55,2,-,-,-,-,11,2,-
64,lost fielding first,2016-2019,19,440,81,23.15,0,-,-,-,-,24,4,-
65,tied fielding first,2016-2018,2,224,123*,224.00,2,-,-,-,-,1,0,-
66,no result fielding first,2017-2019,3,-,-,-,-,-,-,-,-,1,0,-
68,2 team series,2017-2019,38,1357,146*,45.23,3,-,-,-,-,38,7,-
69,3-4 team tournaments,2016-2019,9,657,170,73.00,3,-,-,-,-,6,1,-
70,5+ team tournaments,2018-2019,16,507,96,39.00,0,-,-,-,-,20,1,-
72,1st match in series,2017-2019,10,270,64,30.00,0,-,-,-,-,6,2,-
73,2nd match in series,2017-2019,10,510,146*,85.00,2,-,-,-,-,15,3,-
74,3rd match in series,2017-2019,10,400,108*,57.14,1,-,-,-,-,4,2,-
75,4th match in series,2017-2019,4,41,25,10.25,0,-,-,-,-,9,0,-
76,5th match in series,2017-2019,4,136,72,34.00,0,-,-,-,-,4,0,-
78,World Cup,2019-2019,9,274,96,34.25,0,-,-,-,-,16,0,-
79,World Cup Qualifier,2018-2018,7,233,76,46.60,0,-,-,-,-,4,1,-
81,tournament finals,2018-2019,2,97,74,48.50,0,-,-,-,-,0,1,-
82,preliminary matches,2016-2019,23,1067,170,53.35,3,-,-,-,-,26,1,-
