,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2019-2019,3,3,3*,3.00,0,2,2/49,86.50,0,0,0,-83.49
2,in Ireland,2019-2019,4,0,0*,-,0,8,3/44,22.37,0,0,0,-
3,in New Zealand,2017-2017,3,12,12*,12.00,0,0,-,-,0,0,0,-
4,in U.A.E.,2016-2016,2,3,2,3.00,0,1,1/53,90.00,0,0,0,-86.99
5,in West Indies,2016-2017,10,6,2*,2.00,0,16,3/17,26.12,0,0,0,-24.12
6,in Zimbabwe,2016-2016,3,0,0*,0.00,0,6,3/31,17.50,0,1,0,-17.49
8,in Africa,2016-2016,3,0,0*,0.00,0,6,3/31,17.50,0,1,0,-17.49
9,in Americas,2016-2017,10,6,2*,2.00,0,16,3/17,26.12,0,0,0,-24.12
10,in Asia,2016-2016,2,3,2,3.00,0,1,1/53,90.00,0,0,0,-86.99
11,in Europe,2019-2019,7,3,3*,3.00,0,10,3/44,35.20,0,0,0,-32.19
12,in Oceania,2017-2017,3,12,12*,12.00,0,0,-,-,0,0,0,-
14,home,2016-2017,10,6,2*,2.00,0,16,3/17,26.12,0,0,0,-24.12
15,away,2016-2019,7,12,12*,6.00,0,9,3/44,39.33,0,1,0,-33.33
16,neutral,2016-2019,8,6,3*,3.00,0,8,3/31,45.25,0,0,0,-42.24
18,year 2016,,8,6,2,2.00,0,13,3/17,24.07,0,1,0,-22.07
19,year 2017,,10,15,12*,5.00,0,10,2/25,46.90,0,0,0,-41.89
20,year 2019,,7,3,3*,3.00,0,10,3/44,35.20,0,0,0,-32.19
22,season 2016,,3,3,2,3.00,0,6,3/17,19.66,0,0,0,-16.66
23,season 2016/17,,7,4,2,1.00,0,10,3/31,27.00,0,1,0,-25.99
24,season 2017,,5,2,2*,-,0,7,2/25,32.14,0,0,0,-
25,season 2017/18,,3,12,12*,12.00,0,0,-,-,0,0,0,-
26,season 2019,,7,3,3*,3.00,0,10,3/44,35.20,0,0,0,-32.19
28,*JO Holder,2016-2019,25,24,12*,3.42,0,33,3/17,34.36,0,1,0,-30.93
30,is not captain,2016-2019,25,24,12*,3.42,0,33,3/17,34.36,0,1,0,-30.93
32,is not keeper,2016-2019,25,24,12*,3.42,0,33,3/17,34.36,0,1,0,-30.93
34,won the toss,2016-2019,10,6,3*,1.50,0,10,2/50,51.50,0,0,0,-49.99
35,lost the toss,2016-2019,15,18,12*,6.00,0,23,3/17,26.91,0,1,0,-20.91
37,won toss & batted,2017-2019,3,1,1,1.00,0,4,2/60,33.75,0,0,0,-32.74
38,won toss & fielded,2016-2019,7,5,3*,1.66,0,6,2/50,63.33,0,0,0,-61.66
39,lost toss & sent in,2016-2019,8,2,2,0.66,0,14,3/17,24.92,0,0,0,-24.26
40,lost toss & fielded,2016-2019,7,16,12*,-,0,9,2/25,30.00,0,1,0,-
42,matches batting first,2016-2019,11,3,2,0.75,0,18,3/17,26.88,0,0,0,-26.13
43,matches fielding first,2016-2019,14,21,12*,7.00,0,15,2/25,43.33,0,1,0,-36.33
45,1st match innings,2016-2019,25,3,2,0.75,0,15,2/25,43.33,0,1,0,-42.58
46,2nd match innings,2016-2019,25,21,12*,7.00,0,18,3/17,26.88,0,0,0,-19.88
48,day match,2016-2019,18,16,12*,3.20,0,23,3/31,38.26,0,1,0,-35.06
49,day/night match,2016-2017,7,8,2*,4.00,0,10,3/17,25.40,0,0,0,-21.39
51,won match,2016-2019,6,2,2,1.00,0,13,3/17,17.92,0,0,0,-16.92
52,lost match,2016-2019,18,22,12*,4.40,0,18,2/30,47.55,0,0,0,-43.15
53,tied match,2016-2016,1,-,-,-,-,2,2/45,22.50,0,1,0,-
55,won batting first,2016-2019,3,2,2,1.00,0,9,3/17,10.22,0,0,0,-9.22
56,won fielding first,2017-2019,3,-,-,-,-,4,2/25,35.25,0,0,0,-
57,lost batting first,2016-2019,8,1,1,0.50,0,9,2/30,43.55,0,0,0,-43.05
58,lost fielding first,2016-2019,10,21,12*,7.00,0,9,2/50,51.55,0,0,0,-44.55
59,tied fielding first,2016-2016,1,-,-,-,-,2,2/45,22.50,0,1,0,-
61,2 team series,2016-2017,12,18,12*,4.50,0,11,2/25,50.81,0,0,0,-46.31
62,3-4 team tournaments,2016-2019,10,3,2,1.50,0,20,3/17,20.10,0,1,0,-18.59
63,5+ team tournaments,2019-2019,3,3,3*,3.00,0,2,2/49,86.50,0,0,0,-83.49
65,1st match in series,2016-2017,5,4,2*,2.00,0,4,2/58,64.50,0,0,0,-62.49
66,2nd match in series,2017-2017,4,1,1,0.50,0,5,2/25,33.40,0,0,0,-32.89
67,3rd match in series,2016-2017,3,13,12*,-,0,2,2/60,67.00,0,0,0,-
69,World Cup,2019-2019,3,3,3*,3.00,0,2,2/49,86.50,0,0,0,-83.49
71,tournament finals,2016-2019,2,1,1*,-,0,4,2/30,22.00,0,0,0,-
72,preliminary matches,2016-2019,11,5,3*,1.66,0,18,3/17,27.05,0,1,0,-25.38
