,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2019-2019,9,33,15,8.25,0,12,4/56,32.66,0,8,0,-24.41
2,in Ireland,2019-2019,4,12,8*,-,0,2,1/33,92.50,0,3,0,-
3,in New Zealand,2017-2017,2,11,8,5.50,0,5,3/62,16.20,0,0,0,-10.69
4,in South Africa,2015-2015,2,3,2*,-,0,2,2/39,53.50,0,1,0,-
5,in West Indies,2018-2019,5,0,0*,-,0,8,5/46,24.00,1,3,0,-
6,in Zimbabwe,2018-2018,1,-,-,-,-,0,-,-,0,0,0,-
8,in Africa,2015-2018,3,3,2*,-,0,2,2/39,64.50,0,1,0,-
9,in Americas,2018-2019,5,0,0*,-,0,8,5/46,24.00,1,3,0,-
10,in Europe,2019-2019,13,45,15,11.25,0,14,4/56,41.21,0,11,0,-29.96
11,in Oceania,2017-2017,2,11,8,5.50,0,5,3/62,16.20,0,0,0,-10.69
13,home,2018-2019,5,0,0*,-,0,8,5/46,24.00,1,3,0,-
14,away,2015-2019,7,14,8,4.66,0,9,3/62,33.88,0,4,0,-29.22
15,neutral,2018-2019,11,45,15,15.00,0,12,4/56,40.16,0,8,0,-25.16
17,year 2015,,2,3,2*,-,0,2,2/39,53.50,0,1,0,-
18,year 2017,,2,11,8,5.50,0,5,3/62,16.20,0,0,0,-10.69
19,year 2018,,2,-,-,-,-,1,1/59,81.00,0,0,0,-
20,year 2019,,17,45,15,11.25,0,21,5/46,33.80,1,14,0,-22.55
22,season 2014/15,,2,3,2*,-,0,2,2/39,53.50,0,1,0,-
23,season 2017/18,,3,11,8,5.50,0,5,3/62,20.60,0,0,0,-15.09
24,season 2018,,1,-,-,-,-,1,1/59,59.00,0,0,0,-
25,season 2018/19,,4,0,0*,-,0,7,5/46,19.00,1,3,0,-
26,season 2019,,13,45,15,11.25,0,14,4/56,41.21,0,11,0,-29.96
28,*JO Holder,2015-2019,23,59,15,9.83,0,29,5/46,33.75,1,15,0,-23.92
30,is not captain,2015-2019,23,59,15,9.83,0,29,5/46,33.75,1,15,0,-23.92
32,is not keeper,2015-2019,23,59,15,9.83,0,29,5/46,33.75,1,15,0,-23.92
34,won the toss,2015-2019,14,46,15,15.33,0,17,4/56,36.64,0,12,0,-21.31
35,lost the toss,2017-2019,9,13,10,4.33,0,12,5/46,29.66,1,3,0,-25.33
37,won toss & batted,2018-2019,4,12,8*,-,0,0,-,-,0,1,0,-
38,won toss & fielded,2015-2019,10,34,15,11.33,0,17,4/56,27.82,0,11,0,-16.49
39,lost toss & sent in,2019-2019,4,0,0,0.00,0,6,5/46,26.83,1,1,0,-26.83
40,lost toss & fielded,2017-2019,4,13,10,6.50,0,6,2/19,32.50,0,2,0,-25.99
42,matches batting first,2018-2019,8,12,8*,12.00,0,6,5/46,51.83,1,2,0,-39.83
43,matches fielding first,2015-2019,14,47,15,9.40,0,23,4/56,29.04,0,13,0,-19.64
45,1st match innings,2015-2019,22,12,8*,12.00,0,23,4/56,29.04,0,13,0,-17.04
46,2nd match innings,2015-2019,21,47,15,9.40,0,6,5/46,51.83,1,2,0,-42.43
48,day match,2015-2019,19,42,10,8.40,0,19,3/62,41.36,0,8,0,-32.96
49,day/night match,2015-2019,4,17,15,17.00,0,10,5/46,19.30,1,7,0,-2.29
51,won match,2015-2019,8,1,1*,-,0,11,5/46,26.45,1,9,0,-
52,lost match,2015-2019,13,58,15,9.66,0,16,4/56,41.87,0,6,0,-32.20
53,no result,2019-2019,2,-,-,-,-,2,2/18,9.00,0,0,0,-
55,won batting first,2018-2019,4,-,-,-,-,6,5/46,24.00,1,2,0,-
56,won fielding first,2015-2019,4,1,1*,-,0,5,2/39,29.40,0,7,0,-
57,lost batting first,2019-2019,4,12,8*,12.00,0,0,-,-,0,0,0,-
58,lost fielding first,2015-2019,9,46,15,9.20,0,16,4/56,31.43,0,6,0,-22.23
59,no result fielding first,2019-2019,1,-,-,-,-,2,2/18,9.00,0,0,0,-
61,2 team series,2015-2019,9,14,8,7.00,0,15,5/46,25.33,1,4,0,-18.33
62,3-4 team tournaments,2019-2019,4,12,8*,-,0,2,1/33,92.50,0,3,0,-
63,5+ team tournaments,2018-2019,10,33,15,8.25,0,12,4/56,34.50,0,8,0,-26.24
65,2nd match in series,2017-2019,2,8,8,8.00,0,8,5/46,13.50,1,0,0,-5.49
66,3rd match in series,2017-2019,3,3,3,3.00,0,3,2/19,26.00,0,0,0,-22.99
67,4th match in series,2015-2019,2,1,1*,-,0,3,2/39,34.33,0,0,0,-
68,5th match in series,2015-2019,2,2,2*,-,0,1,1/23,91.00,0,4,0,-
70,World Cup,2019-2019,9,33,15,8.25,0,12,4/56,32.66,0,8,0,-24.41
71,World Cup Qualifier,2018-2018,1,-,-,-,-,0,-,-,0,0,0,-
