,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in Bangladesh,2018-2018,3,20,14,6.66,0,-,-,-,-,2,0,-
2,in England,2019-2019,9,257,54,36.71,0,-,-,-,-,2,0,-
3,in India,2018-2018,5,259,106,51.80,1,-,-,-,-,1,0,-
4,in New Zealand,2017-2017,2,31,29,15.50,0,-,-,-,-,0,0,-
5,in West Indies,2018-2019,8,348,125,69.60,2,-,-,-,-,6,0,-
6,in Zimbabwe,2018-2018,7,241,127,34.42,1,-,-,-,-,4,0,-
8,in Africa,2018-2018,7,241,127,34.42,1,-,-,-,-,4,0,-
9,in Americas,2018-2019,8,348,125,69.60,2,-,-,-,-,6,0,-
10,in Asia,2018-2018,8,279,106,34.87,1,-,-,-,-,3,0,-
11,in Europe,2019-2019,9,257,54,36.71,0,-,-,-,-,2,0,-
12,in Oceania,2017-2017,2,31,29,15.50,0,-,-,-,-,0,0,-
14,home,2018-2019,8,348,125,69.60,2,-,-,-,-,6,0,-
15,away,2017-2019,12,362,106,30.16,1,-,-,-,-,3,0,-
16,neutral,2018-2019,14,446,127,37.16,1,-,-,-,-,6,0,-
18,year 2017,,2,31,29,15.50,0,-,-,-,-,0,0,-
19,year 2018,,18,727,127,40.38,3,-,-,-,-,9,0,-
20,year 2019,,14,398,104*,44.22,1,-,-,-,-,6,0,-
22,season 2017/18,,9,272,127,30.22,1,-,-,-,-,4,0,-
23,season 2018,,3,207,125,69.00,1,-,-,-,-,2,0,-
24,season 2018/19,,13,420,106,42.00,2,-,-,-,-,7,0,-
25,season 2019,,9,257,54,36.71,0,-,-,-,-,2,0,-
27,*JO Holder,2017-2019,31,1136,127,43.69,4,-,-,-,-,13,0,-
28,*R Powell,2018-2018,3,20,14,6.66,0,-,-,-,-,2,0,-
30,is not captain,2017-2019,34,1156,127,39.86,4,-,-,-,-,15,0,-
32,is not keeper,2017-2019,34,1156,127,39.86,4,-,-,-,-,15,0,-
34,won the toss,2017-2019,16,398,127,30.61,1,-,-,-,-,10,0,-
35,lost the toss,2017-2019,18,758,125,47.37,3,-,-,-,-,5,0,-
37,won toss & batted,2018-2019,7,254,127,36.28,1,-,-,-,-,5,0,-
38,won toss & fielded,2017-2019,9,144,54,24.00,0,-,-,-,-,5,0,-
39,lost toss & sent in,2017-2019,10,530,125,58.88,3,-,-,-,-,3,0,-
40,lost toss & fielded,2018-2019,7,228,94,32.57,0,-,-,-,-,2,0,-
42,matches batting first,2017-2019,17,784,127,49.00,4,-,-,-,-,8,0,-
43,matches fielding first,2017-2019,16,372,94,28.61,0,-,-,-,-,7,0,-
45,1st match innings,2017-2019,33,784,127,49.00,4,-,-,-,-,7,0,-
46,2nd match innings,2017-2019,32,372,94,28.61,0,-,-,-,-,8,0,-
48,day match,2017-2019,21,563,127,31.27,1,-,-,-,-,9,0,-
49,day/night match,2018-2019,13,593,125,53.90,3,-,-,-,-,6,0,-
51,won match,2018-2019,12,525,127,58.33,3,-,-,-,-,9,0,-
52,lost match,2017-2019,19,537,106,28.26,1,-,-,-,-,5,0,-
53,tied match,2018-2018,1,94,94,94.00,0,-,-,-,-,1,0,-
54,no result,2019-2019,2,-,-,-,-,-,-,-,-,0,0,-
56,won batting first,2018-2019,7,472,127,78.66,3,-,-,-,-,7,0,-
57,won fielding first,2018-2019,5,53,14,17.66,0,-,-,-,-,2,0,-
58,lost batting first,2017-2019,10,312,106,31.20,1,-,-,-,-,1,0,-
59,lost fielding first,2017-2019,9,225,54,25.00,0,-,-,-,-,4,0,-
60,tied fielding first,2018-2018,1,94,94,94.00,0,-,-,-,-,1,0,-
61,no result fielding first,2019-2019,1,-,-,-,-,-,-,-,-,0,0,-
63,2 team series,2017-2019,18,658,125,43.86,3,-,-,-,-,9,0,-
64,5+ team tournaments,2018-2019,16,498,127,35.57,1,-,-,-,-,6,0,-
66,1st match in series,2017-2019,5,213,106,42.60,1,-,-,-,-,1,0,-
67,2nd match in series,2017-2019,5,339,125,84.75,2,-,-,-,-,6,0,-
68,3rd match in series,2018-2019,4,67,37,22.33,0,-,-,-,-,0,0,-
69,4th match in series,2018-2019,2,19,13,9.50,0,-,-,-,-,2,0,-
70,5th match in series,2018-2019,2,20,11*,20.00,0,-,-,-,-,0,0,-
72,World Cup,2019-2019,9,257,54,36.71,0,-,-,-,-,2,0,-
73,World Cup Qualifier,2018-2018,7,241,127,34.42,1,-,-,-,-,4,0,-
75,tournament finals,2018-2018,1,38,38,38.00,0,-,-,-,-,0,0,-
76,preliminary matches,2018-2019,15,460,127,35.38,1,-,-,-,-,6,0,-
