,Grouping,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
1,in England,2017-2019,3,74,38*,37.00,0,-,-,-,-,0,0,-
2,in Ireland,2019-2019,5,278,148,92.66,1,-,-,-,-,2,0,-
4,in Europe,2017-2019,8,352,148,70.40,1,-,-,-,-,2,0,-
6,away,2017-2019,3,186,148,186.00,1,-,-,-,-,1,0,-
7,neutral,2019-2019,5,166,69*,41.50,0,-,-,-,-,1,0,-
9,year 2017,,1,38,38*,-,0,-,-,-,-,0,0,-
10,year 2019,,7,314,148,62.80,1,-,-,-,-,2,0,-
12,season 2017,,1,38,38*,-,0,-,-,-,-,0,0,-
13,season 2019,,7,314,148,62.80,1,-,-,-,-,2,0,-
15,*JO Holder,2019-2019,7,314,148,62.80,1,-,-,-,-,2,0,-
16,*JN Mohammed,2017-2017,1,38,38*,-,0,-,-,-,-,0,0,-
18,is not captain,2017-2019,8,352,148,70.40,1,-,-,-,-,2,0,-
20,is not keeper,2017-2019,8,352,148,70.40,1,-,-,-,-,2,0,-
22,won the toss,2019-2019,3,66,38,22.00,0,-,-,-,-,1,0,-
23,lost the toss,2017-2019,5,286,148,143.00,1,-,-,-,-,1,0,-
25,won toss & batted,2019-2019,2,61,38,30.50,0,-,-,-,-,1,0,-
26,won toss & fielded,2019-2019,1,5,5,5.00,0,-,-,-,-,0,0,-
27,lost toss & sent in,2017-2019,3,107,69*,-,0,-,-,-,-,1,0,-
28,lost toss & fielded,2019-2019,2,179,148,89.50,1,-,-,-,-,0,0,-
30,matches batting first,2017-2019,5,168,69*,84.00,0,-,-,-,-,2,0,-
31,matches fielding first,2019-2019,3,184,148,61.33,1,-,-,-,-,0,0,-
33,1st match innings,2017-2019,8,168,69*,84.00,0,-,-,-,-,0,0,-
34,2nd match innings,2017-2019,8,184,148,61.33,1,-,-,-,-,2,0,-
36,day match,2019-2019,7,314,148,62.80,1,-,-,-,-,2,0,-
37,day/night match,2017-2017,1,38,38*,-,0,-,-,-,-,0,0,-
39,won match,2019-2019,2,148,148,148.00,1,-,-,-,-,1,0,-
40,lost match,2017-2019,6,204,69*,51.00,0,-,-,-,-,1,0,-
42,won batting first,2019-2019,1,-,-,-,-,-,-,-,-,1,0,-
43,won fielding first,2019-2019,1,148,148,148.00,1,-,-,-,-,0,0,-
44,lost batting first,2017-2019,4,168,69*,84.00,0,-,-,-,-,1,0,-
45,lost fielding first,2019-2019,2,36,31,18.00,0,-,-,-,-,0,0,-
47,2 team series,2017-2017,1,38,38*,-,0,-,-,-,-,0,0,-
48,3-4 team tournaments,2019-2019,5,278,148,92.66,1,-,-,-,-,2,0,-
49,5+ team tournaments,2019-2019,2,36,31,18.00,0,-,-,-,-,0,0,-
51,5th match in series,2017-2017,1,38,38*,-,0,-,-,-,-,0,0,-
53,World Cup,2019-2019,2,36,31,18.00,0,-,-,-,-,0,0,-
55,tournament finals,2019-2019,1,69,69*,-,0,-,-,-,-,0,0,-
56,preliminary matches,2019-2019,6,245,148,49.00,1,-,-,-,-,2,0,-
