Player,Span_bat,Mat_bat,Inns_bat,NO_bat,Runs_bat,HS_bat,Ave_bat,BF_bat,SR_bat,100_bat,50_bat,0_bat,Span_bowl,Mat_bowl,Inns_bowl,Balls_bowl,Runs_bowl,Wkts_bowl,BBI_bowl,Ave_bowl,Econ_bowl,SR_bowl,4_bowl,5_bowl,Country
v kohli,2008-2019,227,219,37,10843,183,59.57,11664,92.96,41,49,12,2008-2019,227,48,641,665,4,1/15,166.25,6.22,160.2,0,0,INDIA
ms dhoni,2004-2019,338,286,81,10326,183*,50.37,11853,87.11,9,71,10,2004-2019,338,2,36,31,1,1/14,31.00,5.16,36.0,0,0,INDIA
ch gayle,1999-2019,286,280,17,10096,215,38.38,11590,87.10,25,50,23,1999-2019,286,193,7287,5788,165,5/46,35.07,4.76,44.1,3,1,WI
lrpl taylor,2006-2019,218,203,37,8026,181*,48.34,9626,83.37,20,47,9,2006-2019,218,4,42,35,0,-,-,5,-,0,0,NZ
rg sharma,2007-2019,206,200,31,8010,264,47.39,9107,87.95,22,41,13,2007-2019,206,38,593,515,8,2/27,64.37,5.21,74.1,0,0,INDIA
hm amla,2008-2019,174,171,12,7910,159,49.74,8865,89.22,27,37,4,2008-2019,174,-,-,-,-,-,-,-,-,-,-,SA
shoaib malik,1999-2019,284,255,40,7526,143,35.00,9188,81.91,9,44,13,1999-2019,284,214,7910,6145,157,4/19,39.14,4.66,50.3,1,0,PAK
tamim iqbal,2007-2019,193,191,8,6636,154,36.26,8495,78.11,11,46,17,2007-2019,193,2,6,13,0,-,-,13,-,0,0,BDESH
mj guptill,2009-2019,169,166,18,6440,237*,43.51,7365,87.44,16,34,13,2009-2019,169,11,109,98,4,2/6,24.50,5.39,27.2,0,0,NZ
mohammad hafeez,2003-2019,210,208,15,6361,140*,32.95,8348,76.19,11,37,19,2003-2019,210,170,7541,5211,137,4/41,38.03,4.14,55.0,1,0,PAK
ejg morgan,2009-2019,199,184,29,6233,124*,40.21,6681,93.29,11,40,12,2009-2019,199,-,-,-,-,-,-,-,-,-,-,ENG
shakib al hasan,2006-2019,198,186,26,5717,134*,35.73,7010,81.55,7,42,10,2006-2019,198,195,10073,7458,249,5/47,29.95,4.44,40.4,8,1,BDESH
mushfiqur rahim,2006-2019,205,191,32,5558,144,34.95,7111,78.16,6,33,10,2006-2019,205,-,-,-,-,-,-,-,-,-,-,BDESH
ks williamson,2010-2019,139,133,12,5554,145*,45.90,6723,82.61,11,37,5,2010-2019,139,63,1377,1246,35,4/22,35.60,5.42,39.3,1,0,NZ
ad mathews,2008-2019,204,174,46,5381,139*,42.03,6461,83.28,2,37,13,2008-2019,204,154,5071,3901,114,6/20,34.21,4.61,44.4,1,1,SL
s dhawan,2010-2019,128,127,7,5355,143,44.62,5709,93.79,16,27,5,2010-2019,128,-,-,-,-,-,-,-,-,-,-,INDIA
je root,2013-2019,132,124,19,5300,133*,50.47,6081,87.15,14,30,4,2013-2019,132,61,1354,1309,20,3/52,65.45,5.80,67.7,0,0,ENG
f du plessis,2011-2019,134,128,18,5120,185,46.54,5783,88.53,11,32,3,2011-2019,134,11,192,189,2,1/8,94.50,5.90,96.0,0,0,SA
jp duminy,2004-2019,194,175,40,5047,150*,37.38,5980,84.39,4,27,7,2004-2019,194,131,3459,3082,68,4/16,45.32,5.34,50.8,1,0,SA
q de kock,2013-2019,106,106,5,4602,178,45.56,4803,95.81,14,21,3,2013-2019,106,-,-,-,-,-,-,-,-,-,-,SA
aj finch,2013-2019,109,105,2,4052,153*,39.33,4596,88.16,13,21,10,2013-2019,109,17,248,219,3,1/2,73.00,5.29,82.6,0,0,AUS
