"","V1","V2"
"1","a zampa","aaron finch"
"2","ad mathews","abu jayed"
"3","ad russell","adam zampa"
"4","aj finch","adil rashid"
"5","ak markram","aiden markram"
"6","al phehlukwayo","alex carey"
"7","ar nurse","andile phehlukwayo"
"8","at carey","angelo mathews"
"9","au rashid","ashley nurse"
"10","b kumar","avishka fernando"
"11","ba stokes","ben stokes"
"12","be hendricks","bhuvneshwar kumar"
"13","bkg mendis","carlos brathwaite"
"14","bmaj mendis","chris gayle"
"15","c de grandhomme","chris morris"
"16","c munro","chris woakes"
"17","cak rajitha","colin de grandhomme"
"18","ch gayle","colin munro"
"19","ch morris","dale steyn"
"20","cr brathwaite","darren bravo"
"21","cr woakes","david miller"
"22","d pretorius","david warner"
"23","da miller","dhananjaya de silva"
"24","da warner","dimuth karunaratne"
"25","dm bravo","dinesh karthik"
"26","dm de silva","dwaine pretorius"
"27","e lewis","eoin morgan"
"28","ejg morgan","evin lewis"
"29","f du plessis","fabian allen"
"30","fa allen","faf du plessis"
"31","fdm karunaratne","glenn maxwell"
"32","gj maxwell","hardik pandya"
"33","hdrl thirimanne","hashim amla"
"34","he van der dussen","henry nicholls"
"35","hh pandya","ikram ali khil"
"36","hm amla","ish sodhi"
"37","hm nicholls","isuru udana"
"38","i udana","james neesham"
"39","ikram alikhil","james vince"
"40","is sodhi","jason behrendorff"
"41","jc archer","jason holder"
"42","jc buttler","jason roy"
"43","jdf vandersay","jasprit bumrah"
"44","jds neesham","jean-paul duminy"
"45","je root","jeevan mendis"
"46","jj bumrah","jeffrey vandersay"
"47","jj roy","joe root"
"48","jm bairstow","jofra archer"
"49","jm vince","jonny bairstow"
"50","jo holder","jos buttler"
"51","jp behrendorff","kagiso rabada"
"52","jp duminy","kane richardson "
"53","k rabada","kane williamson"
"54","kaj roach","karim janat"
"55","kd karthik","kedar jadhav"
"56","km jadhav","kemar roach"
"57","ks williamson","kusal mendis"
"58","kw richardson","kusal perera"
"59","l ngidi","lahiru thirimanne"
"60","le plunkett","lasith malinga"
"61","lh ferguson","liam dawson"
"62","lrpl taylor","liam plunkett"
"63","ma starc","lockie ferguson"
"64","ma wood","lungi ngidi"
"65","mdkj perera","marcus stoinis"
"66","mehidy hasan miraz","mark wood"
"67","mj guptill","martin guptill"
"68","mj henry","matt henry"
"69","mj santner","mehidy hasan"
"70","mm ali","milinda siriwardana"
"71","mp stoinis","mitchell santner"
"72","n pooran","mitchell starc"
"73","n pradeep","moeen ali"
"74","nltc perera","mohammad hasnain"
"75","nm coulter-nile","nathan coulter-nile"
"76","nm lyon","nathan lyon"
"77","o thomas","nicholas pooran"
"78","pj cummins","nuwan pradeep"
"79","psp handscomb","pat cummins"
"80","q de kock","quinton de kock"
"81","ra jadeja","rassie van der dussen"
"82","ras lakmal","ravindra jadeja"
"83","rg sharma","rohit sharma"
"84","rr pant","ross taylor"
"85","s dhawan","shaheen afridi"
"86","sd hope","shai hope"
"87","se marsh","shannon gabriel"
"88","shaheen shah afridi","shaun marsh"
"89","sl malinga","sheldon cottrell"
"90","so hetmyer","shikhar dhawan"
"91","spd smith","shimron hetmyer"
"92","ss cottrell","steven smith"
"93","st gabriel","suranga lakmal"
"94","sw ambris","tabraiz shamsi"
"95","t shamsi","thisara perera"
"96","ta boult","tim southee"
"97","tam siriwardana","tom blundell"
"98","tg southee","tom curran"
"99","twm latham","tom latham"
"100","ut khawaja","trent boult"
"101","v kohli","usman khawaja"
"102","v shankar","vijay shankar"
"103","wia fernando","virat kohli"
"104","ys chahal","yuzvendra chahal"
