Name,Category,Country
Gulbadin Naib,BWL,AFG
Aftab Alam,BWL,AFG
Asghar Afghan,BAT,AFG
Dawlat Zadran,BWL,AFG
Hamid Hassan,BWL,AFG
Hashmatullah Shahidi,BAT,AFG
Hazratullah Zazai,BAT,AFG
Mohammad Nabi,ALR,AFG
Mohammad Shahzad,WCK,AFG
Mujeeb Ur Rahman,BWL,AFG
Najibullah Zadran,BAT,AFG
Noor Ali Zadran,BAT,AFG
Rahmat Shah,ALR,AFG
Rashid Khan,BWL,AFG
Samiullah Shinwari,ALR,AFG
Ikram Ali Khil,BAT,AFG
Karim Janat,ALR,AFG
Sayed Shirzad,BWL,AFG
Aaron Finch,BAT,AUS
Jason Behrendorff,BWL,AUS
Alex Carey,WCK,AUS
Nathan Coulter-Nile,BWL,AUS
Pat Cummins,BWL,AUS
Usman Khawaja,BAT,AUS
Nathan Lyon,BWL,AUS
Shaun Marsh,BAT,AUS
Glenn Maxwell,ALR,AUS
Kane Richardson ,BWL,AUS
Steven Smith,BAT,AUS
Mitchell Starc,BWL,AUS
Marcus Stoinis,BAT,AUS
David Warner,BAT,AUS
Adam Zampa,BWL,AUS
Mashrafe Mortaza,BWL,BNG
Abu Jayed,BWL,BNG
Liton Das,WCK,BNG
Mahmudullah,ALR,BNG
Mehidy Hasan,ALR,BNG
Mohammad Mithun,BAT,BNG
Mohammad Saifuddin,ALR,BNG
Mosaddek Hossain,BAT,BNG
Mushfiqur Rahim,WCK,BNG
Mustafizur Rahman,BWL,BNG
Rubel Hossain,BWL,BNG
Sabbir Rahman,BAT,BNG
Shakib Al Hasan,ALR,BNG
Soumya Sarkar,BAT,BNG
Tamim Iqbal,BAT,BNG
Eoin Morgan,BAT,ENG
Moeen Ali,ALR,ENG
Jofra Archer,ALR,ENG
Jonny Bairstow,WCK,ENG
Jos Buttler,WCK,ENG
Tom Curran,ALR,ENG
Liam Dawson,ALR,ENG
Liam Plunkett,BWL,ENG
Adil Rashid,BWL,ENG
Joe Root,BAT,ENG
Jason Roy,BAT,ENG
Ben Stokes,ALR,ENG
James Vince,BAT,ENG
Chris Woakes,BWL,ENG
Mark Wood,BWL,ENG
Virat Kohli,BAT,IND
Rohit Sharma,BAT,IND
Jasprit Bumrah,BWL,IND
Yuzvendra Chahal,BWL,IND
Shikhar Dhawan,BAT,IND
MS Dhoni,WCK,IND
Ravindra Jadeja,ALR,IND
Kedar Jadhav,ALR,IND
Dinesh Karthik,BAT,IND
Kuldeep Yadav,BWL,IND
Bhuvneshwar Kumar,BWL,IND
Mohammed Shami,BWL,IND
Hardik Pandya,ALR,IND
KL Rahul,BAT,IND
Vijay Shankar,ALR,IND
Kane Williamson,BAT,NZL
Tom Blundell,WCK,NZL
Trent Boult,BWL,NZL
Colin de Grandhomme,ALR,NZL
Lockie Ferguson,BWL,NZL
Martin Guptill,BAT,NZL
Matt Henry,BWL,NZL
Tom Latham,WCK,NZL
Colin Munro,BAT,NZL
James Neesham,ALR,NZL
Henry Nicholls,BAT,NZL
Mitchell Santner,ALR,NZL
Ish Sodhi,BWL,NZL
Tim Southee,BWL,NZL
Ross Taylor,BAT,NZL
Sarfaraz Ahmed,WCK,PAK
Asif Ali,BAT,PAK
Babar Azam,BAT,PAK
Wahab Riaz,BWL,PAK
Fakhar Zaman,BAT,PAK
Haris Sohail,BAT,PAK
Hasan Ali,BWL,PAK
Imad Wasim,ALR,PAK
Imam-ul-Haq,BAT,PAK
Mohammad Amir,BWL,PAK
Mohammad Hafeez,ALR,PAK
Mohammad Hasnain,BWL,PAK
Shadab Khan,ALR,PAK
Shaheen Afridi,BWL,PAK
Shoaib Malik,BAT,PAK
Faf du Plessis,BAT,RSA
Hashim Amla,BAT,RSA
Quinton de Kock,WCK,RSA
Jean-Paul Duminy,ALR,RSA
Imran Tahir,BWL,RSA
Aiden Markram,BAT,RSA
David Miller,BAT,RSA
Lungi Ngidi,BWL,RSA
Chris Morris,ALR,RSA
Andile Phehlukwayo,BWL,RSA
Dwaine Pretorius,BWL,RSA
Kagiso Rabada,BWL,RSA
Tabraiz Shamsi,BWL,RSA
Dale Steyn,BWL,RSA
Rassie van der Dussen,BAT,RSA
Dimuth Karunaratne,BAT,SRI
Dhananjaya de Silva,ALR,SRI
Nuwan Pradeep,BWL,SRI
Avishka Fernando,BAT,SRI
Suranga Lakmal,BWL,SRI
Lasith Malinga,BWL,SRI
Angelo Mathews,ALR,SRI
Kusal Mendis,WCK,SRI
Jeevan Mendis,ALR,SRI
Kusal Perera,WCK,SRI
Thisara Perera,ALR,SRI
Milinda Siriwardana,ALR,SRI
Lahiru Thirimanne,BAT,SRI
Isuru Udana,ALR,SRI
Jeffrey Vandersay,BWL,SRI
Jason Holder,BWL,WES
Fabian Allen,BWL,WES
Carlos Brathwaite,ALR,WES
Darren Bravo,BAT,WES
Sheldon Cottrell,BWL,WES
Shannon Gabriel,BWL,WES
Chris Gayle,ALR,WES
Shimron Hetmyer,BAT,WES
Shai Hope,WCK,WES
Evin Lewis,BAT,WES
Ashley Nurse,BWL,WES
Nicholas Pooran,WCK,WES
Kemar Roach,BWL,WES
Andre Russell,ALR,WES
Oshane Thomas,BWL,WES
