,names,TN,FN,TP,FP,proportion_of_0,proportion_of_1,Accuracy
2,"LoanAmount,EMI,InsuranceRate,InsuranceAmount/4.csv",0.09,0.89,0.03,0.0,0.45,0.55,0.11
94,"loantype,LoanAmount,InsuranceRate,ResidenceType/4.csv",0.09,0.89,0.03,0.0,0.53,0.47,0.11
186,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount/2.csv",0.09,0.89,0.03,0.0,0.57,0.43,0.11
249,"loantype,LoanAmount,InsuranceRate/5.csv",0.09,0.89,0.03,0.0,0.46,0.54,0.11
342,"LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
347,"DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
482,"LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
644,"loantype,LoanAmount,EMI,InsuranceRate,InsuranceAmount/5.csv",0.09,0.89,0.03,0.0,0.46,0.54,0.11
669,"loantype,DocumentCharge,InsuranceRate/5.csv",0.09,0.89,0.03,0.0,0.55,0.45,0.11
700,"DocumentCharge,EMI,InsuranceRate/3.csv",0.09,0.89,0.03,0.0,0.57,0.43,0.11
710,"LoanAmount,DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
730,"EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
775,"EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
780,"LoanAmount,InsuranceRate,ResidenceType,RentAmount/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
824,"DocumentCharge,EMI,InsuranceRate,RentAmount/3.csv",0.09,0.89,0.03,0.0,0.57,0.43,0.11
848,"loantype,EMI,InsuranceRate,RentAmount/5.csv",0.09,0.89,0.03,0.0,0.55,0.45,0.11
914,"LoanAmount,EMI,InsuranceRate,ResidenceType,RentAmount/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
919,"DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
